FishIDs,Stock,Pond,Trial,Chamber.No,Ind,Mass,Volume,SMR.Start.Date,SMR.Date.Time,SMR.Phase,SMR.Temp.true,Temp.factor,Slope.with.BR.SMR,Slope.SMR,SE.SMR,R2.SMR,MR.abs.with.BR,BR.SMR,SMR.abs,SMR,SMR.units,DO.unit,MMR.Date,MMR.Date.Time,MMR.Phase,MMR.Temp.true,Slope.with.BR.MMR,Slope.MMR,SE.MMR,R2.MMR,MR.abs.with.BR.MMR,BR.MMR,MMR.abs,MMR,MMR.units,MMR.Best.Temp,MMR.Best.abs.with.BR,MMR.Best.BR,MR.Best.abs,MMR.Best,MMR.Best.units,Trial.Best.MMR,Experiment,test.Num,Replicate,AS.absolute,AS.absolute.units,AS.factorial,AS.Best.absolute,AS.Best.absolute.units,AS.Best.factorial,K,relative.weight
1,LP,BC,Acute,CH1,1,4.05,78,8/4/21,(2021-Aug-04 03:31:16),M40,20.99366667,21,-0.003168182,-0.003110546,3.69E-05,0.975536427,0.843433511,1.819236645,0.828089459,204.4665331,3.407775552,mg O2,8/4/21,(2021-Aug-04 13:34:52),M3,21.01305556,-0.007824405,-0.007785529,6.31E-05,0.988454672,2.083013156,0.496858208,2.072663534,511.7687738,8.529479564,21.01305556,2.083013156,0.496858208,2.072663534,511.7687738,8.529479563,MMR,1,1,1,307.3022407,5.121704012,2.502946404,307.3022407,5.121704012,2.502946404,0.655066582,83.8446885
2,LP,BC,Acute,CH2,2,2.89,78,8/4/21,(2021-Aug-04 08:21:16),M69,20.99111111,21,-0.002898012,-0.002597787,4.25E-05,0.954522707,0.78361094,10.35969185,0.702431261,243.0557998,4.050929997,mg O2,8/3/21,(2021-Aug-04 13:34:52),M3,21.01305556,-0.005696563,-0.005603812,3.52E-05,0.993014327,1.540327866,1.628187125,1.515248446,524.3074207,8.738457011,20.95061111,1.55277633,1.52435785,1.529106462,529.1025821,8.818376368,SMR,1,1,1,281.2516209,4.687527015,2.157148363,286.0467823,4.767446372,2.176877007,0.649481482,84.73361697
3,LP,BC,Acute,CH3,3,3.38,78,8/4/21,(2021-Aug-04 02:31:16),M34,21.00338889,21,-0.00296898,-0.002929142,2.62E-05,0.985934597,0.797562909,1.341807561,0.786861149,232.7991566,3.879985943,mg O2,8/3/21,(2021-Aug-04 13:44:52),M4,20.99327778,-0.007084158,-0.007060595,4.51E-05,0.992790377,1.90303153,0.332610428,1.896701848,561.154393,9.352573217,21.01166667,2.181471805,0.176538639,2.177620664,644.2664688,10.73777448,SMR,1,1,1,328.3552364,5.472587273,2.410465747,411.4673122,6.857788537,2.767477676,0.672439519,87.23280868
4,LP,BC,Acute,CH4,4,3.03,78,8/4/21,(2021-Aug-04 05:31:16),M52,20.96055556,21,-0.002849061,-0.002699081,2.34E-05,0.986848176,0.768938807,5.264183591,0.728460457,240.4159924,4.006933207,mg O2,8/4/21,(2021-Aug-04 13:54:52),M5,20.98355556,-0.006045895,-0.005956231,2.91E-05,0.995765799,1.631738802,1.48306352,1.60753908,530.5409503,8.842349172,20.98355556,1.631738802,1.48306352,1.60753908,530.5409503,8.842349172,MMR,1,1,1,290.1249579,4.835415965,2.206762308,290.1249579,4.835415965,2.206762308,0.666548148,86.96019376
5,LP,BC,Acute,CH5,5,2.71,78,8/4/21,(2021-Aug-04 05:01:16),M49,20.99083333,21,-0.002872361,-0.002603139,2.88E-05,0.978737157,0.778536222,9.372860904,0.705565105,260.3561273,4.339268788,mg O2,8/3/21,(2021-Aug-04 14:16:52),M7,21.05305556,-0.004842662,-0.004526592,2.42E-05,0.994956194,1.312574583,6.526785451,1.226905656,452.7327145,7.545545242,21.01883333,1.396966052,7.805180535,1.28793033,475.2510443,7.920850738,SMR,1,1,1,192.3765872,3.206276453,1.738897867,214.894917,3.58158195,1.82538836,0.664973423,87.39456771
6,LP,BC,Acute,CH6,6,2.77,78,8/4/21,(2021-Aug-03 21:19:22),M3,20.96022222,21,-0.002657993,-0.002365611,2.46E-05,0.981073282,0.719858819,11.00009472,0.640673667,231.2901324,3.85483554,mg O2,8/4/21,(2021-Aug-04 14:27:52),M8,20.9805,-0.005143856,-0.005375147,3.49E-05,0.992558281,1.39310022,-4.496451731,1.455740299,525.5380139,8.758966899,20.9805,1.39310022,-4.496451731,1.455740299,525.5380139,8.758966898,MMR,1,1,1,294.2478815,4.904131358,2.272202486,294.2478815,4.904131358,2.272202486,0.569555495,73.98965908
7,LP,BC,Acute,CH7,7,2.58,78,8/4/21,(2021-Aug-04 05:01:16),M49,20.99083333,21,-0.0023172,-0.001915027,2.98E-05,0.958678968,0.629147654,17.35597971,0.519952915,201.5321376,3.35886896,mg O2,8/4/21,(2021-Aug-04 14:49:52),M10,21.04927778,-0.003011316,-0.003409635,3.76E-05,0.978764799,0.817608464,-13.22738525,0.925756685,358.8204207,5.980340344,20.99761111,1.32684975,-8.291858123,1.436870248,556.9264528,9.282107547,SMR,1,1,1,157.2882831,2.621471385,1.780462536,355.3943152,5.923238587,2.763462242,0.679637808,89.59247703
8,LP,BC,Acute,CH8,8,2.72,78,8/4/21,(2021-Aug-04 11:31:16),M88,20.97627778,21,-0.001450846,-0.001824368,2.49E-05,0.967820178,0.39319096,-25.74512027,0.494418445,181.7714872,3.029524787,mg O2,8/3/21,(2021-Aug-04 17:01:52),M22,21.001,-0.002148435,-0.002530067,2.82E-05,0.978345207,0.582242965,-17.76326221,0.68566831,252.0839373,4.201398956,20.9755,1.266170905,-5.926142623,1.341205999,493.0904407,8.218174012,SMR,1,1,1,70.3124501,1.171874168,1.386817818,311.3189535,5.188649225,2.712694099,0.689997568,90.72879862
9,LP,BC,Acute,CH1,1,3.55,78,8/7/21,(2021-Aug-07 02:34:12),M18,20.95216667,21,-0.00322521,-0.003181279,2.17E-05,0.991749566,0.864420901,1.362112966,0.852646511,240.1821159,4.003035265,mg O2,8/7/21,(2021-Aug-07 15:28:06),M1,21.0225,-0.007775955,-0.0077422,5.19E-05,0.992051219,2.084111343,0.434091424,2.075064395,584.5251817,9.742086361,21.0225,2.084111343,0.434091424,2.075064395,584.5251817,9.742086362,MMR,1,4,2,344.3430658,5.739051097,2.433674878,344.3430658,5.739051097,2.433674878,0.655066582,83.8446885
10,LP,BC,Acute,CH2,2,2.61,78,8/7/21,(2021-Aug-07 12:50:12),M74,21.01272222,21,-0.002504233,-0.00210843,2.97E-05,0.96589337,0.67965896,15.80537587,0.572236307,219.247627,3.654127117,mg O2,8/7/21,(2021-Aug-07 15:39:06),M2,20.99161111,-0.005726141,-0.005641252,5.05E-05,0.98593387,1.554097581,1.482475934,1.531058458,586.6124361,9.776873935,20.99161111,1.554097581,1.482475934,1.531058458,586.6124361,9.776873935,MMR,1,4,2,367.3648091,6.122746818,2.675570286,367.3648091,6.122746818,2.675570286,0.649481482,84.73361697
