,Chamber.No,Ind,Mass,Volume,Date.Time,Phase,Temp,Slope.with.BR,Slope,SE,R2,MR.abs.with.BR,BR,MR.abs,MR.mass,DO.unit,Trial,Temperature,Event
1,CH1,1,10.72,317,(2021-Oct-10 21:58:46),M5,20.97016667,-0.004956393,-0.004797523,1.47E-05,0.998320709,5.464958643,3.205361734,5.289786949,493.4502751,mg O2,SMR,21,1
2,CH2,2,9.78,317,(2021-Oct-11 13:27:29),M2,20.99233333,-0.004880876,-0.00470823,2.17E-05,0.997497318,5.398209991,3.537202118,5.207264393,532.440122,mg O2,MMR,21,1
3,CH3,3,11.1,317,(2021-Oct-11 13:38:29),M3,20.9845,-0.004757475,-0.004594101,1.57E-05,0.998624237,5.23912165,3.434038528,5.059208194,455.784522,mg O2,MMR,21,1
4,CH4,4,13.55,317,(2021-Oct-11 13:27:29),M2,20.99233333,-0.006796171,-0.006607926,3.66E-05,0.996384831,7.424273514,2.769872354,7.218630614,532.7402667,mg O2,MMR,21,1
5,CH5,5,13.26,317,(2021-Oct-10 22:22:46),M7,20.9785,-0.006103146,-0.005906556,1.36E-05,0.999059229,6.673570501,3.221129458,6.458606156,487.0743707,mg O2,SMR,21,1
6,CH6,6,16.25,317,(2021-Oct-11 14:22:29),M7,20.97691667,-0.006577936,-0.006304968,2.62E-05,0.997961549,7.121930788,4.149743081,6.826388958,420.0854743,mg O2,MMR,21,1
7,CH7,7,16.76,317,(2021-Oct-10 22:58:46),M10,20.97866667,-0.007088729,-0.006902782,1.08E-05,0.999563513,7.661951486,2.623129809,7.460968552,445.1651881,mg O2,SMR,21,1
8,CH8,8,10.64,317,(2021-Oct-11 14:44:29),M9,20.9635,-0.004492224,-0.004183942,2.55E-05,0.995645126,4.954456343,6.862587664,4.614452433,433.6891384,mg O2,MMR,21,1
9,CH1,1,11.91,317,(2021-Oct-12 22:05:11),M7,23.01658333,-0.005973299,-0.005591248,1.91E-05,0.998617759,6.560617669,6.395972827,6.141002346,515.6173254,mg O2,SMR,23,2
10,CH2,2,17.75,317,(2021-Oct-12 23:44:11),M16,23.01516667,-0.009480988,-0.00910264,2.71E-05,0.998952957,10.21386863,3.990601725,9.806273815,552.4661304,mg O2,SMR,23,2
11,CH3,3,10.99,317,(2021-Oct-13 13:38:58),M3,22.9843333,-0.0058953,-0.0055206,1.87E-05,0.99864621,6.49446792,6.35639143,6.08165412,553.38072,mg O2,MMR,23,2
12,CH4,4,12.12,317,(2021-Oct-13 13:38:58),M3,22.9843333,-0.0060642,-0.0056454,3.54E-05,0.99538526,6.65587292,6.90532252,6.19626343,511.242858,mg O2,MMR,23,2
13,CH5,5,9.38,317,(2021-Oct-12 22:05:11),M7,23.01658333,-0.005578859,-0.004948698,1.60E-05,0.998771856,6.17820718,11.29551903,5.480346612,584.2587006,mg O2,SMR,23,2
14,CH6,6,17.3,317,(2021-Oct-13 14:00:58),M5,22.98416667,-0.007412637,-0.006778004,2.51E-05,0.998385398,7.997641855,8.56149349,7.312924268,422.7123854,mg O2,MMR,23,2
15,CH7,7,8.58,317,(2021-Oct-13 14:11:58),M6,22.986,-0.004949609,-0.004311382,2.59E-05,0.995767781,5.495610542,12.89449498,4.786979316,557.9229972,mg O2,MMR,23,2
16,CH8,8,12.49,317,(2021-Oct-12 22:16:11),M8,23.00941667,-0.006351942,-0.005715473,1.81E-05,0.998823051,6.963227879,10.02006932,6.265507619,501.641923,mg O2,SMR,23,2
17,CH1,1,14.08,317,(2021-Oct-14 22:24:02),M13,24.97908333,-0.006542972,-0.006042352,2.46E-05,0.998049838,7.135189786,7.65126248,6.589257687,467.9870516,mg O2,SMR,25,3
18,CH2,2,16.23,317,(2021-Oct-15 00:47:02),M26,24.97683333,-0.009033509,-0.00847231,3.25E-05,0.998271889,9.781230459,6.212411257,9.173580197,565.223672,mg O2,SMR,25,3
19,CH3,3,11.55,317,(2021-Oct-15 12:46:53),M4,24.91875,-0.005940673,-0.005444254,1.27E-05,0.999360531,6.532482328,8.356265707,5.986610747,518.3212768,mg O2,MMR,25,3
20,CH4,4,16.18,317,(2021-Oct-15 12:46:53),M4,24.91875,-0.008876901,-0.008336143,3.13E-05,0.998339778,9.613257362,6.091743188,9.027642412,557.9507053,mg O2,MMR,25,3
21,CH5,5,14.47,317,(2021-Oct-14 22:13:02),M12,24.98266667,-0.007282289,-0.006553899,2.08E-05,0.998813385,7.931198876,10.00221096,7.137903633,493.2898157,mg O2,SMR,25,3
22,CH6,6,11.97,317,(2021-Oct-14 22:13:02),M12,24.98266667,-0.006091203,-0.005399212,2.25E-05,0.997962526,6.688798275,11.36049366,5.928917771,495.3147679,mg O2,SMR,25,3
23,CH7,7,11.28,317,(2021-Oct-15 13:30:53),M8,24.93941667,-0.005975426,-0.005135236,2.06E-05,0.998098689,6.576506012,14.0607479,5.651800081,501.0461064,mg O2,MMR,25,3
24,CH8,8,16.85,317,(2021-Oct-15 13:08:53),M6,24.9395,-0.008186253,-0.007352886,2.29E-05,0.998852237,8.845573498,10.18007927,7.945087104,471.5185225,mg O2,MMR,25,3
