"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",10.65,317,(2021-Oct-11 13:27:29),"M2",20.9923333333333,-0.00424814409089166,-0.00408556998162817,1.52388600770959e-05,0.998361036486276,4.68510819208078,3.82694432639562,4.50581170993844,423.080911731309,"mg O2","MMR",21,1
"2","CH2","2",9.78,317,(2021-Oct-11 13:27:29),"M2",20.9923333333333,-0.00488087616462869,-0.00470822970953224,2.17101901984754e-05,0.997497317750127,5.39820999107001,3.53720211849685,5.20726439290498,532.440121973924,"mg O2","MMR",21,1
"3","CH3","3",11.1,317,(2021-Oct-11 13:38:29),"M3",20.9845,-0.0047574748920456,-0.00459410137128384,1.5697496619242e-05,0.998624236579403,5.2391216501163,3.43403852818907,5.05920819411261,455.784521992127,"mg O2","MMR",21,1
"4","CH4","4",13.55,317,(2021-Oct-11 13:27:29),"M2",20.9923333333333,-0.00679617135691627,-0.00660792608535258,3.6641641312419e-05,0.996384831037321,7.42427351372248,2.7698723542649,7.21863061416087,532.740266727739,"mg O2","MMR",21,1
"5","CH5","5",13.18,317,(2021-Oct-11 14:00:29),"M5",20.9890833333333,-0.0050143806603978,-0.00478232930345021,2.335836315668e-05,0.997192840972332,5.48448887607141,4.62771721302022,5.23068224030727,396.865116867016,"mg O2","MMR",21,1
"6","CH6","6",16.25,317,(2021-Oct-11 14:22:29),"M7",20.9769166666667,-0.00657793552023786,-0.00630496809609682,2.62322268290074e-05,0.997961548668877,7.12193078776153,4.14974308126343,6.82638895764403,420.085474316555,"mg O2","MMR",21,1
"7","CH7","7",16.63,317,(2021-Oct-11 14:22:29),"M7",20.9769166666667,-0.00640096249096478,-0.00616339441815464,2.49854499992385e-05,0.998064580640554,6.92156557227993,3.71144297666925,6.66467561297199,400.762213648346,"mg O2","MMR",21,1
"8","CH8","8",10.64,317,(2021-Oct-11 14:44:29),"M9",20.9635,-0.00449222441874506,-0.00418394157996391,2.54730023698952e-05,0.995645125664685,4.95445634253625,6.8625876635806,4.61445243277587,433.689138418785,"mg O2","MMR",21,1
"9","CH1","1",11.69,317,(2021-Oct-13 13:16:58),"M1",23.0040833333333,-0.00527390728818587,-0.00489532002821214,2.1048727450873e-05,0.997823167052252,5.79663588296171,7.1784966873007,5.38052456812842,460.267285554184,"mg O2","MMR",23,2
"10","CH2","2",17.15,317,(2021-Oct-13 13:27:58),"M2",22.9825,-0.00796987357578266,-0.00760205290848522,3.14469981481389e-05,0.997984872267229,8.60315973011435,4.61513804202739,8.20611203259346,478.490497527315,"mg O2","MMR",23,2
