"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",10.72,317,(2021-Oct-11 06:34:46),"M48",20.9557777777778,-0.0017242702123569,-0.00146507981744215,1.23185280459949e-05,0.987592119578142,1.90119413030642,15.0318896108785,1.61540872735026,150.691112625957,"mg O2","SMR",21,1
"2","CH2","2",9.97,317,(2021-Oct-11 10:34:46),"M68",20.9648888888889,-0.00189832204840563,-0.00158322373985551,1.58807270303111e-05,0.982406104127609,2.09823054667913,16.5987804237308,1.74994986545221,175.521551198818,"mg O2","SMR",21,1
"3","CH3","3",11.57,317,(2021-Oct-11 11:10:46),"M71",20.956,-0.00181539249757284,-0.00148954555111933,1.09384428104079e-05,0.990515095340847,1.99611118992122,17.9491182699699,1.63782683164216,141.558066693359,"mg O2","SMR",21,1
"4","CH4","4",13.67,317,(2021-Oct-11 04:22:46),"M37",20.9631666666667,-0.00249647176553512,-0.00223799211031323,2.46046701399614e-05,0.978965061078737,2.72611721030316,10.3537984603035,2.44386052855673,178.775459294567,"mg O2","SMR",21,1
"5","CH5","5",13.26,317,(2021-Oct-11 04:34:46),"M38",20.9692222222222,-0.00242037110986768,-0.00210092806975707,9.6273242445397e-06,0.996277149892184,2.64658867528035,13.1981016798729,2.29728921086885,173.24956341394,"mg O2","SMR",21,1
"6","CH6","6",16.34,317,(2021-Oct-11 09:58:46),"M65",20.9635,-0.0026527043733962,-0.00215454356586735,1.68695490415898e-05,0.989231511567523,2.87122354885908,18.7793563626941,2.33202624664924,142.718864544017,"mg O2","SMR",21,1
"7","CH7","7",16.76,317,(2021-Oct-11 10:10:46),"M66",20.9642777777778,-0.0027597068469895,-0.00228450851888295,1.4371906118022e-05,0.993010088194431,2.98286778146446,17.2191596591114,2.4692430157539,147.329535546175,"mg O2","SMR",21,1
"8","CH8","8",10.62,317,(2021-Oct-11 09:22:46),"M62",20.9676111111111,-0.00205586668973269,-0.00157876793071527,1.26056387519285e-05,0.988780243230188,2.26755517104108,23.2066972727428,1.74133050700516,163.967091055099,"mg O2","SMR",21,1
"9","CH1","1",11.91,317,(2021-Oct-13 08:10:11),"M62",23.0408333333333,-0.00201416173556361,-0.00156613146253273,1.72471758986668e-05,0.985885713442078,2.21220217405117,22.2440067805933,1.72011977245479,144.426513220386,"mg O2","SMR",23,2
"10","CH2","2",17.75,317,(2021-Oct-13 04:08:11),"M40",23.0190833333333,-0.00334880444262652,-0.00294153477879852,2.42130122450423e-05,0.992049921888674,3.60766702604155,12.161643679276,3.16891541719965,178.530446039417,"mg O2","SMR",23,2
"11","CH3","3",11.09,317,(2021-Oct-13 09:27:11),"M69",23.0269166666667,-0.00251086328639238,-0.00207433189397798,1.7632654311546e-05,0.991526005364904,2.76515347658505,17.3857093207812,2.2844119308725,205.988451837015,"mg O2","SMR",23,2
"12","CH4","4",12.65,317,(2021-Oct-13 09:27:11),"M69",23.0269166666667,-0.00266010109036265,-0.00217785646790351,3.72197719850228e-05,0.966533222586836,2.91456636066674,18.1288081195966,2.38619021762316,188.631637756771,"mg O2","SMR",23,2
"13","CH5","5",9.38,317,(2021-Oct-13 04:19:11),"M41",23.0115,-0.00218955691004868,-0.0015355220266248,2.0056440098307e-05,0.980232345559548,2.42478538800903,29.8706501037848,1.70048622898915,181.288510553215,"mg O2","SMR",23,2
"14","CH6","6",17.61,317,(2021-Oct-13 11:17:11),"M79",23.0211666666667,-0.00330610125074514,-0.00265502579906768,2.73469909880947e-05,0.987586400260829,3.56332915245812,19.693149189872,2.86159742633834,162.498434204335,"mg O2","SMR",23,2
"15","CH7","7",8.79,317,(2021-Oct-13 11:39:11),"M81",23.0229166666667,-0.00216049394196584,-0.00144726487963003,2.42012699254031e-05,0.967949749095608,2.39718901627185,33.0123148453193,1.60582143078278,182.687307256289,"mg O2","SMR",23,2
"16","CH8","8",12.49,317,(2021-Oct-13 08:32:11),"M64",23.0416666666667,-0.00254485244481808,-0.00184200049124753,2.49061595292948e-05,0.978835859164928,2.7897588646976,27.6185739177814,2.01926725052323,161.670716615151,"mg O2","SMR",23,2
"17","CH1","1",14.08,317,(2021-Oct-15 07:45:02),"M64",24.9888333333333,-0.00294698173174613,-0.00238198052084918,1.60457435846789e-05,0.994664857999572,3.21371894224993,19.1721992983709,2.59757834175228,184.487098135815,"mg O2","SMR",25,3
"18","CH2","2",16.23,317,(2021-Oct-15 11:58:02),"M87",24.972,-0.00426453913571823,-0.00349264656260968,2.08197898171161e-05,0.995784946828187,4.6175235690599,18.1002576959246,3.78173990389001,233.009236222428,"mg O2","SMR",25,3
"19","CH3","3",11.92,317,(2021-Oct-15 02:26:02),"M35",24.9839166666667,-0.00251143893614781,-0.00197344834350222,1.88354818156658e-05,0.989364160260161,2.75828324630391,21.421607545465,2.16741463428837,181.830086769159,"mg O2","SMR",25,3
"20","CH4","4",16.58,317,(2021-Oct-15 04:16:02),"M45",24.9863333333333,-0.00428276762182162,-0.00369075729274333,3.95627525496765e-05,0.986612895117919,4.63186457621155,13.8230784706103,3.99159830118942,240.747786561485,"mg O2","SMR",25,3
"21","CH5","5",14.47,317,(2021-Oct-15 08:40:02),"M69",24.9915,-0.003430520785236,-0.00250858095057961,2.00825556877981e-05,0.992476087690923,3.73620763136682,26.8746319399714,2.73211558192386,188.812410637447,"mg O2","SMR",25,3
"22","CH6","6",11.97,317,(2021-Oct-15 10:08:02),"M77",24.9620833333333,-0.00307863208498337,-0.00218584830469083,2.09477320028316e-05,0.989277582387722,3.38067052157692,28.9993658107853,2.40029751016744,200.526107783412,"mg O2","SMR",25,3
"23","CH7","7",11.63,317,(2021-Oct-15 08:07:02),"M66",24.9960833333333,-0.00291507379014683,-0.00193768015980901,2.08723854105407e-05,0.986463651328363,3.20463389986969,33.5289498894156,2.13015380544316,183.160258421596,"mg O2","SMR",25,3
"24","CH8","8",17.31,317,(2021-Oct-15 06:17:02),"M56",24.9826666666667,-0.00395635246801493,-0.00297835310951002,2.07962179054649e-05,0.994271039918814,4.26844537610182,24.7197226842534,3.21329751620061,185.63243883308,"mg O2","SMR",25,3
