Date & time of file creation	10/10/2021 8:00 AM																																													
Raw data file path	C:\Users\New User\Dropbox (University of Michigan)\MR Data 2021\Static MR_10.10.2021\empty_loading_raw.txt																																													
Data file path	C:\Users\New User\Dropbox (University of Michigan)\MR Data 2021\Static MR_10.10.2021\empty_loading.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	56.0000	28.6300	0.00	100.00	21.91	20.65																																							
Chamber 2	1	56.0000	28.6300	0.00	100.00	21.91	20.65																																							
Chamber 3	1	56.0000	28.5700	0.00	100.00	21.91	20.65																																							
Chamber 4	1	56.0000	28.4000	0.00	100.00	21.91	20.65																																							
Chamber 5	1	60.3900	27.7500	0.00	100.00	20.00	20.00																																							
Chamber 6	1	60.3900	27.7000	0.00	100.00	20.00	20.00																																							
Chamber 7	1	60.3900	27.7200	0.00	100.00	20.00	20.00																																							
Chamber 8	1	60.3900	27.6700	0.00	100.00	20.00	20.00																																							
																																														
																																														
Ambient temp N°1	1	0.0000	0.0000	0.00	0.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	270	47	0	1	0	Not used	Not used	Not used																																						
Chamber 2	270	47	0	1	Not used	Not used	Not used	Not used																																						
Chamber 3	270	47	0	1	Not used	Not used	Not used	Not used																																						
Chamber 4	270	47	0	1	Not used	Not used	Not used	Not used																																						
Chamber 5	270	47	0	1	0	Not used	Not used	Not used																																						
Chamber 6	270	47	0	1	Not used	Not used	Not used	Not used																																						
Chamber 7	270	47	0	1	Not used	Not used	Not used	Not used																																						
Chamber 8	270	47	0	1	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
