,Chamber.No,Ind,Mass,Volume,Date.Time,Phase,Temp,Slope.with.BR,Slope,SE,R2,MR.abs.with.BR,BR,MR.abs,MR.mass,DO.unit,Trial,Temperature,Event
1,CH1,1,13.82,317,(2021-Oct-18 14:22:51),M2,20.95361111,-0.00512632,-0.004971246,8.76E-06,0.999447989,5.595111477,3.025043615,5.425856915,392.6090387,mg O2,MMR,21,1
2,CH2,2,8.92,317,(2021-Oct-18 14:22:51),M2,20.95361111,-0.004499727,-0.004333276,1.29E-05,0.998424855,4.990593764,3.699156284,4.805983902,538.7874329,mg O2,MMR,21,1
3,CH3,3,12.11,317,(2021-Oct-18 14:34:51),M3,20.9365,-0.005024633,-0.004850728,7.60E-06,0.999563006,5.51505778,3.461048638,5.324178947,439.6514407,mg O2,MMR,21,1
4,CH4,4,12.21,317,(2021-Oct-18 14:22:51),M2,20.95361111,-0.006159105,-0.006010682,1.96E-05,0.998109527,6.758040916,2.409807934,6.59518511,540.1462006,mg O2,MMR,21,1
5,CH5,5,10.05,317,(2021-Oct-18 15:10:51),M6,20.9775,-0.00457919,-0.004358658,1.32E-05,0.998373611,5.060096666,4.815972349,4.81640381,479.2441602,mg O2,MMR,21,1
6,CH6,6,13.64,317,(2021-Oct-18 15:10:51),M6,20.9775,-0.005252715,-0.005014922,1.60E-05,0.998200022,5.736469513,4.52705173,5.476776571,401.523209,mg O2,MMR,21,1
7,CH7,7,13.77,317,(2021-Oct-18 15:22:51),M7,20.99233333,-0.004926429,-0.004706066,1.61E-05,0.997922078,5.377827654,4.473071761,5.137273563,373.0772377,mg O2,MMR,21,1
8,CH8,8,13.98,317,(2021-Oct-18 15:46:51),M9,21.0345,-0.006177116,-0.005821201,1.31E-05,0.999100114,6.738443132,5.761836797,6.350185036,454.2335505,mg O2,MMR,21,1
9,CH1,1,10.2,317,(2021-Oct-20 13:22:44),M2,22.98166667,-0.004320261,-0.004064446,2.08E-05,0.996919975,4.771641903,5.921285417,4.489099367,440.1077811,mg O2,MMR,23,2
10,CH2,2,13.29,317,(2021-Oct-20 13:11:44),M1,22.99108333,-0.006292313,-0.005995054,3.62E-05,0.995711638,6.879737713,4.724156971,6.554728104,493.2075323,mg O2,MMR,23,2
11,CH3,3,10.67,317,(2021-Oct-20 13:33:44),M3,22.9625,-0.004780849,-0.00446863,2.20E-05,0.997152258,5.2722628,6.530614447,4.927951644,461.8511381,mg O2,MMR,23,2
12,CH4,4,13.84,317,(2021-Oct-20 14:50:44),M10,22.93091667,-0.005906591,-0.005583757,4.16E-05,0.993484331,6.446311418,5.46564924,6.093978647,440.3163762,mg O2,MMR,23,2
13,CH5,5,7.67,317,(2021-Oct-20 13:55:44),M5,22.90641667,-0.003878883,-0.003475575,1.85E-05,0.996665157,4.319477781,10.39753166,3.870358712,504.6100015,mg O2,MMR,23,2
14,CH6,6,11.94,317,(2021-Oct-20 14:06:44),M6,22.91391667,-0.005997284,-0.005545459,2.20E-05,0.998145735,6.586313684,7.533841041,6.090111281,510.0595713,mg O2,MMR,23,2
15,CH7,7,9.74,317,(2021-Oct-20 14:28:44),M8,22.91408333,-0.004978157,-0.004572303,1.83E-05,0.998109165,5.506518672,8.152696091,5.05758894,519.2596447,mg O2,MMR,23,2
16,CH8,8,9.38,317,(2021-Oct-20 14:28:44),M8,22.91408333,-0.004597024,-0.004085691,1.99E-05,0.997211973,5.0908919,11.12314394,4.524624666,482.3693674,mg O2,MMR,23,2
17,CH1,1,13.32,317,(2021-Oct-22 13:20:49),M2,24.97341667,-0.006678278,-0.006358854,1.55E-05,0.999300462,7.301014549,4.783035042,6.951804464,521.9072421,mg O2,MMR,25,3
18,CH2,2,11.79,317,(2021-Oct-22 13:31:49),M3,25.00166667,-0.005636725,-0.005240794,2.10E-05,0.998114057,6.193385802,7.024136074,5.758353955,488.4100047,mg O2,MMR,25,3
19,CH3,3,10.55,317,(2021-Oct-22 13:42:49),M4,25.00533333,-0.005567961,-0.005159194,1.49E-05,0.999010581,6.142685756,7.341409109,5.691726064,539.5001009,mg O2,MMR,25,3
20,CH4,4,12.18,317,(2021-Oct-22 13:42:49),M4,25.00533333,-0.005981719,-0.005559199,3.01E-05,0.996560808,6.564051801,7.063524269,6.100398409,500.8537282,mg O2,MMR,25,3
21,CH5,5,11.84,317,(2021-Oct-22 13:53:49),M5,24.98091667,-0.006564761,-0.006115971,1.77E-05,0.999015523,7.211889419,6.836352436,6.718859241,567.4712197,mg O2,MMR,25,3
22,CH6,6,11.26,317,(2021-Oct-22 14:04:49),M6,24.986,-0.005694046,-0.005193871,2.05E-05,0.998172496,6.267231369,8.784166748,5.716707315,507.700472,mg O2,MMR,25,3
23,CH7,7,14.13,317,(2021-Oct-22 14:15:49),M7,24.98758333,-0.007032358,-0.006588903,1.56E-05,0.999341462,7.66760513,6.305930174,7.184091304,508.4282593,mg O2,MMR,25,3
24,CH8,8,15.67,317,(2021-Oct-22 14:26:49),M8,24.98175,-0.006961894,-0.006419085,2.40E-05,0.99835305,7.552179575,7.796870846,6.963345887,444.3743387,mg O2,MMR,25,3
