"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",13.87,317,(2021-Oct-17 23:33:28),"M8",20.9586111111111,-0.00645399069621269,-0.00629862618251502,1.46682239599023e-05,0.999035584112879,7.04303351907463,2.40726274658009,6.8734891969408,495.565190839279,"mg O2","SMR",21,1
"2","CH2","2",9.23,317,(2021-Oct-18 06:08:27),"M41",20.9490555555556,-0.00470731543520016,-0.00449185655261718,1.75000337965351e-05,0.997305524465222,5.21557369736959,4.57710738846668,4.97685128831636,539.203823219541,"mg O2","SMR",21,1
"3","CH3","3",12.37,317,(2021-Oct-17 22:21:28),"M2",20.9565,-0.0059035712788733,-0.00574237847559396,2.01507757232139e-05,0.997812898047391,6.47425770725943,2.7304286789285,6.29748271807268,509.093186586312,"mg O2","SMR",21,1
"4","CH4","4",12.34,317,(2021-Oct-17 22:57:28),"M5",20.9516666666667,-0.00649857832888906,-0.00635361175430174,1.46150480574777e-05,0.999059041854442,7.12748474524562,2.23074289868714,6.96848888543605,564.70736510827,"mg O2","SMR",21,1
"5","CH5","5",10.22,317,(2021-Oct-17 22:10:28),"M1",20.9593333333333,-0.00559247275811815,-0.00541592173209913,1.81636537067699e-05,0.998001919200432,6.17637165384775,3.15694029555581,5.98138728830414,585.26294406107,"mg O2","SMR",21,1
"6","CH6","6",14.066,317,(2021-Oct-17 22:33:28),"M3",20.9621111111111,-0.00610696487524337,-0.00591505481761538,1.43204284215623e-05,0.998957774708916,6.66002627106111,3.14247849051755,6.45073637803019,458.604889665164,"mg O2","SMR",21,1
"7","CH7","7",13.914,317,(2021-Oct-18 06:08:27),"M41",20.9490555555556,-0.00613853396768224,-0.005882107879595,1.25671320170122e-05,0.999188153985693,6.69781334206418,4.17731806058663,6.41802437566175,461.263790115118,"mg O2","SMR",21,1
"8","CH8","8",13.9975,317,(2021-Oct-17 22:10:28),"M1",20.9593333333333,-0.00766073498712936,-0.00738786699168895,1.91544561144871e-05,0.998804905678748,8.35639867057559,3.56190360192394,8.05875180533723,575.72793751293,"mg O2","SMR",21,1
"9","CH1","1",10.51,317,(2021-Oct-19 23:33:42),"M13",22.9818888888889,-0.00434439863993921,-0.00408473584326388,1.18015493001367e-05,0.998516371083311,4.79345306095789,5.97695603456335,4.50695047896701,428.824974211894,"mg O2","SMR",23,2
"10","CH2","2",13.57,317,(2021-Oct-20 06:57:42),"M50",22.9090555555556,-0.00671637787015149,-0.00637192270516591,2.04129738803336e-05,0.998176528760844,7.33662193370424,5.12858525301833,6.96035702314258,512.922404063565,"mg O2","SMR",23,2
"11","CH3","3",10.92,317,(2021-Oct-19 22:09:42),"M6",22.9903333333333,-0.00497233796957874,-0.00466501195807336,1.36029816175867e-05,0.998488786259173,5.47895954062317,6.18071445234877,5.14032069645754,470.725338503437,"mg O2","SMR",23,2
"12","CH4","4",14.26,317,(2021-Oct-19 22:21:42),"M7",22.9842222222222,-0.00651803104843699,-0.00623002225071928,2.17085108325564e-05,0.997843431413496,7.10376739057373,4.41864721995716,6.78987697025792,476.148455137302,"mg O2","SMR",23,2
"13","CH5","5",7.9,317,(2021-Oct-19 22:09:42),"M6",22.9903333333333,-0.00391090894755734,-0.00351365913867975,1.19320465144664e-05,0.997951480755018,4.35190304048391,10.1574803761591,3.90985934315728,494.918904197124,"mg O2","SMR",23,2
"14","CH6","6",12.53,317,(2021-Oct-19 22:21:42),"M7",22.9842222222222,-0.00590440385066595,-0.00546057448545467,1.17294175289038e-05,0.999179384551998,6.47176982548414,7.51692086850081,5.98529200891098,477.67693606632,"mg O2","SMR",23,2
"15","CH7","7",10.23,317,(2021-Oct-20 06:57:42),"M50",22.9090555555556,-0.00537135717256874,-0.00495804429709515,1.63559271866011e-05,0.998066656240798,5.93197646338408,7.69475687791444,5.47552529647157,535.241964464474,"mg O2","SMR",23,2
"16","CH8","8",9.91,317,(2021-Oct-19 22:09:42),"M6",22.9903333333333,-0.00487632807319171,-0.00436399515110199,1.61575171493294e-05,0.997565878119417,5.39089771678719,10.5065310290819,4.82450137542688,486.831622141965,"mg O2","SMR",23,2
"17","CH1","1",13.9,317,(2021-Oct-21 22:15:55),"M7",25.018,-0.0064764225268287,-0.00615807520564334,2.01901393881641e-05,0.998733164757782,7.0668132043744,4.91548103704783,6.71944534138979,483.413333912934,"mg O2","SMR",25,3
"18","CH2","2",11.99,317,(2021-Oct-21 22:04:55),"M6",25.0083333333333,-0.00688858198503421,-0.00650061686390372,2.09307661552041e-05,0.998778166134854,7.56391100851903,5.63200266721611,7.13791133877338,595.322046603285,"mg O2","SMR",25,3
"19","CH3","3",10.86,317,(2021-Oct-21 22:04:55),"M6",25.0083333333333,-0.00482403867296375,-0.00442795800438519,1.20956862393675e-05,0.99912026106672,5.31659231762804,8.21056163580078,4.88007022846494,449.361899490326,"mg O2","SMR",25,3
"20","CH4","4",12.53,317,(2021-Oct-21 22:15:55),"M7",25.018,-0.00571148625194,-0.00531206994267828,3.04557626733662e-05,0.996136222316659,6.26031438886142,6.99321142769189,5.82251736761012,464.68614266641,"mg O2","SMR",25,3
"21","CH5","5",12.09,317,(2021-Oct-22 08:20:55),"M62",24.9625833333333,-0.00529155462499683,-0.00481306671355076,1.75760043487814e-05,0.998428929393721,5.80841251454802,9.042482698482,5.28318781786355,436.988239690947,"mg O2","SMR",25,3
"22","CH6","6",11.34,317,(2021-Oct-21 22:26:55),"M8",25.0068333333333,-0.00525085028882132,-0.00476121832359152,3.17486235018907e-05,0.994780572000315,5.77790963741205,9.32481290263006,5.23913037404034,462.004442155233,"mg O2","SMR",25,3
"23","CH7","7",14.13,317,(2021-Oct-21 22:48:55),"M10",25.0066666666667,-0.00721049248233326,-0.00677910370676474,1.94644411222911e-05,0.999028150412976,7.86183068924739,5.98279211337486,7.39147370280421,523.105003737028,"mg O2","SMR",25,3
