Date & time of file creation	10/20/2021 1:00 PM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.17.2021\MMR_23_DB_10.20.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.17.2021\MMR_23_DB_10.20.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	10.51	306.49	0																																																											
Chamber 2	13.57	303.56435643564356																																																												
Chamber 3	10.92	305.969696969697																																																												
Chamber 4	14.26	303.01960784313724																																																												
Chamber 5	7.9	309	0																																																											
Chamber 6	12.53	304.470																																																												
Chamber 7	10.23	306.4969199178645																																																												
Chamber 8	9.91	307																																																												
																																																														
																																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
10/20/2021/1:11:44 PM	660	1	F480/W60/M120	388.4	-155.709	0.993	93.46	88.18	90.97	22.99	507.6	-264.955	0.996	90.56	81.66	85.99	22.99	321.1	-134.028	0.996	92.61	88.35	90.45	22.99	221.3	-121.838	0.969	93.44	88.87	91.14	22.99	427.6	-127.856	0.995	93.23	88.93	91.10	22.99	338.7	-162.898	0.995	92.50	87.24	89.83	22.99	308.0	-120.246	0.992	93.27	89.38	91.28	22.99	358.6	-135.362	0.993	93.10	88.52	90.77	22.99	23.00	0.00	0.00
10/20/2021/1:22:44 PM	1320	2	F480/W60/M120	453.9	-181.754	0.997	92.45	86.43	89.34	22.98	458.9	-239.475	0.997	91.51	83.63	87.44	22.98	264.8	-110.464	0.993	93.24	89.52	91.30	22.98	325.0	-178.619	0.989	91.57	85.52	88.50	22.98	505.4	-150.937	0.996	92.16	87.13	89.61	22.98	265.5	-127.692	0.991	92.82	88.44	90.55	22.98	264.6	-103.274	0.990	93.09	89.50	91.22	22.98	304.1	-114.747	0.989	93.08	89.31	91.11	22.98	22.99	0.00	0.00
10/20/2021/1:33:44 PM	1980	3	F480/W60/M120	365.3	-145.856	0.996	92.83	87.97	90.38	22.96	424.7	-221.147	0.995	90.96	83.81	87.47	22.96	483.7	-201.082	0.997	91.99	85.44	88.82	22.96	270.0	-147.955	0.981	91.86	86.89	89.26	22.96	352.4	-104.856	0.993	92.88	89.48	91.14	22.96	513.8	-246.306	0.996	90.26	82.16	85.94	22.96	302.4	-117.512	0.989	92.35	88.45	90.25	22.96	342.8	-128.820	0.994	92.02	87.71	89.76	22.96	22.97	0.00	0.00
