,Chamber.No,Ind,Mass,Volume,Date.Time,Phase,Temp,Slope.with.BR,Slope,SE,R2,MR.abs.with.BR,BR,MR.abs,MR.mass,DO.unit,Trial,Temperature,Event
1,CH1,1,14.4,317,(2021-Oct-26 14:38:21),M9,20.90766667,-0.007099882,-0.006885346,1.94E-05,0.999059715,7.734327495,3.021684751,7.500620501,520.8764237,mg O2,MMR,21,1
2,CH2,2,18.51,317,(2021-Oct-25 22:05:09),M7,21.02338889,-0.00934389,-0.009179417,1.12E-05,0.999734236,10.04060809,1.760226865,9.863870606,532.894144,mg O2,SMR,21,1
3,CH3,3,17.49,317,(2021-Oct-26 13:43:21),M4,20.94641667,-0.007293632,-0.007098874,1.65E-05,0.999364586,7.864256863,2.670246679,7.654261805,437.6364668,mg O2,MMR,21,1
4,CH4,4,16.08,317,(2021-Oct-25 22:17:09),M8,21.03644444,-0.007278479,-0.007118091,1.89E-05,0.998742031,7.884863713,2.203596188,7.711113157,479.5468381,mg O2,SMR,21,1
5,CH5,5,13.67,317,(2021-Oct-25 22:17:09),M8,21.03644444,-0.007145217,-0.006948169,1.36E-05,0.999315854,7.802491601,2.757761016,7.58731753,555.0342011,mg O2,SMR,21,1
6,CH6,6,15.38,317,(2021-Oct-26 14:16:21),M7,20.92016667,-0.00743326,-0.007195159,2.25E-05,0.998845984,8.071271084,3.203173116,7.812734299,507.9801234,mg O2,MMR,21,1
7,CH7,7,14.22,317,(2021-Oct-25 22:17:09),M8,21.03644444,-0.007178244,-0.006987963,1.74E-05,0.998898107,7.824343474,2.65080502,7.616935385,535.6494645,mg O2,SMR,21,1
8,CH8,8,14.16,317,(2021-Oct-25 22:05:09),M7,21.0233889,-0.0067178,-0.006501,9.37E-06,0.99963032,7.32393478,3.22705843,7.08758713,500.535814,mg O2,SMR,21,1
9,CH1,1,18.56,317,(2021-Oct-27 22:04:32),M6,23.03975,-0.007791108,-0.007386302,2.75E-05,0.998365826,8.370641728,5.195736744,7.93572522,427.571402,mg O2,SMR,23,2
10,CH2,2,19.14,317,(2021-Oct-28 06:41:32),M53,23.04508333,-0.008699426,-0.00823802,2.81E-05,0.998628957,9.32836021,5.30387176,8.833595947,461.5253891,mg O2,SMR,23,2
11,CH3,3,14.92,317,(2021-Oct-28 13:41:57),M4,22.9588333,-0.0067121,-0.0063523,1.67E-05,0.99918411,7.29934875,5.36073959,6.90804967,463.00601,mg O2,MMR,23,2
12,CH4,4,20.56,317,(2021-Oct-27 22:04:32),M6,23.03975,-0.009771169,-0.009388884,3.36E-05,0.998493561,10.42763553,3.912379578,10.01966685,487.3378816,mg O2,SMR,23,2
13,CH5,5,15.14,317,(2021-Oct-28 14:14:57),M7,22.96316667,-0.00658866,-0.006148401,1.62E-05,0.99918521,7.159870945,6.682079092,6.681442706,441.3106147,mg O2,MMR,23,2
14,CH6,6,14.85,317,(2021-Oct-27 22:15:32),M7,23.03575,-0.007367777,-0.006919985,2.23E-05,0.998775204,8.014226297,6.077717131,7.527144293,506.8784036,mg O2,SMR,23,2
15,CH7,7,17.69,317,(2021-Oct-27 22:37:32),M9,23.02583333,-0.00893147,-0.008505413,1.85E-05,0.999441679,9.6238014,4.770288843,9.164718275,518.0733904,mg O2,SMR,23,2
16,CH8,8,16.3,317,(2021-Oct-28 14:25:57),M8,23.00175,-0.00831372,-0.007820068,1.93E-05,0.999284718,8.999768229,5.937798885,8.465380091,519.3484718,mg O2,MMR,23,2
17,CH1,1,15.15,317,(2021-Oct-30 07:03:15),M55,24.977,-0.007386103,-0.006947997,2.40E-05,0.99859047,8.026182209,5.931488817,7.550110108,498.3571029,mg O2,SMR,25,3
18,CH2,2,17.66,317,(2021-Oct-29 22:26:15),M8,25.00766667,-0.008880901,-0.008343335,2.68E-05,0.998780785,9.57027175,6.053057596,8.990977689,509.1153844,mg O2,SMR,25,3
19,CH3,3,14.91,317,(2021-Oct-30 14:41:16),M9,24.9595,-0.007248493,-0.006696629,1.57E-05,0.999354716,7.882910334,7.613502272,7.282744776,488.4470004,mg O2,MMR,25,3
20,CH4,4,16.85,317,(2021-Oct-30 13:35:16),M3,24.9535,-0.008642644,-0.008146944,3.62E-05,0.997679214,9.338722154,5.735513908,8.803098446,522.4390769,mg O2,MMR,25,3
21,CH5,5,18.09,317,(2021-Oct-29 22:48:15),M10,25.0065,-0.009997307,-0.009519333,3.46E-05,0.998442599,10.75786265,4.781037001,10.24352525,566.2534689,mg O2,SMR,25,3
22,CH6,6,17.47,317,(2021-Oct-30 13:13:16),M1,24.96141667,-0.008275353,-0.007802036,1.88E-05,0.999318938,8.923379001,5.719599656,8.412997447,481.5682568,mg O2,MMR,25,3
23,CH7,7,18.49,317,(2021-Oct-29 22:37:15),M9,24.98591667,-0.008469477,-0.007983983,2.75E-05,0.998599386,9.101605277,5.732281414,8.579875649,464.027888,mg O2,SMR,25,3
24,CH8,8,14.62,317,(2021-Oct-30 13:13:16),M1,24.96141667,-0.008118365,-0.007579673,2.45E-05,0.998771523,8.837392685,6.635478948,8.250989353,564.3631569,mg O2,MMR,25,3
