"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",15.1,317,(2021-Oct-25 22:05:09),"M7",21.0233888888889,-0.00577869582282228,-0.00562517693229171,1.353270808438e-05,0.998970870848938,6.28051776807617,2.65663560148398,6.11366729709193,404.878628946485,"mg O2","SMR",21,1
"2","CH2","2",18.51,317,(2021-Oct-25 22:05:09),"M7",21.0233888888889,-0.00934389025427095,-0.00917941658776573,1.12178806360596e-05,0.999734236070368,10.0406080871904,1.76022686514368,9.86387060621589,532.894144041917,"mg O2","SMR",21,1
"3","CH3","3",17.85,317,(2021-Oct-26 06:17:09),"M48",21.0071111111111,-0.00721968535733846,-0.00696025712544536,2.36090659322258e-05,0.997956199384797,7.77516794873208,3.59334540291847,7.49577930867713,419.931613931492,"mg O2","SMR",21,1
"4","CH4","4",16.08,317,(2021-Oct-25 22:17:09),"M8",21.0364444444444,-0.00727847906489497,-0.00711809077768286,1.89348508351018e-05,0.998742030646494,7.88486371274951,2.20359618791359,7.71111315655317,479.546838094103,"mg O2","SMR",21,1
"5","CH5","5",13.67,317,(2021-Oct-25 22:17:09),"M8",21.0364444444444,-0.00714521734783358,-0.00694816932930688,1.3626470182819e-05,0.999315854093609,7.80249160122609,2.75776101599538,7.58731752957117,555.034201139076,"mg O2","SMR",21,1
"6","CH6","6",15.6,317,(2021-Oct-25 22:05:09),"M7",21.0233888888889,-0.00675513063984399,-0.00656300147173001,1.16119242326562e-05,0.999443094563459,7.32958694945633,2.84419618742446,7.12111911688593,456.481994672175,"mg O2","SMR",21,1
"7","CH7","7",14.22,317,(2021-Oct-25 22:17:09),"M8",21.0364444444444,-0.0071782440811244,-0.00698796282664888,1.73960110730973e-05,0.998898107134101,7.82434347437824,2.6508050203513,7.61693538474989,535.64946446905,"mg O2","SMR",21,1
"8","CH8","8",14.16,317,(2021-Oct-25 22:05:09),"M7",21.0233888888889,-0.00671782567600806,-0.00650103751632955,9.37059909388347e-06,0.999630317585186,7.32393477980021,3.22705842833561,7.08758712520286,500.535813926756,"mg O2","SMR",21,1
"9","CH1","1",18.56,317,(2021-Oct-27 22:04:32),"M6",23.03975,-0.00779110795413547,-0.00738630249543105,2.75099856944355e-05,0.998365826122325,8.37064172819588,5.19573674357261,7.93572522025119,427.571401953189,"mg O2","SMR",23,2
"10","CH2","2",19.14,317,(2021-Oct-28 06:41:32),"M53",23.0450833333333,-0.00869942647350887,-0.00823802004948126,2.80999295269867e-05,0.998628957445107,9.32836020983767,5.30387176019787,8.83359594697855,461.525389079339,"mg O2","SMR",23,2
"11","CH3","3",15.12,317,(2021-Oct-28 06:19:32),"M51",23.0563333333333,-0.00620085053406868,-0.00580154452886304,2.33526807405284e-05,0.99809173497411,6.73888593320876,6.43953604447933,6.30493294454343,416.992919612661,"mg O2","SMR",23,2
"12","CH4","4",20.56,317,(2021-Oct-27 22:04:32),"M6",23.03975,-0.00977116929111807,-0.00938888405925483,3.35719137477192e-05,0.998493561102385,10.4276355287725,3.91237957785392,10.0196668458918,487.337881609524,"mg O2","SMR",23,2
"13","CH5","5",14.96,317,(2021-Oct-27 22:04:32),"M6",23.03975,-0.0056540707835437,-0.00521718843419218,2.03071279171606e-05,0.998215443693868,6.14791994206154,7.72686381329133,5.67287854078827,379.203111015258,"mg O2","SMR",23,2
"14","CH6","6",14.85,317,(2021-Oct-27 22:15:32),"M7",23.03575,-0.00736777749958898,-0.00691998482434694,2.23080794049531e-05,0.998775203777272,8.01422629740292,6.07771713066828,7.52714429283514,506.878403557922,"mg O2","SMR",23,2
"15","CH7","7",17.69,317,(2021-Oct-27 22:37:32),"M9",23.0258333333333,-0.00893146960225152,-0.00850541270429092,1.85062196017854e-05,0.999441678819676,9.62380139993965,4.77028884309471,9.16471827547674,518.073390360471,"mg O2","SMR",23,2
"16","CH8","8",16.52,317,(2021-Oct-27 22:15:32),"M7",23.03575,-0.00437590221877669,-0.00389166252366782,2.28336715455123e-05,0.99595421744779,4.73353595531287,11.0660538307055,4.20972031840215,254.825685133302,"mg O2","SMR",23,2
"17","CH1","1",15.15,317,(2021-Oct-30 07:03:15),"M55",24.977,-0.00738610256062795,-0.00694799671320082,2.40304545503933e-05,0.998590470441859,8.02618220853197,5.93148881742422,7.5501101083668,498.357102862495,"mg O2","SMR",25,3
"18","CH2","2",17.66,317,(2021-Oct-29 22:26:15),"M8",25.0076666666667,-0.00888090071279721,-0.00834333467761165,2.68351273886522e-05,0.998780785332108,9.57027174972738,6.05305759595914,8.99097768862658,509.115384406941,"mg O2","SMR",25,3
"19","CH3","3",14.82,317,(2021-Oct-29 22:26:15),"M8",25.0076666666667,-0.00608665051045877,-0.00562212936890424,2.05437526780375e-05,0.998426900592478,6.62135058450156,7.63180242986411,6.11602218970374,412.687057334936,"mg O2","SMR",25,3
"20","CH4","4",17.08,317,(2021-Oct-30 06:41:15),"M53",24.9788333333333,-0.00784546058574412,-0.00720150068592528,4.41912152683715e-05,0.995576332785693,8.47083793995496,8.20805729352556,7.77554670860175,455.242781534061,"mg O2","SMR",25,3
"21","CH5","5",18.09,317,(2021-Oct-29 22:48:15),"M10",25.0065,-0.00999730748155581,-0.00951933251173747,3.46101993829302e-05,0.998442599470986,10.7578626455226,4.78103700121417,10.2435252519004,566.253468872328,"mg O2","SMR",25,3
"22","CH6","6",18.23,317,(2021-Oct-29 22:37:15),"M9",24.9859166666667,-0.00854612469339177,-0.00806232865113074,2.16684676099008e-05,0.999148376969535,9.19197242872078,5.66099910331437,8.67161495195399,475.678274928908,"mg O2","SMR",25,3
"23","CH7","7",18.49,317,(2021-Oct-29 22:37:15),"M9",24.9859166666667,-0.00846947736435968,-0.00798398308753511,2.75259431522382e-05,0.998599385872709,9.10160527692603,5.73228141405251,8.57987564925638,464.027888007376,"mg O2","SMR",25,3
"24","CH8","8",14.87,317,(2021-Oct-29 22:15:15),"M7",24.9905,-0.00745870000691715,-0.00691267175982356,2.80140625396335e-05,0.998065799469109,8.11258931912356,7.32068921644788,7.51869186766378,505.62823588862,"mg O2","SMR",25,3
