"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",14.4,317,(2021-Oct-26 14:38:21),"M9",20.9076666666667,-0.0070998820363278,-0.00688534598348207,1.94454834912312e-05,0.999059715211709,7.73432749509405,3.0216847512116,7.50062050056603,520.876423650419,"mg O2","MMR",21,1
"2","CH2","2",18.29,317,(2021-Oct-26 13:21:21),"M2",20.9579166666667,-0.00891301354922725,-0.00874768946851157,2.18911448566946e-05,0.999261566441434,9.58466259824282,1.85486176816163,9.40688035610073,514.318226140007,"mg O2","MMR",21,1
"3","CH3","3",17.49,317,(2021-Oct-26 13:43:21),"M4",20.9464166666667,-0.00729363224999796,-0.00709887427709043,1.64783961466081e-05,0.999364585864916,7.8642568627088,2.67024667863645,7.65426180503288,437.636466840073,"mg O2","MMR",21,1
"4","CH4","4",15.61,317,(2021-Oct-26 13:54:21),"M5",20.9398333333333,-0.00642640339354795,-0.00624504601896959,3.361619214893e-05,0.996592582052696,6.9726733876131,2.82206645727279,6.77589991076608,434.074305622427,"mg O2","MMR",21,1
"5","CH5","5",13.2,317,(2021-Oct-26 14:05:21),"M6",20.9314166666667,-0.0058258186199112,-0.0055959731504114,1.99094874378676e-05,0.998508570534726,6.37158130822448,3.94529051615585,6.12020391514194,463.651811753177,"mg O2","MMR",21,1
"6","CH6","6",15.38,317,(2021-Oct-26 14:16:21),"M7",20.9201666666667,-0.00743325955029773,-0.00719515937875842,2.25141752252395e-05,0.998845984127773,8.07127108401888,3.20317311575336,7.81273429855601,507.980123443174,"mg O2","MMR",21,1
"7","CH7","7",14.15,317,(2021-Oct-26 14:16:21),"M7",20.9201666666667,-0.00716871231097999,-0.00693753429108902,3.05173467818014e-05,0.997721889593745,7.81576028416904,3.22481932406307,7.56371613620271,534.538242841181,"mg O2","MMR",21,1
"8","CH8","8",13.38,317,(2021-Oct-26 14:27:21),"M8",20.9124166666667,-0.00609375490336377,-0.00581757436512658,2.40231073970833e-05,0.997991908461873,6.66066910953351,4.53218980114772,6.35879494346303,475.246258853739,"mg O2","MMR",21,1
"9","CH1","1",18.4,317,(2021-Oct-28 13:19:57),"M2",23.019,-0.00704867008528334,-0.00664375261342941,2.39908782043091e-05,0.998463687130771,7.57703839487618,5.74459390146998,7.14176830933208,388.139582028917,"mg O2","MMR",23,2
"10","CH2","2",18.75,317,(2021-Oct-28 13:30:57),"M3",22.984,-0.00790182520280065,-0.00750451910451635,2.52068766459782e-05,0.998670474856964,8.48418972024706,5.02802944999954,8.05760216251921,429.738782001024,"mg O2","MMR",23,2
"11","CH3","3",14.92,317,(2021-Oct-28 13:41:57),"M4",22.9588333333333,-0.00671211889532392,-0.00635229968031939,1.67102093567684e-05,0.999184114240164,7.29934875323802,5.36073959081985,6.90804967475118,463.006010372063,"mg O2","MMR",23,2
"12","CH4","4",19.98,317,(2021-Oct-28 14:03:57),"M6",22.9798333333333,-0.00727970756792602,-0.00688660343910001,3.45759628711152e-05,0.997034277494863,7.78398747057139,5.3999989032252,7.36365223253335,368.551162789457,"mg O2","MMR",23,2
"13","CH5","5",15.14,317,(2021-Oct-28 14:14:57),"M7",22.9631666666667,-0.00658866043982371,-0.00614840093810613,1.61629674752816e-05,0.999185209715555,7.15987094531467,6.68207909238319,6.68144270583618,441.310614652324,"mg O2","MMR",23,2
"14","CH6","6",14.76,317,(2021-Oct-28 14:14:57),"M7",22.9631666666667,-0.00669893235850931,-0.00624803947944005,1.83446295516793e-05,0.998983819577833,7.28886713772908,6.73081701588635,6.79826682815746,460.587183479503,"mg O2","MMR",23,2
"15","CH7","7",17.68,317,(2021-Oct-28 14:25:57),"M8",23.00175,-0.00656864900773063,-0.0061355041888946,1.71096334575835e-05,0.999083221182597,7.07806087557816,6.59412336275329,6.61132480975176,373.94371095881,"mg O2","MMR",23,2
"16","CH8","8",16.3,317,(2021-Oct-28 14:25:57),"M8",23.00175,-0.00831372005002828,-0.00782006807360119,1.9260328742245e-05,0.99928471753784,8.99976822855661,5.93779888493365,8.46538009103476,519.348471842623,"mg O2","MMR",23,2
"17","CH1","1",13.6,317,(2021-Oct-30 13:13:16),"M1",24.9614166666667,-0.00639269789972107,-0.00583990536327431,2.79023287997876e-05,0.997313523777618,6.98236035399135,8.64724948868432,6.37857823398273,469.013105439907,"mg O2","MMR",25,3
"18","CH2","2",17.41,317,(2021-Oct-30 13:35:16),"M3",24.9535,-0.00742165306827623,-0.00687619664284748,2.23218810701176e-05,0.998758040882883,8.00443095380956,7.34952739518772,7.41614310803044,425.970310627825,"mg O2","MMR",25,3
"19","CH3","3",14.91,317,(2021-Oct-30 14:41:16),"M9",24.9595,-0.00724849321349376,-0.00669662901796595,1.56650102717534e-05,0.999354716499014,7.88291033351158,7.61350227245098,7.28274477613441,488.447000411429,"mg O2","MMR",25,3
"20","CH4","4",16.85,317,(2021-Oct-30 13:35:16),"M3",24.9535,-0.00864264363555593,-0.00814694360782927,3.61722741284547e-05,0.997679213776381,9.33872215396361,5.73551390788982,8.80309844600384,522.439076914174,"mg O2","MMR",25,3
"21","CH5","5",17.93,317,(2021-Oct-30 14:08:16),"M6",24.9535,-0.00872300315807723,-0.00821405154783142,1.94426147310347e-05,0.999339322560782,9.39163879615017,5.83459160821852,8.8436750270758,493.233409206681,"mg O2","MMR",25,3
"22","CH6","6",17.47,317,(2021-Oct-30 13:13:16),"M1",24.9614166666667,-0.00827535268333958,-0.00780203563972113,1.87502978266157e-05,0.999318938067784,8.92337900126653,5.71959965611328,8.41299744659641,481.568256817196,"mg O2","MMR",25,3
"23","CH7","7",18.18,317,(2021-Oct-30 14:19:16),"M7",24.97675,-0.00717997081322636,-0.00664905159663694,2.15241224411535e-05,0.998764971978023,7.72386796226989,7.39444811685602,7.15273055318538,393.439524377634,"mg O2","MMR",25,3
"24","CH8","8",14.62,317,(2021-Oct-30 13:13:16),"M1",24.9614166666667,-0.00811836530615329,-0.0075796728853584,2.44714577814503e-05,0.998771523325378,8.83739268458867,6.63547894779493,8.25098935346882,564.363156872012,"mg O2","MMR",25,3
