Date & time of file creation	10/24/2021 10:40 AM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.24.2021\empty_pre_10.24.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.24.2021\empty_pre_10.24.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	11	306.7196261682243	0																																																											
Chamber 2	11.99	306.48245614035085																																																												
Chamber 3	10.86	307.03669724770646																																																												
Chamber 4	12.53	304.9519230769231																																																												
Chamber 5	12.09	304.5360824742268	0																																																											
Chamber 6	11.34	305.0631578947369																																																												
Chamber 7	14.13	303.009900990099																																																												
Chamber 8	15.67	301.01020408163265																																																												
																																																														
																																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
10/24/2021/11:23:21 AM	2540	1	F480/W60/M2000	14.1	-5.936	0.982	98.17	94.64	96.46	21.02	14.0	-6.393	0.972	98.24	94.19	96.15	21.02	17.4	-7.175	0.990	98.54	94.38	96.48	21.02	12.8	-6.167	0.942	98.87	94.81	96.86	21.02	16.4	-7.562	0.993	97.35	93.18	95.29	21.02	17.2	-7.430	0.991	97.42	93.06	95.35	21.02	13.5	-7.308	0.991	97.35	93.05	95.10	21.02	13.9	-8.385	0.991	97.48	92.66	95.17	21.02	21.03	0.00	0.00
10/24/2021/12:05:41 PM	5080	2	F480/W60/M2000	14.9	-6.079	0.983	98.01	94.58	96.25	20.98	13.5	-5.986	0.969	98.21	94.36	96.27	20.98	16.6	-6.648	0.989	98.44	94.68	96.55	20.98	12.3	-5.755	0.940	99.00	94.94	96.96	20.98	15.2	-6.844	0.991	97.33	93.48	95.47	20.98	16.9	-7.119	0.990	97.40	93.40	95.43	20.98	13.8	-7.286	0.991	97.31	93.03	95.10	20.98	13.7	-8.083	0.990	97.38	92.80	95.21	20.98	20.99	0.00	0.00
10/24/2021/12:48:01 PM	7620	3	F480/W60/M2000	14.3	-5.772	0.984	98.07	94.66	96.32	20.98	13.5	-5.933	0.972	98.25	94.49	96.32	20.98	16.5	-6.577	0.991	98.44	94.66	96.51	20.98	12.6	-5.822	0.947	98.90	94.94	96.90	20.98	15.0	-6.692	0.991	97.20	93.42	95.38	20.98	16.8	-7.010	0.989	97.34	93.28	95.32	20.98	13.7	-7.173	0.990	97.19	92.95	94.97	20.98	13.3	-7.772	0.992	97.29	92.74	95.06	20.98	20.98	0.00	0.00
10/24/2021/1:30:21 PM	10160	4	F480/W60/M2000	13.8	-5.633	0.980	97.96	94.69	96.32	20.97	13.2	-5.839	0.970	98.16	94.62	96.36	20.97	16.1	-6.454	0.990	98.44	94.75	96.59	20.97	12.5	-5.837	0.943	98.86	94.86	96.97	20.97	14.5	-6.513	0.989	97.26	93.56	95.46	20.97	16.3	-6.875	0.987	97.46	93.25	95.38	20.97	13.6	-7.164	0.987	97.20	92.98	95.00	20.97	13.2	-7.790	0.989	97.42	92.75	95.19	20.97	20.98	0.00	0.00
10/24/2021/2:12:41 PM	12700	5	F480/W60/M2000	14.0	-5.751	0.978	98.21	94.77	96.42	20.99	12.9	-5.756	0.969	98.30	94.62	96.45	20.99	15.8	-6.366	0.989	98.60	94.95	96.72	20.99	12.3	-5.765	0.942	99.14	95.03	97.04	20.99	13.9	-6.289	0.989	97.37	93.70	95.55	20.99	16.0	-6.783	0.986	97.39	93.53	95.50	20.99	13.2	-7.010	0.988	97.20	93.13	95.10	20.99	12.5	-7.389	0.989	97.56	93.04	95.31	20.99	20.99	0.00	0.00
10/24/2021/2:55:01 PM	15240	6	F480/W60/M2000	13.7	-5.500	0.981	98.12	94.93	96.52	21.00	13.0	-5.673	0.969	98.30	94.82	96.49	21.00	15.9	-6.287	0.988	98.58	94.90	96.76	21.00	12.3	-5.671	0.939	98.97	95.08	97.08	21.00	14.0	-6.237	0.986	97.40	93.75	95.60	21.00	16.0	-6.640	0.984	97.39	93.42	95.54	21.00	13.5	-7.057	0.986	97.20	93.15	95.12	21.00	12.7	-7.425	0.987	97.45	93.15	95.36	21.00	21.00	0.00	0.00
10/24/2021/3:37:21 PM	17780	7	F480/W60/M2000	13.9	-5.609	0.977	98.23	94.97	96.52	20.98	12.6	-5.539	0.963	98.34	94.86	96.50	20.98	15.4	-6.138	0.983	98.53	95.08	96.80	20.98	12.1	-5.594	0.936	99.04	95.20	97.08	20.98	13.8	-6.182	0.982	97.38	93.82	95.59	20.98	15.7	-6.581	0.981	97.57	93.56	95.57	20.98	13.4	-7.048	0.984	97.28	93.13	95.11	20.98	12.6	-7.395	0.983	97.45	93.21	95.38	20.98	20.99	0.00	0.00
10/24/2021/4:19:41 PM	20320	8	F480/W60/M2000	13.5	-5.538	0.982	98.21	95.05	96.53	20.98	12.4	-5.555	0.975	98.25	94.89	96.59	20.98	15.1	-6.105	0.990	98.56	95.14	96.83	20.98	12.0	-5.626	0.948	98.86	95.12	97.09	20.98	13.6	-6.170	0.984	97.38	93.70	95.62	20.98	15.4	-6.521	0.983	97.48	93.61	95.61	20.98	13.0	-6.900	0.987	97.29	93.18	95.13	20.98	11.9	-7.063	0.983	97.30	93.08	95.39	20.98	20.98	0.00	0.00
10/24/2021/5:02:01 PM	22860	9	F480/W60/M2000	13.3	-5.465	0.979	98.20	95.06	96.53	20.98	12.2	-5.457	0.973	98.22	94.93	96.56	20.98	14.6	-5.881	0.988	98.58	95.15	96.84	20.98	11.4	-5.349	0.944	99.00	95.22	97.09	20.98	13.0	-5.902	0.984	97.24	93.80	95.60	20.98	15.0	-6.367	0.982	97.41	93.61	95.57	20.98	12.8	-6.780	0.984	97.13	93.18	95.08	20.98	11.9	-7.024	0.986	97.32	93.10	95.33	20.98	20.98	0.00	0.00
10/24/2021/5:44:21 PM	25400	10	F480/W60/M2000	13.5	-5.595	0.984	98.23	95.08	96.58	20.99	12.5	-5.630	0.979	98.26	94.91	96.59	20.99	14.9	-6.071	0.990	98.73	95.24	96.91	20.99	11.6	-5.503	0.947	98.94	95.38	97.12	20.99	13.1	-6.015	0.983	97.28	93.80	95.63	20.99	15.1	-6.450	0.981	97.46	93.63	95.64	20.99	12.9	-6.897	0.987	97.19	93.21	95.14	20.99	11.9	-7.094	0.984	97.37	93.20	95.38	20.99	20.99	0.00	0.00
10/24/2021/6:26:41 PM	27940	11	F480/W60/M2000	13.1	-5.307	0.985	98.21	95.17	96.59	20.97	12.4	-5.462	0.981	98.30	94.93	96.60	20.97	15.0	-5.964	0.991	98.61	95.28	96.91	20.97	11.5	-5.347	0.956	98.85	95.18	97.15	20.97	13.2	-5.900	0.984	97.31	93.89	95.62	20.97	15.3	-6.388	0.981	97.43	93.54	95.62	20.97	13.0	-6.841	0.987	97.24	93.13	95.11	20.97	12.2	-7.168	0.986	97.33	93.11	95.29	20.97	20.97	0.00	0.00
10/24/2021/7:09:01 PM	30480	12	F480/W60/M2000	13.4	-5.388	0.984	98.18	95.08	96.60	20.99	12.2	-5.361	0.977	98.18	95.04	96.60	20.99	14.9	-5.936	0.988	98.63	95.32	96.92	20.99	11.3	-5.234	0.956	98.90	95.30	97.15	20.99	13.0	-5.826	0.983	97.24	93.96	95.63	20.99	15.2	-6.332	0.983	97.51	93.70	95.62	20.99	12.8	-6.725	0.985	97.31	93.18	95.11	20.99	11.6	-6.762	0.985	97.33	93.37	95.39	20.99	20.98	0.00	0.00
10/24/2021/7:51:21 PM	33020	13	F480/W60/M2000	13.2	-5.276	0.985	98.14	95.10	96.55	20.98	12.5	-5.453	0.980	98.21	94.91	96.52	20.98	15.0	-5.900	0.988	98.55	95.17	96.86	20.98	11.7	-5.341	0.956	98.86	95.36	97.10	20.98	13.4	-5.933	0.980	97.29	93.86	95.57	20.98	15.3	-6.359	0.979	97.37	93.60	95.58	20.98	13.2	-6.875	0.984	97.22	93.17	95.06	20.98	12.1	-7.033	0.982	97.28	93.26	95.34	20.98	20.98	0.00	0.00
10/24/2021/8:33:41 PM	35560	14	F480/W60/M2000	12.8	-5.310	0.988	98.07	95.11	96.54	20.99	12.1	-5.453	0.981	98.12	94.95	96.51	20.99	14.7	-5.972	0.991	98.52	95.16	96.84	20.99	11.3	-5.345	0.960	98.72	95.42	97.07	20.99	12.9	-5.891	0.980	97.18	93.77	95.55	20.99	15.2	-6.465	0.981	97.37	93.51	95.56	20.99	12.9	-6.870	0.987	97.09	93.09	95.02	20.99	11.6	-6.897	0.983	97.19	93.17	95.29	20.99	20.99	0.00	0.00
