,Chamber.No,Ind,Mass,Volume,Date.Time,Phase,Temp,Slope.with.BR,Slope,SE,R2,MR.abs.with.BR,BR,MR.abs,MR.mass,DO.unit,Trial,Temperature,Event
1,CH1,1,21.61,317,(2021-Oct-03 22:30:10),M7,21.01175,-0.010096161,-0.00995769,3.56E-05,0.996969516,10.73629849,1.371525694,10.5890474,490.0068207,mg O2,SMR,21,1
2,CH2,2,17.52,317,(2021-Oct-03 22:04:10),M5,21.02129167,-0.009304887,-0.009149209,4.86E-05,0.993321846,10.03185924,1.673078762,9.864018337,563.0147453,mg O2,SMR,21,1
3,CH3,3,18.38,317,(2021-Oct-03 22:17:10),M6,21.00808333,-0.009154276,-0.008992717,7.32E-06,0.999842418,9.841139153,1.764844241,9.667458375,525.9770607,mg O2,SMR,21,1
4,CH4,4,20.68,317,(2021-Oct-04 14:09:18),M5,21.0335,-0.00790111,-0.007747978,1.41E-05,0.999209483,8.428524718,1.938111656,8.265170498,399.6697533,mg O2,MMR,21,1
5,CH5,5,16.62,317,(2021-Oct-03 22:04:10),M5,21.02129167,-0.008188014,-0.007931293,2.53E-05,0.997590397,8.854256168,3.135327388,8.57664625,516.0436973,mg O2,SMR,21,1
6,CH6,6,17.82,317,(2021-Oct-03 22:17:10),M6,21.00808333,-0.008304267,-0.008039647,1.43E-05,0.99924466,8.944093679,3.186550791,8.659085591,485.9195057,mg O2,SMR,21,1
7,CH7,7,16.26,317,(2021-Oct-03 22:17:10),M6,21.00808333,-0.008317521,-0.008081258,1.25E-05,0.999429044,9.005080307,2.840542732,8.749287153,538.0865408,mg O2,SMR,21,1
8,CH8,8,16.2,317,(2021-Oct-04 14:48:18),M8,21.03004167,-0.006205179,-0.005822187,1.07E-05,0.999195113,6.719464015,6.172129392,6.304730002,389.1808643,mg O2,MMR,21,1
9,CH1,1,14.95,317,(2021-Oct-05 22:17:38),M7,22.9885,-0.007092641,-0.006750975,1.13E-05,0.999500044,7.712395881,4.817190807,7.340875055,491.0284318,mg O2,SMR,23,2
10,CH2,2,19.18,317,(2021-Oct-06 01:29:38),M23,22.9815,-0.010207184,-0.009918704,1.40E-05,0.999647465,10.94365226,2.826239415,10.63435845,554.4503882,mg O2,SMR,23,2
11,CH3,3,17.38,317,(2021-Oct-05 22:17:38),M7,22.9885,-0.010253548,-0.009894733,1.60E-05,0.999536681,11.05980457,3.499420812,10.67277547,614.0837439,mg O2,SMR,23,2
12,CH4,4,12.8,317,(2021-Oct-06 13:34:15),M3,22.9805,-0.007274217,-0.006877466,4.31E-05,0.99539269,7.966140766,5.454206985,7.53165096,588.4102312,mg O2,MMR,23,2
13,CH5,5,19.14,317,(2021-Oct-05 21:53:38),M5,22.97811111,-0.010012638,-0.009544045,1.54E-05,0.999535421,10.73651149,4.680011473,10.23404152,534.6939143,mg O2,SMR,23,2
14,CH6,6,17.57,317,(2021-Oct-05 22:17:38),M7,22.9885,-0.008629512,-0.008098726,1.60E-05,0.999304688,9.30216476,6.150822248,8.730005141,496.8699568,mg O2,SMR,23,2
15,CH7,7,15.66,317,(2021-Oct-06 06:29:38),M48,22.98427778,-0.007116595,-0.006633708,2.48E-05,0.997516316,7.720252955,6.785358707,7.196406099,459.5406193,mg O2,SMR,23,2
16,CH8,8,11.2,317,(2021-Oct-05 23:05:38),M11,22.99188889,-0.006267076,-0.00576129,1.44E-05,0.998882575,6.899299064,8.070528544,6.342489163,566.2936753,mg O2,SMR,23,2
17,CH1,1,19.87,317,(2021-Oct-08 13:19:33),M2,24.94358333,-0.01074829,-0.010303377,1.24E-05,0.999828673,11.49710148,4.13938519,11.02119217,554.6649304,mg O2,MMR,25,3
18,CH2,2,16.42,317,(2021-Oct-07 22:15:23),M7,24.97491667,-0.009706012,-0.009284607,2.26E-05,0.999302452,10.50275883,4.341682839,10.04676235,611.8612881,mg O2,SMR,25,3
19,CH3,3,12.92,317,(2021-Oct-08 13:41:33),M4,24.95491667,-0.006582201,-0.006095739,1.33E-05,0.999439529,7.205456487,7.390563133,6.672932676,516.4808573,mg O2,MMR,25,3
20,CH4,4,12.03,317,(2021-Oct-07 22:26:23),M8,24.96075,-0.006497853,-0.00603661,2.78E-05,0.997499448,7.133940616,7.098393289,6.627545454,550.9181591,mg O2,SMR,25,3
21,CH5,5,12.26,317,(2021-Oct-08 14:03:33),M6,24.91958333,-0.00685483,-0.006340011,2.30E-05,0.998443916,7.520187536,7.510312774,6.955397931,567.3244642,mg O2,MMR,25,3
22,CH6,6,13.03,317,(2021-Oct-07 22:26:23),M8,24.96075,-0.008025148,-0.007547133,2.32E-05,0.998881776,8.781855724,5.956471607,8.258766981,633.8270899,mg O2,SMR,25,3
23,CH7,7,11.38,317,(2021-Oct-07 22:59:23),M11,24.98708333,-0.00690186,-0.006428785,1.91E-05,0.99896372,7.593647102,6.854311553,7.073154871,621.5426073,mg O2,SMR,25,3
24,CH8,8,17.72,317,(2021-Oct-07 22:26:23),M8,24.96075,-0.010012661,-0.009491655,2.08E-05,0.999436203,10.78772092,5.203467227,10.2263854,577.1097856,mg O2,SMR,25,3
