,Chamber.No,Ind,Mass,Volume,Date.Time,Phase,Temp,Slope.with.BR,Slope,SE,R2,MR.abs.with.BR,BR,MR.abs,MR.mass,DO.unit,Trial,Temperature,Event
1,CH1,1,21.61,317,(2021-Oct-04 04:21:10),M34,21.02679167,-0.004250095,-0.00405872,9.06E-06,0.998812868,4.519567513,4.50283913,4.316058659,199.7250652,mg O2,SMR,21,1
2,CH2,2,17.52,317,(2021-Oct-04 09:46:10),M59,21.018125,-0.003283217,-0.003065284,9.44E-06,0.997734624,3.539727667,6.637789309,3.304768003,188.6283106,mg O2,SMR,21,1
3,CH3,3,18.38,317,(2021-Oct-04 10:25:10),M62,21.02120833,-0.003435317,-0.003136385,5.55E-06,0.999251919,3.693075425,8.701711981,3.371714639,183.4447573,mg O2,SMR,21,1
4,CH4,4,20.68,317,(2021-Oct-03 21:38:10),M3,21.01683333,-0.003487237,-0.00337196,1.03E-05,0.99776546,3.720017525,3.305690123,3.597045273,173.9383594,mg O2,SMR,21,1
5,CH5,5,16.62,317,(2021-Oct-04 10:38:10),M63,21.02533333,-0.00327184,-0.002847928,7.25E-06,0.998457991,3.538063383,12.95637408,3.079658656,185.2983548,mg O2,SMR,21,1
6,CH6,6,17.82,317,(2021-Oct-04 07:49:10),M50,21.02108333,-0.002976765,-0.00256062,7.09E-06,0.998175663,3.206119126,13.97977981,2.757910731,154.764912,mg O2,SMR,21,1
7,CH7,7,16.26,317,(2021-Oct-04 00:01:10),M14,21.01595833,-0.002976967,-0.002719583,7.82E-06,0.998032205,3.223055316,8.645865797,2.944394279,181.082059,mg O2,SMR,21,1
8,CH8,8,16.2,317,(2021-Oct-04 09:33:10),M58,21.02,-0.003057507,-0.002601772,8.04E-06,0.997730201,3.310913358,14.905465,2.817406326,173.9139708,mg O2,SMR,21,1
9,CH1,1,14.95,317,(2021-Oct-06 10:17:38),M67,23.012,-0.003123016,-0.002707526,1.16E-05,0.996770709,3.395905107,13.30411562,2.944109966,196.9304325,mg O2,SMR,23,2
10,CH2,2,19.18,317,(2021-Oct-06 09:29:38),M63,22.99844444,-0.00435933,-0.003988996,1.30E-05,0.99812342,4.673864804,8.495218355,4.276809784,222.9827833,mg O2,SMR,23,2
11,CH3,3,17.38,317,(2021-Oct-06 09:05:38),M61,22.99138889,-0.003982739,-0.003559761,8.92E-06,0.998888281,4.29590967,10.62028334,3.839671891,220.9247348,mg O2,SMR,23,2
12,CH4,4,12.8,317,(2021-Oct-06 03:29:38),M33,23.0105,-0.00303189,-0.002617995,1.94E-05,0.990292596,3.320283042,13.65137984,2.867018592,223.9858275,mg O2,SMR,23,2
13,CH5,5,19.14,317,(2021-Oct-06 04:29:38),M38,22.99183333,-0.003729069,-0.00325385,1.13E-05,0.997868639,3.998665458,12.7436247,3.489090539,182.2931316,mg O2,SMR,23,2
14,CH6,6,17.57,317,(2021-Oct-06 10:41:38),M69,23.00588889,-0.003114907,-0.002639148,1.51E-05,0.994226373,3.357707859,15.27363233,2.844863906,161.9159878,mg O2,SMR,23,2
15,CH7,7,15.66,317,(2021-Oct-06 09:41:38),M64,23.00194444,-0.003077529,-0.002608609,1.49E-05,0.99419201,3.338577282,15.23690107,2.829881565,180.707635,mg O2,SMR,23,2
16,CH8,8,11.2,317,(2021-Oct-06 04:17:38),M37,22.9865,-0.002245803,-0.00173939,1.32E-05,0.989838387,2.472359932,22.54931641,1.914859668,170.9696132,mg O2,SMR,23,2
17,CH1,1,19.87,317,(2021-Oct-08 05:24:23),M46,24.96875,-0.004805732,-0.004309655,2.03E-05,0.997383251,5.14053774,10.32261395,4.609899874,232.0030133,mg O2,SMR,25,3
18,CH2,2,16.42,317,(2021-Oct-08 01:44:23),M26,24.9825,-0.00339627,-0.002947775,3.07E-05,0.987395094,3.675063187,13.20552929,3.189751642,194.2601487,mg O2,SMR,25,3
19,CH3,3,12.92,317,(2021-Oct-08 08:42:23),M64,24.99466667,-0.002736631,-0.002075288,1.51E-05,0.993806825,2.995756744,24.16630049,2.271793167,175.8353845,mg O2,SMR,25,3
20,CH4,4,12.03,317,(2021-Oct-08 11:16:23),M78,24.96091667,-0.002868102,-0.002290023,3.61E-05,0.971421959,3.148865832,20.15545421,2.514197621,208.9939835,mg O2,SMR,25,3
21,CH5,5,12.26,317,(2021-Oct-08 03:12:23),M34,24.9625,-0.002676705,-0.002145324,1.72E-05,0.992502097,2.936516552,19.85205901,2.353557553,191.9704366,mg O2,SMR,25,3
22,CH6,6,13.03,317,(2021-Oct-08 12:33:23),M85,24.9825,-0.004728308,-0.004114578,1.73E-05,0.997919304,5.174149812,12.97991859,4.502549379,345.5525233,mg O2,SMR,25,3
23,CH7,7,11.38,317,(2021-Oct-07 21:31:23),M3,24.967,-0.002874725,-0.002417051,2.14E-05,0.99082335,3.162864901,15.92064285,2.659316476,233.6833459,mg O2,SMR,25,3
24,CH8,8,17.72,317,(2021-Oct-08 09:15:23),M67,25.00825,-0.003971124,-0.003302734,1.72E-05,0.996796145,4.278520979,16.83124884,3.558392467,200.812216,mg O2,SMR,25,3
