Date & time of file creation	10/7/2021 8:58 PM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.3.2021\SMR_25_LF_10.7.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.3.2021\SMR_25_LF_10.7.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	19.87	296.92929292929296	0																																																											
Chamber 2	16.420	299.89583333333337																																																												
Chamber 3	12.92	303.949494949495																																																												
Chamber 4	12.03	303.92391304347825																																																												
Chamber 5	12.26	303.95744680851067	0																																																											
Chamber 6	13.03	303.970																																																												
Chamber 7	11.38	305.021052631579																																																												
Chamber 8	17.72	298.9183673469388																																																												
																																																														
																																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
10/7/2021/9:09:23 PM	600	1	F480/W60/M60	228.8	-185.753	0.994	93.20	90.30	91.81	25.00	239.7	-159.279	0.977	93.05	90.21	91.59	25.00	235.7	-121.624	0.987	93.91	91.97	92.92	25.00	277.6	-133.364	0.938	93.93	91.43	92.69	25.00	275.0	-134.630	0.991	93.61	91.36	92.38	25.00	405.8	-211.050	0.988	92.76	89.21	90.93	25.00	317.4	-143.730	0.976	94.57	92.14	93.30	25.00	259.5	-186.672	0.986	94.05	90.99	92.61	25.00	25.00	0.00	0.00
10/7/2021/9:20:23 PM	1260	2	F480/W60/M120	242.1	-196.556	0.998	92.97	86.68	89.87	24.98	246.8	-164.001	0.995	92.92	87.53	90.31	24.98	230.0	-118.756	0.997	93.77	89.81	91.83	24.98	252.5	-121.393	0.989	94.06	89.78	91.85	24.98	251.4	-123.162	0.995	93.49	89.33	91.40	24.98	381.1	-198.232	0.997	92.66	85.99	89.29	24.98	301.3	-136.501	0.995	94.08	89.38	91.73	24.98	265.3	-190.882	0.995	94.18	87.77	90.78	24.98	24.99	0.00	0.00
10/7/2021/9:31:23 PM	1920	3	F480/W60/M120	227.9	-184.302	0.998	92.54	86.32	89.43	24.97	242.0	-160.081	0.996	93.04	87.82	90.34	24.97	229.5	-117.723	0.997	93.74	89.83	91.79	24.97	242.3	-115.754	0.985	93.82	89.80	91.77	24.97	242.7	-118.149	0.992	94.29	90.23	92.11	24.97	374.0	-193.788	0.998	92.45	86.08	89.20	24.97	276.3	-124.408	0.993	94.02	89.71	91.89	24.97	279.6	-200.348	0.997	92.30	85.77	88.87	24.97	24.97	0.00	0.00
10/7/2021/9:42:23 PM	2580	4	F480/W60/M120	231.2	-187.512	0.999	92.56	86.46	89.50	24.98	246.4	-163.512	0.995	92.81	87.46	90.17	24.98	226.7	-116.797	0.997	93.72	89.77	91.73	24.98	245.7	-117.837	0.983	93.90	89.39	91.65	24.98	256.6	-125.400	0.994	93.55	89.38	91.40	24.98	454.1	-235.880	0.997	91.16	83.20	87.32	24.98	275.1	-124.392	0.991	94.16	89.91	91.94	24.98	279.7	-200.967	0.996	92.21	85.69	88.79	24.98	24.98	0.00	0.00
10/7/2021/9:53:23 PM	3240	5	F480/W60/M120	307.0	-249.322	0.999	90.67	82.56	86.64	24.97	473.4	-314.464	0.997	91.10	80.73	86.24	24.97	447.3	-230.758	0.993	92.83	85.53	89.54	24.97	590.2	-283.415	0.998	90.38	81.17	85.82	24.97	288.8	-141.514	0.996	92.60	87.83	90.18	24.97	617.6	-321.119	0.999	89.63	78.94	84.24	24.97	408.2	-184.911	0.991	93.49	87.37	90.67	24.97	401.9	-289.034	0.998	90.49	80.68	85.41	24.97	24.98	0.00	0.00
10/7/2021/10:04:23 PM	3900	6	F480/W60/M120	413.0	-334.525	0.998	90.87	80.09	85.75	24.95	610.0	-404.309	0.999	89.75	76.63	83.29	24.95	239.7	-123.198	0.996	92.72	88.61	90.68	24.95	343.9	-164.671	0.992	91.57	86.00	88.69	24.95	469.0	-228.897	0.995	93.16	85.85	89.81	24.95	653.4	-339.040	0.999	89.28	78.25	83.73	24.95	520.7	-235.054	0.992	93.70	86.17	90.38	24.95	591.1	-424.207	0.999	90.47	76.64	83.58	24.95	24.96	0.00	0.00
10/7/2021/10:15:23 PM	4560	7	F480/W60/M120	306.2	-248.549	0.999	90.39	82.26	86.47	24.97	638.1	-423.620	0.999	87.64	73.85	80.72	24.97	226.0	-116.669	0.997	92.83	89.00	90.87	24.97	500.8	-240.456	0.994	91.82	83.92	88.01	24.97	533.8	-261.174	0.999	91.12	82.54	86.80	24.97	656.0	-340.994	0.999	88.74	77.60	83.18	24.97	638.5	-288.904	0.998	90.39	80.97	85.64	24.97	554.0	-398.227	0.997	89.42	76.50	83.34	24.97	24.97	0.00	0.00
10/7/2021/10:26:23 PM	5220	8	F480/W60/M120	275.4	-223.813	0.999	91.15	83.78	87.56	24.96	548.8	-364.491	0.999	88.59	76.30	82.42	24.96	219.8	-113.742	0.996	92.55	88.85	90.76	24.96	589.3	-283.098	0.998	89.72	80.51	85.06	24.96	456.9	-223.784	0.996	90.46	82.76	86.76	24.96	672.1	-349.505	0.999	88.33	76.72	82.38	24.96	656.2	-297.097	0.999	89.73	79.96	84.84	24.96	606.1	-435.768	0.999	87.54	73.21	80.21	24.96	24.97	0.00	0.00
10/7/2021/10:37:23 PM	5880	9	F480/W60/M120	328.6	-266.439	0.999	89.33	80.60	84.81	24.97	537.6	-356.648	0.996	87.60	75.82	81.32	24.97	221.3	-113.957	0.997	92.57	88.84	90.66	24.97	560.0	-268.571	0.997	90.10	81.30	85.85	24.97	339.5	-165.913	0.997	90.96	85.23	88.02	24.97	643.6	-334.269	0.999	88.75	77.81	83.31	24.97	632.0	-285.713	0.999	90.05	80.60	85.39	24.97	428.2	-307.573	0.999	88.49	78.24	83.18	24.97	24.96	0.00	0.00
10/7/2021/10:48:23 PM	6540	10	F480/W60/M120	243.8	-198.033	0.999	91.25	84.67	88.00	24.97	335.0	-222.548	0.998	90.34	82.95	86.53	24.97	221.7	-114.486	0.997	92.70	88.88	90.71	24.97	309.9	-148.972	0.991	92.05	86.99	89.57	24.97	310.7	-152.189	0.997	91.99	86.66	89.32	24.97	419.5	-218.202	0.998	90.54	83.35	87.01	24.97	661.6	-299.419	0.998	90.29	80.52	85.52	24.97	331.5	-238.434	0.998	91.12	83.31	87.10	24.97	24.97	0.00	0.00
10/7/2021/10:59:23 PM	7200	11	F480/W60/M120	290.5	-235.594	0.999	91.05	83.48	87.32	24.99	389.9	-258.695	0.998	90.28	81.54	85.80	24.99	224.0	-115.344	0.995	92.85	88.86	90.84	24.99	560.8	-268.990	0.996	90.27	81.40	85.90	24.99	270.5	-132.202	0.996	93.01	88.63	90.81	24.99	652.3	-338.863	0.999	89.14	77.92	83.42	24.99	664.7	-300.528	0.999	90.18	80.49	85.31	24.99	286.4	-205.728	0.998	91.93	85.19	88.52	24.99	24.98	0.00	0.00
10/7/2021/11:10:23 PM	7860	12	F480/W60/M120	299.6	-242.941	0.999	91.28	83.26	87.42	24.98	292.8	-194.244	0.996	91.20	84.98	87.98	24.98	225.1	-115.897	0.997	92.94	89.13	91.05	24.98	305.3	-146.398	0.989	92.40	87.42	89.80	24.98	260.5	-127.281	0.994	93.28	89.12	91.16	24.98	433.3	-225.009	0.998	91.36	83.83	87.57	24.98	364.7	-164.852	0.995	92.09	86.53	89.13	24.98	280.8	-201.639	0.997	92.37	85.84	89.09	24.98	24.99	0.00	0.00
10/7/2021/11:21:23 PM	8520	13	F480/W60/M120	316.8	-256.902	0.999	90.04	81.73	85.77	24.98	301.8	-200.211	0.997	91.82	85.28	88.53	24.98	223.3	-114.975	0.995	93.13	89.35	91.22	24.98	508.0	-243.624	0.995	91.77	83.87	87.96	24.98	248.1	-121.204	0.995	93.46	89.45	91.50	24.98	411.8	-213.878	0.997	91.58	84.41	87.96	24.98	328.7	-148.567	0.994	92.43	87.50	89.95	24.98	274.1	-196.858	0.998	92.46	86.03	89.18	24.98	24.98	0.00	0.00
10/7/2021/11:32:23 PM	9180	14	F480/W60/M120	277.5	-225.317	0.997	91.49	84.13	87.95	25.00	261.9	-174.051	0.995	91.59	85.92	88.76	25.00	228.5	-117.922	0.996	93.11	89.11	91.08	25.00	305.9	-146.974	0.985	92.47	87.48	89.98	25.00	240.5	-117.765	0.995	93.52	89.51	91.52	25.00	646.0	-335.870	0.999	89.03	77.97	83.49	25.00	320.7	-145.223	0.993	93.01	88.04	90.50	25.00	250.3	-180.081	0.997	92.69	86.68	89.67	25.00	24.99	0.00	0.00
10/7/2021/11:43:23 PM	9840	15	F480/W60/M120	351.2	-285.071	0.994	91.04	81.74	86.85	24.98	258.3	-171.609	0.995	92.14	86.38	89.26	24.98	223.2	-115.191	0.995	92.95	89.08	91.02	24.98	518.8	-249.099	0.995	91.53	82.89	87.39	24.98	243.6	-119.291	0.992	93.53	89.45	91.44	24.98	566.3	-294.399	0.998	91.24	81.54	86.41	24.98	307.0	-139.026	0.992	93.20	88.39	90.96	24.98	249.4	-179.390	0.997	92.72	86.71	89.79	24.98	24.99	0.00	0.00
10/7/2021/11:54:23 PM	10500	16	F480/W60/M120	281.8	-228.360	0.999	91.49	84.04	87.74	24.96	244.0	-161.759	0.994	92.09	86.63	89.35	24.96	223.8	-115.142	0.995	93.17	89.33	91.22	24.96	309.3	-148.232	0.985	92.69	87.38	89.97	24.96	250.0	-122.038	0.993	93.49	89.39	91.49	24.96	452.7	-235.002	0.998	91.01	83.35	87.12	24.96	569.3	-257.206	0.998	91.52	83.20	87.32	24.96	243.3	-174.629	0.996	92.93	87.14	89.99	24.96	24.97	0.00	0.00
10/8/2021/12:05:23 AM	11160	17	F480/W60/M120	283.7	-229.791	0.998	90.35	82.85	86.50	24.99	238.3	-157.777	0.993	92.11	86.82	89.50	24.99	233.9	-120.158	0.995	93.35	89.38	91.31	24.99	353.2	-169.075	0.989	90.88	85.11	87.78	24.99	245.1	-119.456	0.993	93.46	89.44	91.46	24.99	448.2	-232.511	0.998	90.73	83.17	87.07	24.99	603.8	-272.703	0.998	90.79	81.74	86.24	24.99	250.6	-179.714	0.996	92.63	86.86	89.73	24.99	24.98	0.00	0.00
10/8/2021/12:16:23 AM	11820	18	F480/W60/M120	311.1	-252.790	0.997	89.78	81.59	85.51	24.98	247.6	-164.845	0.992	92.10	86.35	89.27	24.98	225.5	-116.718	0.994	93.48	89.39	91.33	24.98	302.3	-145.561	0.983	92.35	87.19	89.87	24.98	251.3	-123.365	0.994	93.54	89.37	91.43	24.98	405.4	-211.146	0.997	91.82	84.96	88.42	24.98	352.6	-159.950	0.995	91.74	86.37	89.20	24.98	243.3	-175.345	0.995	92.55	86.63	89.51	24.98	24.99	0.00	0.00
10/8/2021/12:27:23 AM	12480	19	F480/W60/M120	285.9	-231.863	0.999	91.40	83.90	87.61	24.97	251.3	-166.764	0.993	92.46	86.80	89.77	24.97	226.1	-116.502	0.994	93.15	89.23	91.23	24.97	279.1	-133.938	0.984	92.88	88.17	90.54	24.97	260.5	-127.371	0.995	93.48	89.37	91.50	24.97	411.7	-213.904	0.997	91.59	84.57	87.99	24.97	560.1	-253.288	0.997	91.93	83.72	87.98	24.97	496.7	-356.864	0.999	90.42	78.42	84.45	24.97	24.97	0.00	0.00
10/8/2021/12:38:23 AM	13140	20	F480/W60/M120	319.0	-259.013	0.999	90.33	81.79	86.03	24.97	248.6	-165.243	0.993	92.07	86.51	89.36	24.97	227.2	-117.361	0.995	93.02	89.21	91.15	24.97	465.1	-223.372	0.993	91.27	84.06	87.51	24.97	237.0	-116.166	0.993	93.39	89.39	91.40	24.97	404.9	-210.612	0.997	91.94	84.75	88.25	24.97	619.6	-280.427	0.998	90.48	81.19	85.77	24.97	259.5	-186.762	0.997	92.39	86.18	89.28	24.97	24.97	0.00	0.00
10/8/2021/12:49:23 AM	13800	21	F480/W60/M120	280.1	-227.342	0.998	90.20	82.66	86.24	24.98	246.1	-163.478	0.991	91.97	86.34	89.08	24.98	228.6	-117.950	0.996	93.12	89.15	91.15	24.98	370.5	-177.911	0.991	92.10	86.06	89.05	24.98	260.8	-127.704	0.994	93.54	89.21	91.26	24.98	575.3	-299.058	0.998	90.74	81.02	85.92	24.98	633.8	-286.754	0.999	90.55	81.09	85.77	24.98	288.1	-207.209	0.997	91.09	84.35	87.62	24.98	24.97	0.00	0.00
10/8/2021/1:00:23 AM	14460	22	F480/W60/M120	289.7	-235.405	0.998	90.09	82.34	86.12	24.98	229.5	-152.807	0.991	92.57	86.99	89.68	24.98	222.0	-114.887	0.995	93.10	89.23	91.18	24.98	391.9	-188.492	0.988	92.44	85.74	89.08	24.98	514.2	-251.864	0.998	91.47	83.33	87.50	24.98	453.0	-235.807	0.997	91.39	83.42	87.47	24.98	625.9	-283.470	0.998	91.05	81.61	86.25	24.98	247.8	-178.529	0.996	92.62	86.71	89.55	24.98	24.98	0.00	0.00
10/8/2021/1:11:23 AM	15120	23	F480/W60/M120	352.3	-285.785	0.999	90.17	80.83	85.52	24.99	230.7	-153.104	0.993	91.94	86.83	89.50	24.99	222.0	-114.413	0.995	93.03	89.38	91.17	24.99	466.2	-223.676	0.993	92.55	85.11	88.86	24.99	260.9	-127.563	0.993	93.27	89.03	91.14	24.99	422.6	-219.598	0.997	91.05	83.63	87.42	24.99	349.8	-158.213	0.994	92.68	87.24	89.87	24.99	252.1	-181.189	0.995	92.88	86.78	89.72	24.99	24.98	0.00	0.00
10/8/2021/1:22:23 AM	15780	24	F480/W60/M120	283.1	-229.917	0.998	90.35	82.85	86.52	24.99	240.5	-159.942	0.989	92.19	86.42	89.40	24.99	217.7	-112.477	0.993	92.94	89.21	91.16	24.99	379.0	-182.174	0.988	91.97	86.04	89.01	24.99	271.5	-133.038	0.995	92.65	88.12	90.49	24.99	601.1	-312.608	0.999	89.69	79.26	84.52	24.99	343.5	-155.650	0.994	92.59	87.40	90.04	24.99	271.9	-195.690	0.997	91.40	84.96	88.06	24.99	24.99	0.00	0.00
10/8/2021/1:33:23 AM	16440	25	F480/W60/M120	275.9	-223.587	0.998	90.69	83.15	86.76	24.99	230.6	-152.844	0.992	92.29	86.90	89.62	24.99	223.7	-115.074	0.993	93.20	89.38	91.25	24.99	331.9	-159.046	0.984	92.77	87.24	90.14	24.99	279.1	-136.267	0.993	92.66	88.12	90.35	24.99	481.4	-249.974	0.996	91.39	83.40	87.60	24.99	338.3	-152.814	0.993	91.81	86.76	89.18	24.99	240.3	-172.460	0.995	92.97	87.18	90.03	24.99	24.98	0.00	0.00
10/8/2021/1:44:23 AM	17100	26	F480/W60/M120	240.9	-195.796	0.998	91.64	85.18	88.47	24.98	222.3	-147.899	0.990	92.31	87.17	89.61	24.98	267.2	-138.091	0.996	92.85	88.18	90.47	24.98	290.5	-139.788	0.982	92.61	87.50	90.05	24.98	248.0	-121.663	0.995	93.53	89.29	91.39	24.98	601.7	-313.007	0.999	89.71	79.36	84.46	24.98	399.0	-180.819	0.995	91.49	85.43	88.35	24.98	242.9	-174.943	0.997	92.88	86.95	89.87	24.98	24.99	0.00	0.00
10/8/2021/1:55:23 AM	17760	27	F480/W60/M120	267.1	-216.495	0.998	91.55	84.30	87.99	24.99	218.8	-145.036	0.989	92.31	87.38	89.83	24.99	334.9	-172.382	0.987	92.87	86.93	90.25	24.99	284.3	-136.221	0.979	92.61	87.81	90.12	24.99	264.3	-129.031	0.995	93.55	89.03	91.34	24.99	465.0	-241.433	0.997	90.98	83.10	86.97	24.99	350.9	-158.503	0.994	92.26	86.85	89.47	24.99	237.5	-170.477	0.995	92.90	87.10	89.97	24.99	24.98	0.00	0.00
10/8/2021/2:06:23 AM	18420	28	F480/W60/M120	266.9	-216.805	0.998	91.64	84.71	88.20	24.98	249.9	-166.200	0.991	92.23	86.67	89.40	24.98	530.5	-273.637	0.999	91.67	82.73	87.26	24.98	294.6	-141.681	0.986	92.35	87.36	89.86	24.98	240.7	-118.051	0.994	92.94	88.88	90.93	24.98	426.8	-222.070	0.997	91.75	84.34	88.09	24.98	475.6	-215.394	0.995	91.74	84.10	87.95	24.98	235.0	-169.214	0.996	92.81	86.95	89.80	24.98	24.98	0.00	0.00
10/8/2021/2:17:23 AM	19080	29	F480/W60/M120	436.2	-353.540	0.999	89.35	77.86	83.45	24.99	247.4	-163.916	0.992	92.38	86.88	89.45	24.99	247.7	-127.350	0.995	92.79	88.47	90.62	24.99	341.6	-163.611	0.984	92.70	87.48	90.07	24.99	257.1	-125.405	0.994	93.53	89.19	91.25	24.99	422.0	-218.973	0.996	91.74	84.25	87.86	24.99	316.0	-142.641	0.993	92.76	88.05	90.32	24.99	249.4	-178.902	0.996	92.62	86.70	89.67	24.99	24.98	0.00	0.00
