Date & time of file creation	10/8/2021 5:10 PM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.3.2021\empty_post_10.8.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.3.2021\empty_post_10.8.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	19.87	296.92929292929296	0																																																											
Chamber 2	16.420	299.89583333333337																																																												
Chamber 3	12.92	303.949494949495																																																												
Chamber 4	12.03	303.92391304347825																																																												
Chamber 5	12.26	303.95744680851067	0																																																											
Chamber 6	13.03	303.970																																																												
Chamber 7	11.38	305.021052631579																																																												
Chamber 8	17.72	298.9183673469388																																																												
																																																														
																																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
10/8/2021/5:27:34 PM	1040	1	F480/W60/M500	30.8	-25.057	0.994	94.32	90.74	92.57	24.94	36.1	-24.075	0.986	94.31	90.71	92.57	24.94	65.2	-33.682	0.997	94.15	89.41	91.76	24.94	54.3	-26.156	0.980	94.54	90.34	92.56	24.94	55.3	-27.144	0.994	94.85	90.89	92.88	24.94	52.0	-27.142	0.992	94.88	91.00	92.92	24.94	60.7	-27.583	0.993	94.88	90.78	92.88	24.94	44.5	-32.107	0.995	94.81	90.06	92.36	24.94	24.93	0.00	0.00
10/8/2021/5:44:54 PM	2080	2	F480/W60/M500	29.8	-24.114	0.995	94.87	91.35	93.09	24.94	34.6	-22.963	0.984	94.88	91.34	93.08	24.94	63.8	-32.832	0.997	94.62	90.01	92.29	24.94	53.9	-25.802	0.974	95.11	90.98	93.09	24.94	52.6	-25.678	0.994	95.30	91.61	93.43	24.94	53.9	-27.975	0.993	95.29	91.27	93.26	24.94	61.0	-27.527	0.992	95.38	91.26	93.30	24.94	43.4	-31.153	0.995	95.16	90.76	92.91	24.94	24.93	0.00	0.00
10/8/2021/6:02:14 PM	3120	3	F480/W60/M500	29.6	-23.791	0.993	95.04	91.63	93.38	24.93	34.9	-22.899	0.985	95.11	91.60	93.37	24.93	63.8	-32.623	0.997	94.89	90.24	92.57	24.93	53.0	-25.168	0.977	95.33	91.36	93.38	24.93	52.4	-25.369	0.993	95.61	91.89	93.73	24.93	53.6	-27.578	0.993	95.43	91.47	93.46	24.93	60.0	-26.867	0.993	95.56	91.65	93.59	24.93	43.1	-30.699	0.995	95.43	91.01	93.20	24.93	24.93	0.00	0.00
