,Chamber.No,Ind,Mass,Volume,Date.Time,Phase,Temp,Slope.with.BR,Slope,SE,R2,MR.abs.with.BR,BR,MR.abs,MR.mass,DO.unit,Trial,Temperature,Event
1,CH1,1,19.38,317,(2021-Oct-31 22:31:33),M8,21.02188889,-0.006217107,-0.005819352,1.28E-05,0.999140852,6.661206921,6.397743345,6.235039999,321.7254901,mg O2,SMR,21,1
2,CH2,2,13.78,317,(2021-Oct-31 23:07:33),M11,20.99916667,-0.00624872,-0.005504487,1.76E-05,0.998187468,6.82105265,11.91016189,6.008654237,436.0416718,mg O2,SMR,21,1
3,CH3,3,15.56,317,(2021-Nov-01 13:44:53),M4,21.00825,-0.007403031,-0.006602078,1.73E-05,0.999190543,8.03365063,10.81925082,7.164469818,460.441505,mg O2,MMR,21,1
4,CH4,4,16.23,317,(2021-Oct-31 22:55:33),M10,21.00994444,-0.007357078,-0.006556963,2.28E-05,0.997857676,7.966037722,10.8754466,7.099695543,437.4427322,mg O2,SMR,21,1
5,CH5,5,15.06,317,(2021-Oct-31 22:31:33),M8,21.02188889,-0.005389656,-0.004688168,1.92E-05,0.997027148,5.858470099,13.01544912,5.095963904,338.3774173,mg O2,SMR,21,1
6,CH6,6,11.32,317,(2021-Nov-01 14:17:53),M7,20.98483333,-0.006391452,-0.005711035,2.63E-05,0.997496802,7.03346051,10.64573633,6.284696849,555.185234,mg O2,MMR,21,1
7,CH7,7,11.55,317,(2021-Nov-01 06:43:33),M49,21.00588889,-0.005217901,-0.00443724,1.32E-05,0.998438976,5.737707998,14.9612025,4.879277886,422.4483018,mg O2,SMR,21,1
8,CH8,8,13.24,317,(2021-Oct-31 22:55:33),M10,21.00994444,-0.004444433,-0.003673328,1.56E-05,0.996787021,4.860147912,17.34991893,4.016916189,303.3924614,mg O2,SMR,21,1
9,CH1,1,14.55,317,(2021-Nov-02 22:12:21),M7,22.99175,-0.0060669,-0.0058515,2.31E-05,0.99816963,6.60577685,3.55089878,6.3712124,437.884014,mg O2,SMR,23,2
10,CH2,2,10.82,317,(2021-Nov-02 22:12:21),M7,22.99175,-0.0057023,-0.0054574,2.42E-05,0.99767916,6.28536939,4.29579867,6.01536258,555.948482,mg O2,SMR,23,2
11,CH3,3,12.72,317,(2021-Nov-03 13:39:36),M4,22.96275,-0.005413,-0.0051981,1.51E-05,0.99900635,5.92941542,3.97035787,5.69399641,447.641227,mg O2,MMR,23,2
12,CH4,4,7.73,317,(2021-Nov-02 22:45:21),M10,22.99683333,-0.00492884,-0.00469889,3.77E-05,0.992460231,5.487632808,4.665409453,5.231612268,676.7933076,mg O2,SMR,23,2
13,CH5,5,11.53,317,(2021-Nov-02 22:12:21),M7,22.99175,-0.00530317,-0.005103651,1.95E-05,0.998276275,5.831854156,3.762276981,5.61244365,486.7687467,mg O2,SMR,23,2
14,CH6,6,15.48,317,(2021-Nov-03 13:50:36),M5,22.94325,-0.00618751,-0.005943536,1.93E-05,0.998751849,6.716369341,3.943015045,6.451541887,416.7662718,mg O2,MMR,23,2
15,CH7,7,12.78,317,(2021-Nov-02 22:34:21),M9,22.97925,-0.006311324,-0.006101922,2.86E-05,0.997422873,6.912111909,3.317879725,6.68277635,522.9089476,mg O2,SMR,23,2
16,CH8,8,8.83,317,(2021-Nov-02 22:23:21),M8,22.981,-0.0045047,-0.004257587,2.58E-05,0.995689186,4.99756871,5.485675969,4.723418284,534.928458,mg O2,SMR,23,2
17,CH1,1,17.25,317,(2021-Nov-05 14:43:03),M10,25.00741667,-0.007731822,-0.007234269,1.80E-05,0.99927398,8.343409047,6.435136218,7.80649931,452.5506846,mg O2,MMR,25,3
18,CH2,2,17.8,317,(2021-Nov-05 13:26:03),M3,25.00425,-0.0076892,-0.0071358,2.47E-05,0.99858696,8.28218385,7.19755112,7.68606943,431.801653,mg O2,MMR,25,3
19,CH3,3,13.32,317,(2021-Nov-04 22:44:00),M11,25.02633333,-0.007055545,-0.006605876,1.79E-05,0.999135665,7.713460644,6.373278377,7.221860324,542.181706,mg O2,SMR,25,3
20,CH4,4,21,317,(2021-Nov-05 13:04:03),M1,25.00933333,-0.009695291,-0.009188721,4.41E-05,0.99728498,10.33130198,5.224905887,9.791501173,466.2619606,mg O2,MMR,25,3
21,CH5,5,12.24,317,(2021-Nov-05 13:04:03),M1,25.00933333,-0.005424218,-0.004962333,2.09E-05,0.99790922,5.951104961,8.515247601,5.444353639,444.8001339,mg O2,MMR,25,3
22,CH6,6,15.72,317,(2021-Nov-04 22:33:00),M10,25.0375,-0.006716346,-0.006263231,2.01E-05,0.998781207,7.284603083,6.746457632,6.793150422,432.1342508,mg O2,SMR,25,3
23,CH7,7,11.86,317,(2021-Nov-05 14:21:03),M8,24.98708333,-0.005780357,-0.005294436,2.11E-05,0.998124986,6.349744738,8.406410251,5.815959146,490.3844136,mg O2,MMR,25,3
24,CH8,8,12.36,317,(2021-Nov-04 22:11:00),M8,25.0435,-0.004650356,-0.004187206,2.03E-05,0.997222141,5.100064531,9.959465813,4.592125347,371.531177,mg O2,SMR,25,3
