Date & time of file creation	11/2/2021 8:54 PM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.31.2021\SMR_23_DB_11.2.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.31.2021\SMR_23_DB_11.2.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	14.55	303.0096153846154	0																																																											
Chamber 2	10.82	306.98148148148147																																																												
Chamber 3	12.97	304.9907407407407																																																												
Chamber 4	7.73	309.49514563106794																																																												
Chamber 5	11.53	306.01904761904763	0																																																											
Chamber 6	15.58	302.01923076923077																																																												
Chamber 7	12.78	305.05607476635515																																																												
Chamber 8	8.83	308.5096153846154																																																												
																																																														
																																																														
