"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",18.16,317,(2021-Nov-14 21:23:18),"M3",27.0901666666667,-0.00924389027093409,-0.00909466399123958,4.75565251332961e-05,0.998416614351726,9.9447990068374,1.61432335651729,9.78425779371132,538.780715512738,"mg O2","SMR",27,1
"2","CH2","2",15.62,317,(2021-Nov-15 13:48:18),"M4",27.0051666666667,-0.00854190996545366,-0.00834152423584452,5.94661787840441e-05,0.997061004256233,9.26769897139832,2.34591245306455,9.05028686711576,579.403768701393,"mg O2","MMR",27,1
"3","CH3","3",21.85,317,(2021-Nov-14 21:43:18),"M5",26.9658333333333,-0.010529993499998,-0.0103791652270554,5.60909418511741e-05,0.998308961182142,11.1885392934878,1.4323681485903,11.0282782203554,504.726692007113,"mg O2","SMR",27,1
"4","CH4","4",13.35,317,(2021-Nov-14 23:53:18),"M18",27.1046666666667,-0.00874099187881106,-0.00854517989423272,0.000115951867767987,0.989433583674259,9.55512786240352,2.24015749348773,9.34107794958155,699.706213451802,"mg O2","SMR",27,1
"5","CH5","5",13.26,317,(2021-Nov-15 14:28:18),"M8",27.0105,-0.00707518633489837,-0.00685067090076126,3.92091684246274e-05,0.998103675301148,7.73646155050331,3.17327945173247,7.49096200583001,564.929261374812,"mg O2","MMR",27,1
"6","CH6","6",20.63,317,(2021-Nov-14 21:03:18),"M1",26.9921666666667,-0.0109156950214818,-0.0107589971280429,4.69307168709583e-05,0.998897649311192,11.6463043206597,1.43552832073918,11.4791183238171,556.428420931513,"mg O2","SMR",27,1
"7","CH7","7",18.83,317,(2021-Nov-14 21:03:18),"M1",26.9921666666667,-0.00994248725755379,-0.00978433146688952,4.60894416323588e-05,0.998714683720617,10.6723851321053,1.59070649594354,10.5026188085368,557.759894239873,"mg O2","SMR",27,1
"8","CH8","8",12.61,317,(2021-Nov-15 15:08:18),"M12",27.034,-0.00667125449190745,-0.00651675306301576,4.21375147142814e-05,0.997580913322772,7.31038735725015,2.31592767266052,7.14108407346492,566.303257213713,"mg O2","MMR",27,1
"9","CH1","1",17.97,317,(2021-Nov-16 11:30:20),"M3",29.0365,-0.0105114434108388,-0.0103421888898032,4.69336163630771e-05,0.998806966431661,11.3156529233152,1.61019295276791,11.1334490773843,619.557544651325,"mg O2","MMR",29,2
"10","CH2","2",15.62,317,(2021-Nov-16 05:09:47),"M61",29.139,-0.00978664017599803,-0.00943202319063957,6.34615557469758e-05,0.997381208730346,10.6181914184722,3.62348036692071,10.2334433371018,655.150021581424,"mg O2","SMR",29,2
"11","CH3","3",21,317,(2021-Nov-16 12:00:20),"M6",28.9911666666667,-0.0110375827752058,-0.0108390821987344,4.1396783966806e-05,0.999154703798918,11.7616482052593,1.79840623181813,11.5501259909714,550.005999570066,"mg O2","MMR",29,2
"12","CH4","4",13.06,317,(2021-Nov-16 11:50:20),"M5",29.0091666666667,-0.00944531219595349,-0.00924371782153893,0.000106596131933675,0.992346136562961,10.3349094798172,2.13433256870989,10.1143281408428,774.450853050747,"mg O2","MMR",29,2
"13","CH5","5",13.18,317,(2021-Nov-16 12:00:20),"M6",28.9911666666667,-0.00874906159053547,-0.00854317504626129,3.06112898424558e-05,0.999255903322733,9.56930361277135,2.35324145502532,9.34411479319838,708.961668679695,"mg O2","MMR",29,2
"14","CH6","6",20.72,317,(2021-Nov-16 12:10:20),"M7",28.974,-0.0110194401657552,-0.0108058584257546,3.96719933142169e-05,0.999218843399746,11.7534230363158,1.93822677729365,11.5256150437773,556.255552305855,"mg O2","MMR",29,2
"15","CH7","7",17.85,317,(2021-Nov-16 12:30:20),"M9",28.9866666666667,-0.0104030018944503,-0.0101748535477936,4.23985616512509e-05,0.99899391019586,11.2034088602093,2.19310107766486,10.9577067797608,613.877130518814,"mg O2","MMR",29,2
"16","CH8","8",12.75,317,(2021-Nov-16 12:40:20),"M10",28.9786666666667,-0.00823276014383736,-0.00810115096824197,4.97359787478146e-05,0.997818639260143,9.01734218554506,1.59860330309639,8.87319065551543,695.93652200121,"mg O2","MMR",29,2
"17","CH1","1",14.51,317,(2021-Nov-18 13:55:16),"M6",26.9478333333333,-0.0108891875170432,-0.0102351756447198,3.78656998037353e-05,0.999206796269572,11.8579331953094,6.00606676393262,11.1457378107766,768.141820177575,"mg O2","MMR",27,1
"18","CH2","2",13.95,317,(2021-Nov-18 13:05:16),"M1",27.0803333333333,-0.00867164428104814,-0.00809322118622785,5.755940402206e-05,0.997074867651165,9.4605904777379,6.6702816221882,8.82954244975086,632.942111093252,"mg O2","MMR",27,1
"19","CH3","3",17.46,317,(2021-Nov-17 21:33:22),"M4",27.1515,-0.0106556906492475,-0.0100790336050837,4.48475599035255e-05,0.998852984158913,11.4905000774721,5.4117284664652,10.8686654138404,622.489428055004,"mg O2","SMR",27,1
"20","CH4","4",19.28,317,(2021-Nov-18 13:45:16),"M5",26.9585,-0.0104427677692323,-0.00977887185266719,6.99570685840472e-05,0.997040444659681,11.192474952921,6.35747084715566,10.4809166207139,543.616007298437,"mg O2","MMR",27,1
"21","CH5","5",14.12,317,(2021-Nov-18 14:05:16),"M7",26.9186666666667,-0.00750928146637158,-0.00697068933777989,5.52753893650758e-05,0.99636621563667,8.18788021392464,7.17235238822296,7.60061659185639,538.287294040821,"mg O2","MMR",27,1
"22","CH6","6",13.9,317,(2021-Nov-17 21:23:22),"M3",27.1575,-0.0094502283416447,-0.00897539446557036,6.97259559459598e-05,0.996511872623807,10.311711157269,5.02457569180485,9.79359142505176,704.574922665594,"mg O2","SMR",27,1
