"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",18.16,317,(2021-Nov-15 00:43:18),"M23",27.0791666666667,-0.00430041850364492,-0.00410811372271538,5.12725353851656e-05,0.991030527863042,4.62649343626529,4.47176898635663,4.41960733762655,243.370448107189,"mg O2","SMR",27,1
"2","CH2","2",16.05,317,(2021-Nov-15 10:23:18),"M81",27.0523333333333,-0.0042508680022426,-0.00379928083101153,6.58963749517345e-05,0.982841574840657,4.60547541098967,10.6234108185157,4.11621683793452,256.462108282524,"mg O2","SMR",27,1
"3","CH3","3",21.85,317,(2021-Nov-15 09:53:18),"M78",27.0715,-0.00487000554881359,-0.00444994315438193,3.65220523497364e-05,0.996105457046824,5.17457569583639,8.62550135151272,4.72824259925698,216.39554230009,"mg O2","SMR",27,1
"4","CH4","4",13.35,317,(2021-Nov-15 03:03:18),"M37",26.9838333333333,-0.0041090718131195,-0.00386519351600862,0.000109685391645795,0.955326818527983,4.49179076179345,5.93511888335021,4.22519764008967,316.494205250163,"mg O2","SMR",27,1
"5","CH5","5",13.9,317,(2021-Nov-15 11:33:18),"M88",27.008,-0.00383594428119467,-0.00343446917105077,4.6776424225429e-05,0.989341686813121,4.18562896186838,10.4661350820995,3.74755538068375,269.608300768615,"mg O2","SMR",27,1
"6","CH6","6",20.63,317,(2021-Nov-15 09:33:18),"M76",27.0206666666667,-0.0049012062803794,-0.00453810007091541,6.39508650171131e-05,0.988610185695666,5.22925381913775,7.40850698158909,4.84184418486192,234.699184918173,"mg O2","SMR",27,1
"7","CH7","7",18.83,317,(2021-Nov-15 06:33:18),"M58",27.0628333333333,-0.00415055054497696,-0.00387066309226424,5.96350667075356e-05,0.986393109079908,4.45525076158481,6.74338138229499,4.15481621119354,220.648763207305,"mg O2","SMR",27,1
"8","CH8","8",13.067,317,(2021-Nov-15 08:33:18),"M70",26.951,-0.00226342136988617,-0.00203421211077365,5.73505438923357e-05,0.955758276329131,2.47654240996901,10.1266720444568,2.22575108206956,170.33374776686,"mg O2","SMR",27,1
"9","CH1","1",17.8,317,(2021-Nov-15 23:49:47),"M29",29.1356666666667,-0.00559715241715322,-0.0053836758013967,4.77520956942109e-05,0.995457678516165,6.02880481156408,3.81402184264786,5.79886487920042,325.778925797776,"mg O2","SMR",29,2
"10","CH2","2",15.62,317,(2021-Nov-15 19:29:47),"M3",29.1326666666667,-0.00567701069808922,-0.00550755133272744,8.4814616066656e-05,0.98643188891079,6.15937494308447,2.98501049890246,5.97551695436663,382.555502840373,"mg O2","SMR",29,2
"11","CH3","3",21.33,317,(2021-Nov-15 22:49:47),"M23",29.1276666666667,-0.0060935688461516,-0.00589856783828837,4.09893465067828e-05,0.997207056383457,6.48606780266991,3.20011167160906,6.2785063898882,294.350979366535,"mg O2","SMR",29,2
"12","CH4","4",13.21,317,(2021-Nov-16 09:59:47),"M90",29.1298333333333,-0.00522324418614339,-0.00475199454533297,0.000135951521045201,0.954678785401134,5.7123696647106,9.02216369781408,5.19699032253614,393.413347656028,"mg O2","SMR",29,2
"13","CH5","5",13.26,317,(2021-Nov-16 08:09:47),"M79",29.1368333333333,-0.00465779325170581,-0.00428760412824744,4.94374417691875e-05,0.992348006141543,5.09312924018324,7.94773626594093,4.68834076048996,353.57019309879,"mg O2","SMR",29,2
"14","CH6","6",19.7,317,(2021-Nov-16 06:59:47),"M72",29.1331666666667,-0.00687516048238026,-0.00652449703633456,5.2261151047565e-05,0.996292520751971,7.35834676108195,5.10044015618813,6.98303868804815,354.468968936455,"mg O2","SMR",29,2
"15","CH7","7",18.36,317,(2021-Nov-16 00:49:47),"M35",29.1335,-0.00529186973213237,-0.00506694678885371,6.28277827334307e-05,0.991161406585838,5.68931031649444,4.25034920857798,5.44749476048377,296.704507651622,"mg O2","SMR",29,2
"16","CH8","8",12.61,317,(2021-Nov-16 03:39:47),"M52",29.1451666666667,-0.00430249569712818,-0.00413688490139256,6.17268949249872e-05,0.987251537854903,4.71469199489585,3.84917981082845,4.53321502248557,359.493657611861,"mg O2","SMR",29,2
"17","CH1","1",14.99,317,(2021-Nov-18 02:53:22),"M36",27.1778333333333,-0.00689336719109039,-0.00617009549262912,5.40268315321245e-05,0.995572727936186,7.49471697137235,10.4922845165725,6.70834994302412,447.521677319821,"mg O2","SMR",27,1
"18","CH2","2",14.38,317,(2021-Nov-18 09:53:22),"M78",27.1143333333333,-0.00425402256573977,-0.00320956847205224,5.80365879494302e-05,0.981388582662538,4.63446831183901,24.5521521700226,3.49660659964482,243.157621672102,"mg O2","SMR",27,1
"19","CH3","3",17.46,317,(2021-Nov-18 09:23:22),"M75",26.9806666666667,-0.00440712416456204,-0.00340318185569673,4.14570763802334e-05,0.991466385552844,4.75239590011049,22.7799869342931,3.66980073499943,210.183318155752,"mg O2","SMR",27,1
"20","CH4","4",20.23,317,(2021-Nov-18 10:33:22),"M82",27.1225,-0.00538933857807424,-0.00386509091085146,8.83215847865299e-05,0.97060425548774,5.75781843533433,28.2826481420924,4.12935490660819,204.120361176876,"mg O2","SMR",27,1
"21","CH5","5",14.45,317,(2021-Nov-18 08:43:22),"M71",26.9846666666667,-0.00367822104420977,-0.00295564003929457,4.43020584157771e-05,0.98713676952626,4.0062447969324,19.6448499486642,3.21922401799886,222.783669065665,"mg O2","SMR",27,1
"22","CH6","6",13.9,317,(2021-Nov-18 08:33:22),"M70",27.0625,-0.00384545009997957,-0.00311066983237918,4.75377804555705e-05,0.986635439811627,4.19600133109371,19.1077831852323,3.39423849429886,244.189819733731,"mg O2","SMR",27,1
"23","CH7","7",15.69,317,(2021-Nov-18 10:23:22),"M81",27.083,-0.00471535140014172,-0.00371413512700524,4.86641803539462e-05,0.990141098968305,5.11481710935613,21.2331211011419,4.02878179842462,256.773855858803,"mg O2","SMR",27,1
"24","CH8","8",15.2,317,(2021-Nov-18 10:33:22),"M82",27.1225,-0.00434419025480054,-0.00327299890774173,4.65037673728099e-05,0.988426705132704,4.71987582803569,24.6580210402869,3.55604785328324,233.950516663371,"mg O2","SMR",27,1
"25","CH1","1",14.51,317,(2021-Nov-19 07:55:20),"M78",29.0061666666667,-0.00691259069009297,-0.00591480964331946,3.6408707076038e-05,0.997803978519645,7.5275624082464,14.4342561494855,6.44101476842773,443.901775908183,"mg O2","SMR",29,2
"26","CH2","2",13.95,317,(2021-Nov-19 09:15:20),"M86",28.9986666666667,-0.00539940484839677,-0.00429897548115609,6.52833239994642e-05,0.98677060543524,5.8906427015039,20.3805678243857,4.69009627043168,336.207617952091,"mg O2","SMR",29,2
"27","CH3","3",17.16,317,(2021-Nov-19 07:35:20),"M76",28.9951666666667,-0.00552439391378805,-0.00451913849511723,3.50319972362876e-05,0.996526067801721,5.96316337599675,18.1966643646075,4.87806655095342,284.269612526423,"mg O2","SMR",29,2
"28","CH4","4",19.28,317,(2021-Nov-19 06:55:20),"M72",29.0093333333333,-0.00712831615700255,-0.00580910566545334,9.39960915047362e-05,0.985028617409547,7.64007223054608,18.5066215147216,6.22615297938756,322.933245818857,"mg O2","SMR",29,2
"29","CH5","5",14.12,317,(2021-Nov-19 06:25:20),"M69",29.0076666666667,-0.00459203755792276,-0.00388354263719254,5.14951803426708e-05,0.989899482955538,5.00701080795712,15.4287701656062,4.23449061823035,299.893103274104,"mg O2","SMR",29,2
"30","CH6","6",13.55,317,(2021-Nov-19 09:15:20),"M86",28.9986666666667,-0.00478859157069395,-0.00397867628450433,4.75100881743886e-05,0.991793577651686,5.23115320365749,16.913434237037,4.34638554671822,320.766461012415,"mg O2","SMR",29,2
"31","CH7","7",15.14,317,(2021-Nov-19 09:55:20),"M90",28.9973333333333,-0.00557213802200238,-0.00449020546285749,4.71714237377835e-05,0.993616967173989,6.0552200999579,19.4168298572778,4.87948831566539,322.291170123209,"mg O2","SMR",29,2
"32","CH8","8",14.82,317,(2021-Nov-19 07:15:20),"M74",28.99,-0.00558114264332812,-0.0046193170135942,5.17138909140562e-05,0.99277222254144,6.07143486225921,17.233489469826,5.02511477460442,339.076570486128,"mg O2","SMR",29,2
"33","CH1","1",18.97,317,(2021-Nov-22 11:03:22),"M79",27.0071666666667,-0.00518694073538149,-0.00478942437647057,4.53638083418068e-05,0.994823616390279,5.56511021051669,7.66379218870496,5.13861172891029,270.880955662113,"mg O2","SMR",27,1
