Date & time of file creation	11/19/2021 11:08 AM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_11_14_2021\MMR_29_BC_11.19.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_11_14_2021\MMR_29_BC_11.19.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	14.99	302.44660194174753	0																																																											
Chamber 2	14.3829	302.47181818181815																																																												
Chamber 3	17.46	300.04854368932035																																																												
Chamber 4	20.23	296.970297029703																																																												
Chamber 5	14.45	302.97087378640776	0																																																											
Chamber 6	13.9	304.0093457943925																																																												
Chamber 7	15.69	302.0571428571429																																																												
Chamber 8	15.2	301.9504950495049																																																												
																																																														
																																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
11/19/2021/11:18:14 AM	600	1	F480/W60/M60	675.3	-433.656	0.999	87.76	80.93	84.35	28.99	459.7	-281.978	0.992	89.22	84.68	86.92	28.99	378.9	-284.435	0.997	89.34	84.86	87.18	28.99	409.0	-360.339	0.988	88.74	82.76	85.68	28.99	415.9	-255.510	0.996	89.42	85.32	87.37	28.99	413.0	-243.143	0.994	88.31	84.22	86.28	28.99	396.6	-265.539	0.994	88.34	84.04	86.11	28.99	408.2	-264.898	0.994	87.72	83.48	85.51	28.99	28.99	27.96	0.00
11/19/2021/11:28:14 AM	1200	2	F480/W60/M60	796.9	-517.141	0.999	85.97	77.73	81.84	28.96	574.8	-358.493	0.996	87.79	81.99	84.87	28.96	361.5	-276.347	0.996	89.08	84.57	86.82	28.96	406.8	-363.433	0.986	88.61	82.24	85.30	28.96	529.7	-331.477	0.998	87.96	82.75	85.41	28.96	403.0	-242.333	0.992	88.38	84.52	86.44	28.96	412.4	-281.411	0.996	88.02	83.53	85.79	28.96	413.5	-273.457	0.995	87.04	82.52	84.88	28.96	28.96	27.96	0.00
11/19/2021/11:38:14 AM	1800	3	F480/W60/M60	813.5	-527.496	0.999	85.66	77.11	81.40	28.96	700.1	-435.807	0.997	86.42	79.11	82.81	28.96	476.5	-363.239	0.998	87.31	81.47	84.41	28.96	415.8	-371.020	0.990	87.66	81.60	84.78	28.96	452.7	-283.203	0.996	88.45	83.85	86.11	28.96	466.1	-279.540	0.994	87.49	82.81	85.01	28.96	412.3	-280.921	0.994	88.14	83.63	85.82	28.96	449.1	-296.468	0.994	87.28	82.28	84.76	28.96	28.95	27.96	0.00
11/19/2021/11:48:14 AM	2400	4	F480/W60/M60	817.3	-528.347	0.999	84.87	76.34	80.59	28.99	596.1	-369.521	0.997	87.03	80.90	83.83	28.99	655.9	-497.800	0.999	85.04	76.79	80.79	28.99	638.9	-567.665	0.996	85.62	76.55	81.08	28.99	436.7	-271.382	0.994	88.20	83.61	85.89	28.99	498.7	-297.182	0.992	87.03	82.06	84.39	28.99	393.6	-266.398	0.993	87.49	82.88	85.19	28.99	431.9	-283.353	0.995	86.70	82.03	84.30	28.99	28.98	27.96	0.00
11/19/2021/11:58:14 AM	3000	5	F480/W60/M60	790.7	-516.428	0.999	85.08	76.72	80.83	28.94	535.4	-337.595	0.995	87.45	81.68	84.50	28.94	596.4	-457.994	0.999	85.40	77.88	81.59	28.94	681.8	-610.927	0.997	83.62	73.51	78.51	28.94	516.1	-326.588	0.997	87.23	81.94	84.62	28.94	422.6	-257.556	0.991	87.40	82.99	85.27	28.94	367.7	-254.635	0.994	86.95	82.83	84.96	28.94	411.5	-275.647	0.995	86.33	81.69	83.93	28.94	28.98	27.96	0.00
11/19/2021/12:08:14 PM	3600	6	F480/W60/M60	814.6	-523.245	0.999	84.86	76.70	80.79	28.97	559.4	-343.303	0.995	87.50	81.81	84.60	28.97	543.7	-409.129	0.999	85.72	79.07	82.33	28.97	616.0	-543.966	0.996	84.98	75.94	80.40	28.97	692.2	-427.102	0.998	85.40	78.52	81.99	28.97	629.4	-371.825	0.996	85.88	79.87	82.83	28.97	395.9	-264.504	0.994	87.06	82.66	84.82	28.97	439.1	-284.683	0.992	86.02	81.22	83.56	28.97	28.96	27.96	0.00
11/19/2021/12:18:14 PM	4200	7	F480/W60/M60	794.8	-514.179	0.999	84.56	76.49	80.58	28.98	539.3	-334.707	0.996	86.89	81.60	84.24	28.98	541.2	-411.080	0.998	85.43	78.73	82.02	28.98	574.8	-511.092	0.996	85.09	76.58	80.77	28.98	654.7	-407.540	0.998	85.12	78.59	81.86	28.98	701.5	-418.634	0.998	84.47	77.91	81.21	28.98	557.3	-377.849	0.995	85.08	79.00	82.07	28.98	427.6	-280.964	0.991	85.90	81.45	83.68	28.98	28.97	27.96	0.00
11/19/2021/12:28:14 PM	4800	8	F480/W60/M60	807.2	-520.226	0.999	84.72	76.23	80.54	28.96	467.2	-288.000	0.990	87.24	82.48	85.02	28.96	487.5	-368.319	0.997	86.81	80.71	83.92	28.96	559.4	-495.489	0.993	85.44	77.41	81.47	28.96	613.9	-380.256	0.997	86.19	80.20	83.21	28.96	593.7	-352.406	0.997	85.86	79.95	82.94	28.96	605.3	-408.487	0.997	84.64	77.99	81.31	28.96	633.7	-414.444	0.997	84.49	77.78	81.18	28.96	28.99	27.96	0.00
11/19/2021/12:38:14 PM	5400	9	F480/W60/M60	782.3	-507.809	0.999	85.23	77.13	81.20	28.97	510.4	-318.635	0.994	87.70	82.57	85.04	28.97	511.3	-390.186	0.998	87.03	80.61	83.82	28.97	572.7	-510.968	0.994	85.88	77.42	81.53	28.97	582.0	-364.109	0.996	86.64	80.90	83.70	28.97	549.1	-329.524	0.994	85.99	80.72	83.46	28.97	585.8	-398.939	0.997	84.77	78.09	81.41	28.97	705.9	-465.493	0.998	82.52	75.01	78.66	28.97	28.98	27.96	0.00
11/19/2021/12:48:14 PM	6000	10	F480/W60/M60	771.3	-499.799	0.999	85.80	77.62	81.72	28.96	503.0	-313.113	0.995	87.96	82.80	85.41	28.96	509.0	-387.459	0.998	87.29	80.91	84.07	28.96	567.9	-505.773	0.994	86.21	77.56	81.94	28.96	557.7	-348.082	0.997	86.74	80.90	83.88	28.96	553.7	-331.342	0.995	86.01	80.50	83.36	28.96	513.4	-348.981	0.996	85.34	79.61	82.42	28.96	665.5	-438.090	0.998	82.61	75.49	79.06	28.96	28.99	27.96	0.00
11/19/2021/12:58:14 PM	6600	11	F480/W60/M60	780.8	-504.459	0.999	85.71	77.59	81.68	28.97	495.9	-307.104	0.994	88.28	83.00	85.63	28.97	494.6	-374.962	0.998	87.29	81.25	84.30	28.97	553.9	-491.816	0.993	86.13	78.24	82.23	28.97	562.1	-349.257	0.997	87.23	81.77	84.50	28.97	563.6	-335.680	0.996	86.90	81.37	84.18	28.97	555.9	-376.239	0.997	85.50	79.37	82.44	28.97	603.3	-395.730	0.998	83.60	77.42	80.47	28.97	29.00	27.96	0.00
11/19/2021/1:08:14 PM	7200	12	F480/W60/M60	764.1	-496.349	0.999	86.02	77.97	82.03	28.97	473.2	-295.877	0.990	88.68	83.63	86.03	28.97	468.9	-358.313	0.998	87.92	81.95	84.91	28.97	541.3	-483.347	0.991	86.68	78.91	82.73	28.97	516.9	-323.909	0.996	87.71	82.26	84.95	28.97	539.8	-324.277	0.994	86.89	81.48	84.28	28.97	535.6	-365.237	0.996	85.56	79.76	82.67	28.97	587.7	-388.194	0.996	84.07	77.52	80.64	28.97	29.00	27.96	0.00
11/19/2021/1:18:14 PM	7800	13	F480/W60/M60	732.9	-474.472	0.999	86.32	78.58	82.41	28.98	465.2	-289.088	0.990	88.83	83.91	86.29	28.98	462.4	-351.522	0.997	87.74	82.07	84.88	28.98	496.8	-442.084	0.991	87.14	79.45	83.37	28.98	495.9	-309.058	0.997	88.11	82.84	85.39	28.98	519.5	-310.384	0.995	87.28	81.98	84.56	28.98	517.3	-351.022	0.996	85.87	80.17	83.05	28.98	582.5	-383.022	0.998	84.21	77.99	81.09	28.98	29.00	27.96	0.00
11/19/2021/1:28:14 PM	8400	14	F480/W60/M60	738.3	-477.056	0.998	86.50	78.87	82.69	28.98	485.1	-300.480	0.994	88.84	83.99	86.43	28.98	458.9	-347.934	0.997	88.33	82.82	85.60	28.98	508.9	-451.951	0.989	87.24	79.96	83.57	28.98	479.9	-298.176	0.995	88.20	83.54	85.86	28.98	512.8	-305.466	0.995	87.63	82.75	85.28	28.98	513.1	-347.298	0.997	86.37	80.99	83.74	28.98	579.6	-380.232	0.998	84.70	78.42	81.57	28.98	28.99	27.96	0.00
11/19/2021/1:38:14 PM	9000	15	F480/W60/M60	722.9	-470.513	0.999	86.63	79.00	82.74	28.99	452.2	-283.627	0.992	89.14	84.28	86.84	28.99	430.6	-330.035	0.998	88.54	83.35	85.83	28.99	492.3	-440.608	0.990	87.53	80.40	84.01	28.99	446.2	-280.753	0.994	88.51	83.91	86.25	28.99	464.3	-280.002	0.992	88.18	83.43	85.71	28.99	489.4	-334.717	0.996	86.82	81.51	84.06	28.99	538.8	-356.839	0.995	84.91	79.14	82.11	28.99	29.00	27.96	0.00
11/19/2021/1:48:14 PM	9600	16	F480/W60/M60	740.5	-479.423	0.999	86.77	79.11	83.03	29.01	458.3	-284.724	0.990	89.46	84.72	87.09	29.01	434.0	-329.917	0.997	89.02	83.46	86.14	29.01	479.8	-426.982	0.989	88.01	81.09	84.41	29.01	445.2	-277.412	0.995	88.91	84.51	86.69	29.01	461.1	-275.423	0.990	88.57	83.87	86.23	29.01	486.1	-329.880	0.992	87.22	81.78	84.46	29.01	535.6	-352.195	0.996	85.53	79.62	82.54	29.01	29.01	27.96	0.00
11/19/2021/1:58:14 PM	10200	17	F480/W60/M60	753.7	-487.235	0.999	86.96	79.21	83.07	29.00	474.1	-293.842	0.992	89.16	84.44	86.94	29.00	419.4	-318.091	0.997	89.05	83.80	86.47	29.00	464.2	-412.330	0.987	88.20	81.12	84.79	29.00	441.4	-274.344	0.993	89.02	84.77	86.88	29.00	453.1	-269.959	0.993	88.53	84.06	86.31	29.00	456.8	-309.302	0.994	87.17	82.34	84.70	29.00	510.0	-334.722	0.995	85.96	80.54	83.36	29.00	29.01	27.96	0.00
11/19/2021/2:08:14 PM	10800	18	F480/W60/M60	737.6	-479.869	0.999	86.93	79.15	83.13	28.99	441.8	-277.016	0.986	89.80	85.07	87.31	28.99	403.9	-309.626	0.996	89.19	84.12	86.68	28.99	454.5	-406.881	0.988	88.51	81.28	84.93	28.99	424.9	-267.327	0.993	89.25	84.88	87.06	28.99	416.7	-251.488	0.994	88.77	84.63	86.70	28.99	437.6	-299.427	0.996	87.48	82.82	85.11	28.99	470.2	-311.676	0.994	86.51	81.45	83.95	28.99	29.01	27.96	0.00
11/19/2021/2:18:14 PM	11400	19	F480/W60/M60	749.4	-485.239	0.999	87.01	79.05	83.12	29.01	442.1	-274.785	0.992	89.54	84.97	87.32	29.01	402.8	-306.355	0.998	89.52	84.48	86.95	29.01	448.2	-398.936	0.990	88.66	81.85	85.10	29.01	419.2	-261.369	0.994	88.99	84.77	86.78	29.01	416.7	-249.058	0.988	89.00	84.84	86.81	29.01	436.7	-296.450	0.993	87.79	83.02	85.36	29.01	463.8	-305.142	0.994	86.91	81.80	84.33	29.01	29.01	27.96	0.00
11/19/2021/2:28:14 PM	12000	20	F480/W60/M60	732.8	-475.702	0.999	87.04	79.37	83.25	28.98	442.4	-276.283	0.991	89.57	84.84	87.26	28.98	384.8	-293.944	0.996	89.47	84.66	87.07	28.98	433.4	-387.030	0.984	88.78	82.40	85.44	28.98	403.6	-252.964	0.992	89.36	85.27	87.38	28.98	406.5	-244.313	0.991	89.04	84.87	86.92	28.98	416.8	-284.238	0.992	87.99	83.28	85.66	28.98	444.1	-293.463	0.994	87.02	82.21	84.67	28.98	29.01	27.96	0.00
11/19/2021/2:38:14 PM	12600	21	F480/W60/M60	724.1	-471.032	0.999	87.11	79.60	83.39	28.98	437.8	-274.437	0.989	89.64	85.24	87.40	28.98	388.6	-297.869	0.995	89.62	84.75	87.16	28.98	421.1	-377.098	0.988	88.76	82.49	85.58	28.98	406.2	-255.577	0.993	89.51	85.37	87.41	28.98	394.6	-238.187	0.990	89.02	85.04	87.11	28.98	397.6	-272.204	0.992	88.31	83.68	85.85	28.98	442.8	-293.582	0.993	87.17	82.38	84.81	28.98	29.00	27.96	0.00
11/19/2021/2:48:14 PM	13200	22	F480/W60/M60	733.0	-477.117	0.998	87.26	79.57	83.45	29.00	418.4	-262.632	0.988	89.61	85.14	87.42	29.00	399.4	-306.293	0.997	89.52	84.41	86.90	29.00	417.2	-373.849	0.988	88.65	82.54	85.63	29.00	409.5	-257.908	0.994	89.67	85.42	87.50	29.00	403.7	-243.877	0.987	89.09	85.17	87.18	29.00	390.0	-267.329	0.994	88.21	83.89	86.04	29.00	427.5	-283.796	0.993	87.15	82.50	84.82	29.00	29.01	27.96	0.00
11/19/2021/2:58:14 PM	13800	23	F480/W60/M60	755.5	-486.775	0.999	87.21	79.47	83.36	29.00	436.5	-268.811	0.991	89.82	85.26	87.58	29.00	390.1	-294.158	0.996	89.55	84.85	87.20	29.00	427.9	-378.422	0.989	88.94	82.51	85.79	29.00	402.4	-248.390	0.992	89.45	85.47	87.43	29.00	387.3	-229.017	0.990	89.29	85.22	87.23	29.00	399.3	-268.614	0.991	88.32	83.93	86.10	29.00	425.8	-277.735	0.995	87.26	82.78	85.04	29.00	29.01	27.96	0.00
