Date & time of file creation	11/23/2021 11:57 AM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_11_14_2021\MMR_29_LF_11.23.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_11_14_2021\MMR_29_LF_11.23.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	18.97	298.58252427184465	0																																																											
Chamber 2	18.378	298.9823529411765																																																												
Chamber 3	20.466	296.534																																																												
Chamber 4	14.936	302.064																																																												
Chamber 5	20.52	296.48	0																																																											
Chamber 6	19.998	297.002																																																												
Chamber 7	20.4767	297.49838095238096																																																												
Chamber 8	19.38	297.42424242424244																																																												
																																																														
																																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
11/23/2021/12:07:53 PM	600	1	F480/W60/M60	607.6	-505.739	0.999	85.64	77.34	81.54	29.02	374.7	-302.390	0.994	88.61	83.87	86.23	29.02	417.3	-377.735	0.998	87.45	81.35	84.32	29.02	339.4	-220.796	0.953	90.57	86.71	88.54	29.02	346.4	-314.714	0.998	88.14	83.03	85.60	29.02	412.0	-363.889	0.998	87.24	81.25	84.31	29.02	348.1	-314.481	0.996	88.52	83.35	85.89	29.02	312.8	-267.744	0.995	88.29	83.83	85.96	29.02	28.99	28.98	0.00
11/23/2021/12:17:53 PM	1200	2	F480/W60/M60	690.9	-569.148	0.999	84.78	75.69	80.15	29.00	613.1	-487.937	0.997	86.43	78.41	82.52	29.00	494.4	-441.382	0.999	86.97	79.96	83.38	29.00	381.3	-241.782	0.964	90.29	86.15	88.20	29.00	343.9	-306.534	0.998	88.35	83.34	85.80	29.00	596.8	-520.602	0.998	85.16	77.01	80.87	29.00	364.9	-323.683	0.995	87.81	82.50	85.14	29.00	334.9	-280.672	0.994	88.12	83.75	85.81	29.00	28.99	28.98	0.00
11/23/2021/12:27:53 PM	1800	3	F480/W60/M60	635.3	-525.204	0.999	84.31	75.90	80.21	29.03	694.5	-555.656	0.999	83.93	75.11	79.41	29.03	556.6	-499.708	0.999	85.86	77.90	81.93	29.03	580.5	-372.803	0.986	87.26	80.74	84.07	29.03	391.2	-351.522	0.998	88.02	82.47	85.17	29.03	395.8	-346.005	0.998	87.11	81.42	84.16	29.03	353.5	-315.683	0.998	86.96	81.99	84.37	29.03	300.0	-253.163	0.997	87.34	83.11	85.17	29.03	29.02	28.98	0.00
11/23/2021/12:37:53 PM	2400	4	F480/W60/M60	546.5	-454.551	0.998	86.28	78.90	82.60	28.96	560.8	-451.285	0.996	85.79	78.48	82.16	28.96	699.5	-631.380	0.999	83.44	73.27	78.27	28.96	511.0	-331.257	0.980	88.40	82.58	85.53	28.96	362.5	-328.897	0.998	87.72	82.30	84.97	28.96	363.0	-320.492	0.996	87.35	82.09	84.68	28.96	357.8	-322.907	0.998	86.46	81.21	83.79	28.96	311.7	-266.554	0.995	86.76	82.58	84.68	28.96	28.97	28.98	0.00
