Date & time of file creation	11/15/2021 5:01 PM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_11_14_2021\tempchange_27_29_11.15.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_11_14_2021\tempchange_27_29_11.15.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	18.16	298.840	0																																																											
Chamber 2	16.05	300.95																																																												
Chamber 3	21.85	294.49742533470646																																																												
Chamber 4	13.35	303.5151515151515																																																												
Chamber 5	13.9	302.95959595959596	0																																																											
Chamber 6	20.63	295.94897959183675																																																												
Chamber 7	18.830	297.5876288659794																																																												
Chamber 8	13.07	303.92999999999995																																																												
																																																														
																																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
11/15/2021/5:12:17 PM	600	1	F480/W60/M60	284.3	-220.686	0.992	91.37	87.77	89.59	27.11	325.3	-221.571	0.984	90.45	86.58	88.43	27.11	269.6	-255.062	0.996	90.51	86.23	88.37	27.11	384.9	-216.338	0.961	92.20	88.56	90.43	27.11	314.6	-184.837	0.995	91.05	87.96	89.53	27.11	342.6	-303.949	0.996	88.53	83.57	86.13	27.11	293.9	-237.302	0.995	89.77	85.98	87.79	27.11	374.5	-205.868	0.993	89.72	86.35	88.01	27.11	27.11	26.98	0.00
11/15/2021/5:22:17 PM	1200	2	F480/W60/M60	309.8	-237.095	0.992	91.38	87.38	89.32	27.46	338.1	-227.047	0.983	90.64	86.69	88.63	27.46	280.1	-261.915	0.995	90.36	85.87	88.11	27.46	414.3	-229.413	0.965	92.40	88.43	90.33	27.46	386.2	-223.036	0.996	91.08	87.45	89.33	27.46	349.4	-307.312	0.997	88.59	83.48	86.00	27.46	294.2	-234.468	0.990	89.79	86.02	87.86	27.46	382.0	-206.659	0.992	89.87	86.37	88.08	27.46	27.36	26.98	0.00
11/15/2021/5:32:17 PM	1800	3	F480/W60/M60	302.0	-240.864	0.993	90.87	86.84	88.96	27.72	308.1	-216.372	0.983	89.97	86.32	88.18	27.72	272.0	-264.162	0.995	90.11	85.90	87.92	27.72	370.5	-214.749	0.955	91.98	87.98	89.96	27.72	313.9	-190.519	0.994	90.77	87.53	89.17	27.72	325.4	-295.895	0.997	88.45	83.52	85.97	27.72	274.4	-228.167	0.992	89.54	85.80	87.74	27.72	340.6	-193.593	0.993	89.69	86.47	88.09	27.72	27.67	26.98	0.00
11/15/2021/5:42:17 PM	2400	4	F480/W60/M60	297.5	-234.940	0.994	90.67	86.78	88.78	27.84	341.0	-236.274	0.984	90.11	86.11	88.06	27.84	331.0	-317.693	0.996	89.58	84.44	87.10	27.84	379.0	-216.949	0.933	91.79	87.84	89.78	27.84	327.8	-196.082	0.994	90.58	87.45	89.01	27.84	331.9	-299.443	0.996	88.27	83.41	85.83	27.84	283.8	-233.345	0.994	89.56	85.80	87.71	27.84	375.2	-210.025	0.993	89.74	86.33	87.99	27.84	27.85	26.98	0.00
11/15/2021/5:52:17 PM	3000	5	F480/W60/M60	316.5	-247.336	0.992	90.47	86.29	88.36	27.99	354.6	-243.205	0.987	89.99	85.86	87.91	27.99	269.6	-257.162	0.994	89.72	85.46	87.53	27.99	393.7	-222.762	0.948	91.24	87.29	89.34	27.99	329.3	-194.479	0.995	90.32	87.18	88.73	27.99	342.4	-306.747	0.997	88.28	83.32	85.77	27.99	287.5	-233.955	0.994	89.41	85.59	87.41	27.99	355.7	-196.851	0.992	89.60	86.34	87.97	27.99	27.98	26.98	0.00
11/15/2021/6:02:17 PM	3600	6	F480/W60/M60	298.7	-235.715	0.991	90.42	86.61	88.57	28.05	362.9	-251.064	0.990	89.88	85.85	87.82	28.05	286.9	-275.846	0.997	89.36	84.98	87.18	28.05	382.7	-218.820	0.946	91.47	87.36	89.43	28.05	318.1	-190.028	0.993	90.28	87.26	88.71	28.05	328.5	-296.562	0.997	88.00	83.22	85.64	28.05	286.5	-235.373	0.994	89.53	85.63	87.55	28.05	351.1	-196.495	0.992	89.61	86.30	87.94	28.05	28.05	26.98	0.00
