Date & time of file creation	11/18/2021 4:58 PM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_11_14_2021\tempchange_27_29_BC_11.18.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_11_14_2021\tempchange_27_29_BC_11.18.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	14.99	302.44660194174753	0																																																											
Chamber 2	14.3829	302.47181818181815																																																												
Chamber 3	17.46	300.04854368932035																																																												
Chamber 4	20.23	296.970297029703																																																												
Chamber 5	14.45	302.97087378640776	0																																																											
Chamber 6	13.9	304.0093457943925																																																												
Chamber 7	15.69	302.0571428571429																																																												
Chamber 8	15.2	301.9504950495049																																																												
																																																														
																																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
11/18/2021/5:08:59 PM	600	1	F480/W60/M60	393.3	-250.524	0.996	90.59	86.59	88.55	27.17	339.4	-208.184	0.983	90.51	86.93	88.84	27.17	286.5	-214.900	0.992	90.47	86.80	88.51	27.17	300.4	-262.770	0.979	89.92	85.60	87.64	27.17	296.0	-182.641	0.988	90.64	87.67	89.11	27.17	317.1	-187.488	0.986	90.34	87.12	88.76	27.17	351.4	-234.797	0.987	89.47	85.50	87.39	27.17	313.8	-203.823	0.989	89.38	85.98	87.72	27.17	27.14	26.96	0.00
11/18/2021/5:18:59 PM	1200	2	F480/W60/M60	451.2	-281.203	0.996	89.88	85.33	87.64	27.46	361.0	-215.178	0.984	90.49	87.07	88.87	27.46	306.7	-223.808	0.993	90.46	86.90	88.73	27.46	330.8	-283.422	0.985	89.91	85.20	87.57	27.46	316.5	-188.884	0.987	90.74	87.61	89.22	27.46	349.6	-200.140	0.983	90.29	87.15	88.77	27.46	368.8	-240.474	0.990	89.40	85.44	87.49	27.46	335.6	-211.742	0.988	89.32	85.91	87.66	27.46	27.38	26.96	0.00
11/18/2021/5:28:59 PM	1800	3	F480/W60/M60	424.5	-270.867	0.995	90.05	85.72	87.80	27.70	353.5	-216.901	0.989	90.28	86.73	88.47	27.70	299.5	-224.787	0.996	90.07	86.52	88.27	27.70	321.1	-281.460	0.984	89.56	85.05	87.23	27.70	311.7	-192.166	0.992	90.43	87.21	88.85	27.70	318.2	-188.084	0.984	90.23	87.00	88.61	27.70	359.5	-240.664	0.991	89.18	85.38	87.27	27.70	340.5	-221.120	0.987	89.35	85.53	87.45	27.70	27.65	26.96	0.00
11/18/2021/5:38:59 PM	2400	4	F480/W60/M60	422.8	-269.991	0.995	90.04	85.71	87.94	27.83	343.4	-210.856	0.985	90.23	86.94	88.56	27.83	298.9	-224.450	0.995	90.12	86.50	88.30	27.83	332.4	-291.496	0.983	89.33	84.55	87.06	27.83	307.1	-189.360	0.990	90.48	87.26	88.83	27.83	328.3	-193.982	0.986	90.29	86.90	88.51	27.83	357.9	-239.702	0.993	88.90	84.88	86.92	27.83	347.8	-225.897	0.990	89.07	85.36	87.15	27.83	27.81	26.96	0.00
11/18/2021/5:48:59 PM	3000	5	F480/W60/M60	423.0	-272.503	0.994	89.50	85.09	87.34	27.93	375.9	-232.936	0.987	89.61	85.83	87.79	27.93	396.4	-299.414	0.996	89.60	84.78	87.22	27.93	327.8	-289.909	0.984	89.05	84.17	86.82	27.93	316.7	-197.458	0.990	90.20	86.94	88.51	27.93	352.8	-210.621	0.984	89.94	86.50	88.24	27.93	420.2	-283.491	0.993	88.88	84.10	86.55	27.93	333.3	-218.866	0.989	88.88	85.44	87.11	27.93	27.91	26.96	0.00
11/18/2021/5:58:59 PM	3600	6	F480/W60/M60	422.3	-270.170	0.996	89.85	85.43	87.73	27.99	359.7	-221.156	0.982	89.89	86.34	88.11	27.99	315.9	-237.493	0.994	89.70	85.60	87.66	27.99	312.8	-275.032	0.975	89.45	84.54	86.80	27.99	311.8	-192.515	0.983	90.05	86.91	88.55	27.99	338.7	-200.417	0.988	89.77	86.47	88.10	27.99	384.1	-257.581	0.993	88.81	84.71	86.86	27.99	360.9	-234.709	0.991	88.99	84.93	86.98	27.99	27.98	26.96	0.00
11/18/2021/6:08:59 PM	4200	7	F480/W60/M60	434.8	-276.893	0.994	89.98	85.60	87.85	28.13	399.1	-243.792	0.988	90.16	86.04	88.06	28.13	311.9	-233.176	0.997	89.50	85.86	87.72	28.13	342.6	-299.891	0.984	89.04	84.14	86.72	28.13	318.0	-194.834	0.986	90.17	86.93	88.52	28.13	361.6	-212.373	0.990	89.65	86.25	88.01	28.13	460.1	-307.080	0.994	88.61	83.55	86.20	28.13	364.2	-235.517	0.988	88.70	84.80	86.84	28.13	28.08	26.96	0.00
11/18/2021/6:18:59 PM	4800	8	F480/W60/M60	476.4	-308.449	0.996	88.52	83.81	86.16	28.39	404.3	-251.838	0.991	89.81	85.49	87.68	28.39	323.7	-246.768	0.994	89.62	85.54	87.54	28.39	344.0	-306.168	0.984	88.52	83.56	86.16	28.39	304.4	-191.067	0.985	89.80	86.84	88.33	28.39	341.7	-205.350	0.982	89.52	86.27	87.84	28.39	445.7	-302.451	0.993	87.81	82.94	85.50	28.39	363.0	-239.511	0.988	88.57	84.74	86.62	28.39	28.33	27.96	0.00
11/18/2021/6:28:59 PM	5400	9	F480/W60/M60	554.3	-354.914	0.997	87.74	81.74	84.74	28.59	639.8	-393.157	0.993	87.88	81.44	84.82	28.59	368.9	-276.989	0.996	89.17	84.59	86.88	28.59	357.0	-314.025	0.985	88.82	83.17	85.93	28.59	335.7	-206.272	0.991	89.66	86.25	87.86	28.59	380.3	-224.156	0.986	89.23	85.51	87.46	28.59	415.0	-278.226	0.992	87.86	83.29	85.60	28.59	360.0	-233.678	0.992	88.37	84.39	86.39	28.59	28.54	27.96	0.00
11/18/2021/6:38:59 PM	6000	10	F480/W60/M60	578.2	-370.443	0.997	87.40	81.35	84.25	28.71	430.4	-264.026	0.988	88.93	84.67	86.74	28.71	348.4	-261.500	0.996	89.24	84.97	87.13	28.71	367.3	-323.178	0.980	88.14	82.69	85.48	28.71	353.7	-217.269	0.991	89.31	85.84	87.55	28.71	377.1	-222.111	0.987	89.23	85.26	87.17	28.71	384.5	-257.625	0.992	87.52	83.20	85.52	28.71	378.6	-245.766	0.991	87.87	83.91	85.87	28.71	28.68	27.96	0.00
