"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",4.15,78,(2021-Aug-03 22:11:16),"M8",20.9652777777778,-0.0063000703824164,-0.00626415724831572,8.98437370508331e-05,0.964677419068085,1.67493671186923,0.570043379212312,1.66538884603722,401.298517117402,"mg O2","SMR",21,1
"2","CH2","2",2.84,78,(2021-Aug-03 22:31:16),"M10",20.9506111111111,-0.00574260096355871,-0.00565506317495774,6.2460007667967e-05,0.978747031206025,1.55380999831586,1.52435785032727,1.53012437362736,538.77618789696,"mg O2","SMR",21,1
"3","CH3","3",3.13,78,(2021-Aug-03 20:59:22),"M1",21.0116666666667,-0.00812066993182456,-0.00810633381165343,6.70796679246488e-05,0.987958199907289,2.18878040806454,0.17653863894834,2.18491636492257,698.05634662063,"mg O2","SMR",21,1
"4","CH4","4",2.9,78,(2021-Aug-04 00:11:16),"M20",20.9831666666667,-0.00563260898608974,-0.00554485391632434,5.93223621972788e-05,0.980032795492575,1.52283216547922,1.55798263259737,1.49910670481745,516.933346488776,"mg O2","SMR",21,1
"5","CH5","5",2.54,78,(2021-Aug-03 20:59:22),"M1",21.0188333333333,-0.00515401946717574,-0.00475173894293531,2.94483577254651e-05,0.993209870707428,1.40012031237509,7.80518053535543,1.29083839428203,508.204092237021,"mg O2","SMR",21,1
"6","CH6","6",2.71,78,(2021-Aug-03 22:11:16),"M8",20.9755,-0.00656006399954618,-0.00684570779863936,3.65807877310553e-05,0.994943062090223,1.778065986693,-4.35428372517302,1.85548802457441,684.681927887234,"mg O2","SMR",21,1
"7","CH7","7",2.51,78,(2021-Aug-04 05:51:16),"M54",20.9976111111111,-0.0048868917381482,-0.00529210586768608,3.9124737859013e-05,0.99036479343433,1.32808124632611,-8.29185812271399,1.43820385902584,572.989585269259,"mg O2","SMR",21,1
"8","CH8","8",2.56,78,(2021-Aug-03 22:11:16),"M8",20.9755,-0.00467207944059893,-0.00494895353171312,4.257693844082e-05,0.9869965750587,1.26886202279562,-5.92614262309496,1.34405659595678,525.022107795616,"mg O2","SMR",21,1
"9","CH1","1",3.55,78,(2021-Aug-07 06:25:12),"M39",20.9809444444444,-0.00654466306679317,-0.00648004847064756,7.76610760630268e-05,0.975070905769363,1.75410059516191,0.98728682418292,1.73678259110296,489.234532705059,"mg O2","SMR",21,4
"10","CH2","2",2.61,78,(2021-Aug-07 06:14:12),"M38",21.0193888888889,-0.00436135699743394,-0.00418997422100801,6.53939470524576e-05,0.958443503990072,1.18368973453156,3.9295745917328,1.13717576347846,435.699526236957,"mg O2","SMR",21,4
"11","CH3","3",2.99,78,(2021-Aug-07 06:36:12),"M40",21.0255,-0.00583620180035437,-0.00578097640264406,5.71350611452664e-05,0.982910205272043,1.57598458936049,0.946255794426976,1.56107174386439,522.097573198793,"mg O2","SMR",21,4
"12","CH4","4",2.65,78,(2021-Aug-07 06:36:12),"M40",21.0255,-0.00493335212736341,-0.0048017727879853,3.14060875609918e-05,0.992442989377597,1.3382210980686,2.66713861044492,1.30252888646889,491.520334516563,"mg O2","SMR",21,4
"13","CH5","5",2.35,78,(2021-Aug-07 10:49:12),"M63",20.952,-0.00378838028293187,-0.0035628393792095,3.28476034345345e-05,0.98509564144233,1.03172748625367,5.9534916475656,0.970303676533916,412.895181503794,"mg O2","SMR",21,4
"14","CH6","6",2.44,78,(2021-Aug-07 06:36:12),"M40",20.9568333333333,-0.00554253627758497,-0.00575506076344811,3.20821123178722e-05,0.994498889257386,1.50765854808355,-3.83442660939596,1.5654686086301,641.585495340206,"mg O2","SMR",21,4
"15","CH7","7",2.22,78,(2021-Aug-07 06:14:12),"M38",20.9486111111111,-0.00392044404202855,-0.00431858810705355,2.87300664320572e-05,0.992183689963706,1.06952849821772,-10.1555859682411,1.17814538430906,530.696119058137,"mg O2","SMR",21,4
"16","CH8","8",2.46,78,(2021-Aug-07 06:58:12),"M42",20.9472777777778,-0.00425717913833465,-0.00457729300532048,6.90500698918585e-05,0.961069876200023,1.15771432359528,-7.51938916789525,1.24476736903887,506.002995544257,"mg O2","SMR",21,4
"17","CH1","1",3.65,78,(2021-Aug-05 01:18:08),"M35",22.9989444444444,-0.00708084811862208,-0.00702083282981369,5.49451535563854e-05,0.989215686235273,1.89525980743039,0.847572039436326,1.87919611522793,514.848250747379,"mg O2","SMR",23,2
"18","CH2","2",2.67,78,(2021-Aug-04 22:11:08),"M18",23.0487777777778,-0.00575179129727018,-0.00564392472325414,9.17410224304961e-05,0.955081508237679,1.55981677832411,1.87535618803196,1.53056465784984,573.245190205934,"mg O2","SMR",23,2
"19","CH3","3",3.06,78,(2021-Aug-04 22:22:08),"M19",23.0482222222222,-0.00667605657420115,-0.00664929072292194,5.76686358153442e-05,0.986787879637987,1.80109324681428,0.400923074598314,1.79387224839277,586.232760912671,"mg O2","SMR",23,2
"20","CH4","4",2.75,78,(2021-Aug-04 22:22:08),"M19",23.0482222222222,-0.00639962146718466,-0.00631017167498782,4.99716178501112e-05,0.988960147678381,1.73365745546032,1.39773567320365,1.7094255067542,621.609275183345,"mg O2","SMR",23,2
"21","CH5","5",2.44,78,(2021-Aug-04 22:11:08),"M18",23.0370555555556,-0.003506622103617,-0.00316359893374078,2.89959641300624e-05,0.985267166547231,0.953857318137483,9.78215387173888,0.860549527560433,352.684232606735,"mg O2","SMR",23,2
"22","CH6","6",2.55,78,(2021-Aug-05 06:59:08),"M66",22.9995555555556,-0.00595368620731953,-0.00612182448111775,4.58379443060017e-05,0.99011911229259,1.61714024763213,-2.82410372235458,1.6628099655612,652.082339435766,"mg O2","SMR",23,2
"23","CH7","7",2.53,78,(2021-Aug-05 01:29:08),"M36",22.9872777777778,-0.00313951932835359,-0.00353632947264307,4.71315444357558e-05,0.969350818226298,0.852982285359045,-12.6392005523205,0.960792427081341,379.759852601321,"mg O2","SMR",23,2
"24","CH8","8",2.52,78,(2021-Aug-05 01:07:08),"M34",22.9945555555556,-0.00316681931753951,-0.00347643533952505,5.52440705293722e-05,0.956984219376682,0.860513479516375,-9.77687676308924,0.944644821938462,374.859056324787,"mg O2","SMR",23,2
"25","CH1","1",3.6,78,(2021-Aug-06 08:49:39),"M86",25.0108888888889,-0.00778065872893796,-0.00762679429011909,0.000123717584940659,0.955257597085489,2.08397163395874,1.97752457959145,2.0427605826655,567.43349518486,"mg O2","SMR",25,3
"26","CH2","2",2.69,78,(2021-Aug-05 22:11:39),"M28",24.9695555555556,-0.00632362689346025,-0.00618766192393346,6.92953784594638e-05,0.978163312446875,1.71443642884737,2.15011055866379,1.67757415016914,623.633513074031,"mg O2","SMR",25,3
"27","CH3","3",3.03,78,(2021-Aug-05 22:11:39),"M28",24.9695555555556,-0.00742593837709652,-0.00738943008280815,7.01479392626717e-05,0.984212376163841,2.00420136047133,0.491632066338742,1.99434806390926,658.200681158171,"mg O2","SMR",25,3
"28","CH4","4",2.73,78,(2021-Aug-05 21:16:39),"M23",24.9567777777778,-0.00459623566973014,-0.00449996261792102,3.81320212322793e-05,0.9873798044986,1.24545117189811,2.09460651556982,1.2193638705033,446.65343241879,"mg O2","SMR",25,3
"29","CH5","5",2.37,78,(2021-Aug-05 22:11:39),"M28",24.9421111111111,-0.00655370309667296,-0.00624119792948904,4.80454462526196e-05,0.989561660579556,1.78436363472495,4.76837541423832,1.69927847786612,716.995138340135,"mg O2","SMR",25,3
"30","CH6","6",2.43,78,(2021-Aug-05 21:49:39),"M26",24.9286666666667,-0.00670201631044039,-0.00694311416066373,4.38276691521393e-05,0.992957307677305,1.82329694128793,-3.59739277040776,1.88888809363689,777.320203142752,"mg O2","SMR",25,3
"31","CH7","7",2.22,78,(2021-Aug-05 20:43:39),"M20",24.9843333333333,-0.00649036081911468,-0.00687665923358481,3.43510053346727e-05,0.995577995425142,1.77062235434104,-5.95187887447559,1.8760076521958,845.048491980092,"mg O2","SMR",25,3
"32","CH8","8",2.51,78,(2021-Aug-05 17:32:10),"M3",24.9366666666667,-0.00575315627729212,-0.00548106832391289,2.62060055077403e-05,0.995947456795174,1.56350076254202,4.72936837216067,1.48955705197986,593.449024693172,"mg O2","SMR",25,3
