Date & time of file creation	8/6/2021 9:03 AM																																																																
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.2.2026\MMR_25_BC_8.6.2021.txt																																																																
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.2.2026\MMR_25_BC_8.6.2021_raw.txt																																																																
																																																																	
																																																																	
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																												
Chamber 1	4.05	74.00000000000001	13.6																																																														
Chamber 2	2.89	75.50000000000001																																																															
Chamber 3	3.38	74.75000000000001																																																															
Chamber 4	3.03	75.00000000000001																																																															
Chamber 5	2.71	75.24873096446701	10																																																														
Chamber 6	2.77	75.25742574257427																																																															
Chamber 7	2.58	75.49514563106797																																																															
Chamber 8	2.72	75.24974721941356																																																															
																																																																	
																																																																	
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]	AMB temp N°2 avg temp [°C]	AMB temp N°2 setpoint [°C]	AMB temp N°2 hysteresis [°C]
8/6/2021/9:14:23 AM	660	1	F420/W60/M180	591.2	-393.121	0.995	92.40	74.35	83.48	24.97	347.2	-162.152	0.959	94.45	86.18	89.85	24.97	315.7	-174.109	0.992	93.87	85.27	90.01	24.97	349.4	-172.170	0.995	94.00	85.32	89.63	24.97	466.0	-204.786	0.982	92.29	81.60	86.60	24.95	372.3	-167.528	0.992	92.95	84.52	88.74	24.95	309.0	-129.443	0.992	92.45	85.75	88.97	24.95	423.9	-187.086	0.993	91.24	82.24	86.96	24.95	24.97	21.00	0.10	24.96	21.00	0.10
8/6/2021/9:25:23 AM	1320	2	F420/W60/M180	614.6	-407.888	0.998	90.03	70.41	80.21	24.97	638.0	-296.227	0.991	91.17	76.63	84.09	24.97	504.7	-276.835	0.997	92.89	79.70	86.13	24.97	332.6	-163.168	0.996	93.06	84.89	89.05	24.97	633.9	-276.391	0.996	90.63	76.38	83.11	24.93	396.8	-176.818	0.994	93.12	84.22	88.65	24.93	364.1	-150.659	0.990	93.25	85.62	89.40	24.93	379.0	-165.841	0.993	92.29	83.96	88.07	24.93	24.97	21.00	0.10	24.95	21.00	0.10
8/6/2021/9:36:23 AM	1980	3	F420/W60/M180	565.1	-375.868	0.999	91.36	72.91	82.25	24.95	572.3	-266.607	0.996	92.96	79.60	86.49	24.95	616.5	-338.891	0.991	92.29	75.64	84.83	24.95	353.6	-174.321	0.995	92.55	83.98	88.48	24.95	669.5	-293.914	0.997	91.08	76.24	83.14	24.95	347.5	-156.886	0.993	92.53	84.56	88.55	24.95	388.4	-162.741	0.987	93.48	85.38	89.16	24.95	539.3	-238.008	0.998	91.02	79.12	85.13	24.95	24.98	21.00	0.10	24.98	21.00	0.10
8/6/2021/9:47:23 AM	2640	4	F420/W60/M180	610.7	-403.083	0.998	89.25	69.34	79.72	24.93	501.3	-230.609	0.983	92.61	81.60	87.74	24.93	534.8	-291.100	0.991	91.93	77.42	85.42	24.93	675.5	-328.764	0.992	91.46	75.80	84.43	24.93	580.7	-252.108	0.994	91.46	79.03	84.81	24.92	363.5	-160.836	0.992	92.61	84.39	88.77	24.92	298.6	-122.389	0.987	92.55	86.07	89.26	24.92	466.0	-202.814	0.998	90.54	80.54	85.41	24.92	24.92	21.00	0.10	24.94	21.00	0.10
8/6/2021/9:58:23 AM	3300	5	F420/W60/M180	553.8	-368.746	0.997	90.28	72.30	81.75	24.95	476.4	-222.581	0.987	93.10	81.42	87.97	24.95	482.7	-266.089	0.996	93.13	80.40	86.82	24.95	617.7	-303.878	0.998	90.32	75.60	82.95	24.95	527.1	-231.649	0.989	92.01	81.25	86.84	24.93	479.3	-215.401	0.992	91.80	81.42	86.35	24.93	427.5	-178.714	0.991	93.13	84.06	88.44	24.93	346.8	-153.583	0.994	92.09	84.07	88.03	24.93	24.97	21.00	0.10	24.97	21.00	0.10
8/6/2021/10:09:23 AM	3960	6	F420/W60/M180	512.1	-340.913	0.999	90.30	73.37	81.93	24.98	448.4	-209.323	0.988	93.18	82.62	88.30	24.98	470.5	-259.130	0.995	93.26	80.89	87.55	24.98	510.1	-251.045	0.997	91.54	79.52	85.55	24.98	557.8	-244.753	0.993	92.21	80.36	86.22	24.97	509.7	-228.702	0.978	93.10	80.67	87.73	24.97	392.1	-163.750	0.992	92.82	84.94	88.86	24.97	380.9	-168.203	0.995	91.98	83.60	87.88	24.97	24.98	21.00	0.10	24.98	21.00	0.10
8/6/2021/10:20:23 AM	4620	7	F420/W60/M180	485.7	-323.247	0.997	91.29	74.62	82.84	24.97	436.4	-203.647	0.985	92.68	82.27	87.93	24.97	432.8	-238.353	0.996	92.89	80.92	87.14	24.97	438.2	-215.730	0.975	91.65	81.27	87.29	24.97	412.6	-181.254	0.993	91.94	82.37	87.03	24.95	551.0	-246.917	0.998	91.78	79.49	85.61	24.95	440.5	-183.618	0.994	92.30	82.89	87.78	24.95	466.6	-205.554	0.996	90.30	79.99	84.96	24.95	24.98	21.00	0.10	24.97	21.00	0.10
8/6/2021/10:31:23 AM	5280	8	F420/W60/M180	516.8	-342.708	0.998	90.66	73.98	82.36	24.92	391.3	-181.583	0.974	91.92	82.29	87.92	24.92	454.5	-249.062	0.978	93.77	81.23	88.44	24.92	451.3	-220.991	0.977	92.06	81.18	87.31	24.92	445.5	-194.095	0.993	91.53	82.01	86.66	24.89	585.2	-260.620	0.998	90.69	77.69	84.15	24.89	595.4	-246.202	0.988	90.80	78.69	84.79	24.89	425.4	-186.060	0.992	91.88	82.50	87.36	24.89	24.94	21.00	0.10	24.92	21.00	0.10
