Date & time of file creation	8/5/2021 5:46 PM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.2.2026\SMR2_25_BC_8.5.2021_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.2.2026\SMR2_25_BC_8.5.2021.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	59.5000	26.9000	0.00	100.00	20.95	19.81																																							
Chamber 2	1	59.5000	26.9000	0.00	100.00	20.95	19.81																																							
Chamber 3	1	60.0000	27.0000	0.00	100.00	20.95	19.81																																							
Chamber 4	1	59.5000	26.9000	0.00	100.00	20.95	19.81																																							
Chamber 5	1	59.5000	26.8500	0.00	100.00	20.95	19.81																																							
Chamber 6	1	59.5000	26.8000	0.00	100.00	20.95	19.81																																							
Chamber 7	1	59.5000	26.8000	0.00	100.00	20.95	19.81																																							
Chamber 8	1	59.5000	26.8000	0.00	100.00	20.95	19.81																																							
																																														
																																														
Ambient temp N°1	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cM6 ]																																						
Chamber 1	70	8	4.05	1.0125	13.6	Not used	Not used	Not used																																						
Chamber 2	70	8	2.89	1.156	Not used	Not used	Not used	Not used																																						
Chamber 3	70	8	3.38	1.04	Not used	Not used	Not used	Not used																																						
Chamber 4	70	8	3.03	1.01	Not used	Not used	Not used	Not used																																						
Chamber 5	70	8	2.71	0.985	10	Not used	Not used	Not used																																						
Chamber 6	70	8	2.77	1.01	Not used	Not used	Not used	Not used																																						
Chamber 7	70	8	2.58	1.03	Not used	Not used	Not used	Not used																																						
Chamber 8	70	8	2.72	0.989	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [RPM]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
8/5/2021/5:47:09 PM	Flush	1013.0	0.0	26.6500	24.96	93.96	26.5700	24.96	94.68	26.7800	24.96	93.80	26.6100	24.96	94.32	26.5500	24.96	94.43	26.4700	24.96	94.73	26.5000	24.96	94.46	26.4700	24.96	94.73	NaN	NaN	NaN	NaN	24.9600	24.96	OFF	24.9600	24.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/5:47:10 PM	F5    	1013.0	0.0	26.6675	24.96	93.80	26.5787	24.96	94.60	26.7975	24.96	93.65	26.5837	24.96	94.56	26.5675	24.95	94.29	26.5050	24.95	94.43	26.5175	24.95	94.31	26.4875	24.95	94.59	NaN	NaN	NaN	NaN	24.9600	24.96	OFF	24.9512	24.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/5:47:11 PM	F5    	1013.0	0.0	26.6525	24.96	93.94	26.6062	24.96	94.35	26.7737	24.96	93.86	26.6150	24.96	94.27	26.6137	24.95	93.87	26.5188	24.95	94.31	26.5550	24.95	93.98	26.4725	24.95	94.73	NaN	NaN	NaN	NaN	24.9600	24.96	OFF	24.9500	24.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/5:47:12 PM	F5    	1013.0	0.0	26.6325	24.96	94.12	26.6100	24.96	94.32	26.7963	24.96	93.66	26.6025	24.96	94.39	26.6112	24.95	93.90	26.5375	24.95	94.14	26.4812	24.95	94.65	26.4788	24.95	94.67	NaN	NaN	NaN	NaN	24.9600	24.96	OFF	24.9500	24.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/5:47:13 PM	F5    	1013.0	0.0	26.6212	24.96	94.22	26.6625	24.96	93.85	26.8350	24.96	93.31	26.5738	24.96	94.65	26.5663	24.95	94.30	26.5225	24.95	94.27	26.5312	24.95	94.19	26.4625	24.95	94.82	NaN	NaN	NaN	NaN	24.9600	24.96	OFF	24.9500	24.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/5:47:14 PM	F5    	1013.0	0.0	26.6375	24.96	94.07	26.6263	24.96	94.17	26.7963	24.96	93.66	26.5963	24.96	94.44	26.5688	24.95	94.28	26.5200	24.95	94.29	26.5050	24.95	94.43	26.4425	24.95	95.00	NaN	NaN	NaN	NaN	24.9600	24.96	OFF	24.9500	24.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/5:47:15 PM	F5    	1013.0	0.0	26.6312	24.96	94.13	26.6638	24.96	93.83	26.7638	24.96	93.95	26.6175	24.96	94.25	26.5700	24.95	94.27	26.5113	24.95	94.37	26.5350	24.95	94.16	26.5013	24.95	94.46	NaN	NaN	NaN	NaN	24.9600	24.96	OFF	24.9500	24.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/5:47:16 PM	F5    	1013.0	0.0	26.6388	24.96	94.06	26.6525	24.96	93.94	26.7862	24.96	93.75	26.5763	24.96	94.63	26.5787	24.96	94.18	26.5800	24.96	93.74	26.4962	24.96	94.50	26.5100	24.96	94.37	NaN	NaN	NaN	NaN	24.9600	24.96	OFF	24.9588	24.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/5:47:17 PM	F5    	1013.0	0.0	26.6487	24.96	93.97	26.5712	24.96	94.67	26.7812	24.96	93.79	26.5963	24.96	94.44	26.6237	24.96	93.77	26.5637	24.96	93.88	26.5425	24.96	94.07	26.4750	24.96	94.69	NaN	NaN	NaN	NaN	24.9600	24.96	OFF	24.9600	24.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/5:47:18 PM	F5    	1013.0	0.0	26.6675	24.96	93.80	26.5775	24.96	94.61	26.7888	24.96	93.72	26.5912	24.96	94.49	26.6300	24.95	93.73	26.5862	24.95	93.69	26.5237	24.95	94.26	26.4788	24.95	94.67	NaN	NaN	NaN	NaN	24.9600	24.96	OFF	24.9512	24.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
