Date & time of file creation	8/3/2021 8:49 PM																																																																
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.2.2026\SMR_21_BC_8.3.2021.txt																																																																
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.2.2026\SMR_21_BC_8.3.2021_raw.txt																																																																
																																																																	
																																																																	
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																												
Chamber 1	4.05	74.00000000000001	13.6																																																														
Chamber 2	2.89	75.50000000000001																																																															
Chamber 3	3.38	74.75000000000001																																																															
Chamber 4	3.03	75.00000000000001																																																															
Chamber 5	2.71	75.24873096446701	10																																																														
Chamber 6	2.77	75.25742574257427																																																															
Chamber 7	2.58	75.49514563106797																																																															
Chamber 8	2.72	75.24974721941356																																																															
																																																																	
																																																																	
