Date & time of file creation	8/4/2021 5:08 PM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.2.2026\tempchange_21_23_BC_8.4.2021_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.2.2026\tempchange_21_23_BC_8.4.2021.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	59.5000	26.9000	0.00	100.00	20.95	19.81																																							
Chamber 2	1	59.5000	26.9000	0.00	100.00	20.95	19.81																																							
Chamber 3	1	59.5000	27.0000	0.00	100.00	20.95	19.81																																							
Chamber 4	1	59.5000	27.0000	0.00	100.00	20.95	19.81																																							
Chamber 5	1	59.5000	26.8500	0.00	100.00	20.95	19.81																																							
Chamber 6	1	59.5000	26.8000	0.00	100.00	20.95	19.81																																							
Chamber 7	1	59.5000	26.8000	0.00	100.00	20.95	19.81																																							
Chamber 8	1	59.5000	26.8000	0.00	100.00	20.95	19.81																																							
																																														
																																														
Ambient temp N°1	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	70	8	4.05	1.0125	13.6	Not used	Not used	Not used																																						
Chamber 2	70	8	2.89	1.156	Not used	Not used	Not used	Not used																																						
Chamber 3	70	8	3.38	1.04	Not used	Not used	Not used	Not used																																						
Chamber 4	70	8	3.03	1.01	Not used	Not used	Not used	Not used																																						
Chamber 5	70	8	2.71	0.985	10	Not used	Not used	Not used																																						
Chamber 6	70	8	2.77	1.01	Not used	Not used	Not used	Not used																																						
Chamber 7	70	8	2.58	1.03	Not used	Not used	Not used	Not used																																						
Chamber 8	70	8	2.72	0.989	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [RPM]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
8/4/2021/5:09:07 PM	Flush	1013.0	0.0	27.2229	21.04	94.99	27.1771	21.04	95.40	27.2300	21.04	95.82	27.1443	21.04	96.60	27.1229	21.09	95.35	27.0629	21.09	95.45	27.0471	21.09	95.59	27.1586	21.09	94.59	NaN	NaN	NaN	NaN	21.0357	21.04	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:08 PM	Flush	1013.0	0.0	27.2138	21.03	95.08	27.1562	21.03	95.60	27.2338	21.03	95.80	27.1612	21.03	96.46	27.1000	21.09	95.56	27.0750	21.09	95.34	27.0450	21.09	95.61	27.1400	21.09	94.75	NaN	NaN	NaN	NaN	21.0300	21.03	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:09 PM	Flush	1013.0	0.0	27.1738	21.03	95.44	27.1762	21.03	95.42	27.2400	21.03	95.74	27.1650	21.03	96.42	27.1050	21.09	95.52	27.0850	21.09	95.25	27.0650	21.09	95.43	27.1550	21.09	94.62	NaN	NaN	NaN	NaN	21.0300	21.03	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:10 PM	Flush	1013.0	0.0	27.1950	21.03	95.25	27.2275	21.03	94.96	27.2362	21.03	95.77	27.1475	21.03	96.58	27.1400	21.09	95.20	27.0700	21.09	95.38	27.0700	21.09	95.38	27.1700	21.09	94.48	NaN	NaN	NaN	NaN	21.0300	21.03	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:11 PM	Flush	1013.0	0.0	27.2275	21.03	94.96	27.2175	21.03	95.05	27.2375	21.03	95.76	27.1562	21.03	96.50	27.1100	21.09	95.47	27.0250	21.09	95.79	27.0650	21.09	95.43	27.1550	21.09	94.62	NaN	NaN	NaN	NaN	21.0300	21.03	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:12 PM	Flush	1013.0	0.0	27.2325	21.03	94.91	27.1575	21.03	95.59	27.2387	21.03	95.75	27.1612	21.03	96.46	27.1100	21.09	95.47	27.0000	21.09	96.02	27.0600	21.09	95.47	27.1400	21.09	94.75	NaN	NaN	NaN	NaN	21.0300	21.03	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:13 PM	Flush	1013.0	0.0	27.2237	21.03	94.99	27.1575	21.03	95.59	27.2387	21.03	95.75	27.1687	21.03	96.39	27.1000	21.09	95.56	27.0250	21.09	95.79	27.0800	21.09	95.29	27.1400	21.09	94.75	NaN	NaN	NaN	NaN	21.0300	21.03	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:14 PM	Flush	1013.0	0.0	27.2375	21.03	94.86	27.2087	21.03	95.12	27.2550	21.03	95.60	27.1575	21.03	96.48	27.1150	21.09	95.43	27.0400	21.09	95.66	27.1000	21.09	95.11	27.1500	21.09	94.66	NaN	NaN	NaN	NaN	21.0338	21.03	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:15 PM	Flush	1013.0	0.0	27.2350	21.04	94.87	27.1750	21.04	95.41	27.2300	21.04	95.81	27.1775	21.04	96.29	27.1600	21.09	95.02	27.0250	21.09	95.79	27.0950	21.09	95.16	27.1450	21.09	94.71	NaN	NaN	NaN	NaN	21.0400	21.04	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/4/2021/5:09:16 PM	Flush	1013.0	0.0	27.2025	21.04	95.17	27.1687	21.04	95.48	27.2300	21.04	95.82	27.1825	21.04	96.25	27.1300	21.09	95.29	27.0550	21.09	95.52	27.0800	21.09	95.29	27.1750	21.09	94.44	NaN	NaN	NaN	NaN	21.0362	21.04	OFF	21.0900	21.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
