Date & time of file creation	8/5/2021 3:00 PM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.2.2026\tempchange_23_25_8.4.2021_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.2.2026\tempchange_23_25_8.4.2021.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	59.5000	26.9000	0.00	100.00	20.95	19.81																																							
Chamber 2	1	59.5000	26.9000	0.00	100.00	20.95	19.81																																							
Chamber 3	1	59.5000	26.9000	0.00	100.00	20.95	19.81																																							
Chamber 4	1	59.5000	26.9000	0.00	100.00	20.95	19.81																																							
Chamber 5	1	59.5000	26.8500	0.00	100.00	20.95	19.81																																							
Chamber 6	1	59.5000	26.8000	0.00	100.00	20.95	19.81																																							
Chamber 7	1	59.5000	26.8000	0.00	100.00	20.95	19.81																																							
Chamber 8	1	59.5000	26.8000	0.00	100.00	20.95	19.81																																							
																																														
																																														
Ambient temp N°1	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	5.0000	0.00	100.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	70	8	4.05	1.0125	13.6	Not used	Not used	Not used																																						
Chamber 2	70	8	2.89	1.156	Not used	Not used	Not used	Not used																																						
Chamber 3	70	8	3.38	1.04	Not used	Not used	Not used	Not used																																						
Chamber 4	70	8	3.03	1.01	Not used	Not used	Not used	Not used																																						
Chamber 5	70	8	2.71	0.985	10	Not used	Not used	Not used																																						
Chamber 6	70	8	2.77	1.01	Not used	Not used	Not used	Not used																																						
Chamber 7	70	8	2.58	1.03	Not used	Not used	Not used	Not used																																						
Chamber 8	70	8	2.72	0.989	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [RPM]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
8/5/2021/3:01:00 PM	Flush	1013.0	0.0	27.9300	23.08	85.89	27.5500	23.08	89.00	28.1000	23.08	84.54	28.1300	23.08	84.31	27.6300	23.08	87.92	27.5500	23.08	88.18	27.8300	23.08	85.90	27.4100	23.08	89.35	NaN	NaN	NaN	NaN	23.0800	23.08	OFF	23.0800	23.08	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/3:01:01 PM	F1   	1013.0	0.0	27.9375	23.08	85.83	27.5875	23.08	88.68	28.1150	23.08	84.42	28.0700	23.08	84.78	27.5475	23.08	88.61	27.5875	23.08	87.87	27.8300	23.08	85.90	27.4475	23.08	89.03	NaN	NaN	NaN	NaN	23.0800	23.08	OFF	23.0800	23.08	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/3:01:02 PM	F1   	1013.0	0.0	27.8800	23.08	86.29	27.5550	23.08	88.96	28.0900	23.08	84.62	28.0425	23.08	84.99	27.5263	23.08	88.79	27.5625	23.08	88.08	27.8300	23.08	85.90	27.4600	23.08	88.93	NaN	NaN	NaN	NaN	23.0800	23.08	OFF	23.0800	23.08	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/3:01:03 PM	F1   	1013.0	0.0	27.9200	23.08	85.97	27.5550	23.08	88.96	28.0725	23.08	84.76	28.0400	23.08	85.01	27.5362	23.09	88.69	27.5463	23.09	88.20	27.8175	23.09	85.99	27.4413	23.09	89.08	NaN	NaN	NaN	NaN	23.0800	23.08	OFF	23.0862	23.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/3:01:04 PM	F1   	1013.0	0.0	27.8800	23.07	86.30	27.5600	23.07	88.93	28.1000	23.07	84.55	28.0625	23.07	84.85	27.5087	23.09	88.92	27.5437	23.09	88.22	27.7975	23.09	86.14	27.4425	23.09	89.06	NaN	NaN	NaN	NaN	23.0725	23.07	OFF	23.0900	23.09	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/3:01:05 PM	F1   	1013.0	0.0	27.8225	23.07	86.77	27.5150	23.07	89.31	28.0950	23.07	84.60	28.0400	23.07	85.03	27.4975	23.10	89.00	27.5325	23.10	88.30	27.7825	23.10	86.25	27.4500	23.10	88.99	NaN	NaN	NaN	NaN	23.0700	23.07	OFF	23.0975	23.10	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/3:01:06 PM	F1   	1013.0	0.0	27.8550	23.07	86.51	27.4925	23.07	89.49	28.0825	23.07	84.69	28.0000	23.07	85.35	27.4875	23.10	89.08	27.5175	23.10	88.42	27.7613	23.10	86.42	27.4313	23.10	89.14	NaN	NaN	NaN	NaN	23.0700	23.07	OFF	23.1000	23.10	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/3:01:07 PM	F1   	1013.0	0.0	27.8025	23.07	86.93	27.4900	23.07	89.52	28.0800	23.07	84.71	27.9975	23.07	85.37	27.4862	23.10	89.09	27.5100	23.10	88.48	27.7437	23.10	86.56	27.3888	23.10	89.50	NaN	NaN	NaN	NaN	23.0700	23.07	OFF	23.1000	23.10	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/3:01:08 PM	F1   	1013.0	0.0	27.8025	23.07	86.93	27.4675	23.07	89.71	28.0725	23.07	84.77	27.9850	23.07	85.46	27.4900	23.11	89.05	27.5175	23.11	88.41	27.7475	23.11	86.52	27.3925	23.11	89.45	NaN	NaN	NaN	NaN	23.0700	23.07	OFF	23.1075	23.11	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/3:01:09 PM	F1   	1013.0	0.0	27.8325	23.08	86.68	27.4525	23.08	89.82	28.0625	23.08	84.84	27.9575	23.08	85.67	27.4650	23.11	89.25	27.5138	23.11	88.44	27.7187	23.11	86.75	27.3750	23.11	89.60	NaN	NaN	NaN	NaN	23.0775	23.08	OFF	23.1100	23.11	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/3:01:10 PM	F1   	1013.0	0.0	27.8100	23.08	86.86	27.5025	23.08	89.40	28.0450	23.08	84.98	27.9575	23.08	85.67	27.4500	23.11	89.38	27.4875	23.11	88.65	27.7150	23.11	86.78	27.3675	23.11	89.66	NaN	NaN	NaN	NaN	23.0800	23.08	OFF	23.1100	23.11	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/3:01:11 PM	F1   	1013.0	0.0	27.7850	23.07	87.07	27.4450	23.07	89.89	28.0325	23.07	85.08	27.9675	23.07	85.60	27.4313	23.12	89.53	27.4550	23.12	88.92	27.7387	23.12	86.58	27.3825	23.12	89.53	NaN	NaN	NaN	NaN	23.0725	23.07	OFF	23.1163	23.12	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/3:01:12 PM	F1   	1013.0	0.0	27.7725	23.08	87.16	27.4275	23.08	90.03	28.0375	23.08	85.04	27.9475	23.08	85.75	27.4575	23.12	89.30	27.4337	23.12	89.09	27.7437	23.12	86.53	27.3775	23.12	89.56	NaN	NaN	NaN	NaN	23.0775	23.08	OFF	23.1200	23.12	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/3:01:13 PM	F1   	1013.0	0.0	27.6950	23.08	87.80	27.4525	23.08	89.82	28.0475	23.08	84.96	27.8950	23.08	86.17	27.4200	23.12	89.62	27.4225	23.12	89.18	27.7250	23.12	86.69	27.3925	23.12	89.44	NaN	NaN	NaN	NaN	23.0800	23.08	OFF	23.1200	23.12	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/3:01:14 PM	F1   	1013.0	0.0	27.6775	23.08	87.94	27.4375	23.08	89.94	28.0425	23.08	84.99	27.9025	23.08	86.11	27.3687	23.12	90.05	27.4387	23.12	89.05	27.7200	23.12	86.73	27.4000	23.12	89.37	NaN	NaN	NaN	NaN	23.0800	23.08	OFF	23.1200	23.12	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/3:01:15 PM	F1   	1013.0	0.0	27.7025	23.08	87.73	27.3850	23.08	90.39	28.0175	23.08	85.19	27.8950	23.08	86.17	27.3313	23.12	90.37	27.4062	23.12	89.32	27.6887	23.12	86.98	27.3813	23.12	89.53	NaN	NaN	NaN	NaN	23.0800	23.08	OFF	23.1200	23.12	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/3:01:16 PM	F1   	1013.0	0.0	27.6725	23.07	87.99	27.3625	23.07	90.59	27.9875	23.07	85.44	27.8975	23.07	86.16	27.3275	23.12	90.40	27.4400	23.12	89.04	27.6925	23.12	86.95	27.3250	23.12	90.01	NaN	NaN	NaN	NaN	23.0725	23.07	OFF	23.1200	23.12	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/3:01:17 PM	F1   	1013.0	0.0	27.6600	23.07	88.10	27.3150	23.07	91.00	28.0250	23.07	85.15	27.8700	23.07	86.39	27.3175	23.12	90.49	27.4225	23.12	89.18	27.6938	23.12	86.94	27.3412	23.12	89.87	NaN	NaN	NaN	NaN	23.0700	23.07	OFF	23.1200	23.12	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/3:01:18 PM	F1   	1013.0	0.0	27.6225	23.07	88.41	27.3525	23.07	90.68	27.9800	23.07	85.50	27.8525	23.07	86.53	27.2913	23.12	90.71	27.4062	23.12	89.32	27.6713	23.12	87.12	27.3412	23.12	89.87	NaN	NaN	NaN	NaN	23.0700	23.07	OFF	23.1200	23.12	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/3:01:19 PM	F1   	1013.0	0.0	27.6250	23.07	88.39	27.3400	23.07	90.79	27.9675	23.07	85.60	27.8500	23.07	86.55	27.2862	23.13	90.75	27.3850	23.13	89.49	27.6475	23.13	87.31	27.3300	23.13	89.96	NaN	NaN	NaN	NaN	23.0700	23.07	OFF	23.1262	23.13	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/3:01:20 PM	F1   	1013.0	0.0	27.5700	23.07	88.85	27.3075	23.07	91.07	27.9550	23.07	85.70	27.8050	23.07	86.91	27.2838	23.13	90.76	27.3637	23.13	89.66	27.6212	23.13	87.52	27.3550	23.13	89.74	NaN	NaN	NaN	NaN	23.0700	23.07	OFF	23.1300	23.13	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
8/5/2021/3:01:21 PM	F1   	1013.0	0.0	27.5500	23.08	89.00	27.3300	23.08	90.86	27.9425	23.08	85.79	27.8050	23.08	86.90	27.2613	23.13	90.96	27.3475	23.13	89.80	27.5975	23.13	87.71	27.3700	23.13	89.61	NaN	NaN	NaN	NaN	23.0775	23.08	OFF	23.1300	23.13	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
