Date & time of file creation	8/17/2021 7:00 PM																																																																
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.16.2021\SMR_23_LF_8.17.2021.txt																																																																
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.16.2021\SMR_23_LF_8.17.2021_raw.txt																																																																
																																																																	
																																																																	
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																												
Chamber 1	2.59	75.41929055400558	13.6																																																														
Chamber 2	4.42	73.49898167006111																																																															
Chamber 3	4.63	73.50485436893206																																																															
Chamber 4	4.390	73.73786407766991																																																															
Chamber 5	4.28	73.76237623762377	10																																																														
Chamber 6	4.88	73.00000000000001																																																															
Chamber 7	4.24	73.74724172517554																																																															
Chamber 8	4.97	73.00000000000001																																																															
																																																																	
																																																																	
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]	AMB temp N°2 avg temp [°C]	AMB temp N°2 setpoint [°C]	AMB temp N°2 hysteresis [°C]
8/17/2021/7:12:31 PM	660	1	F480/W60/M120	381.1	-153.559	0.986	94.24	88.94	91.40	23.06	313.8	-221.066	0.988	92.69	85.06	88.88	23.06	353.7	-260.859	0.996	92.50	84.07	88.23	23.06	245.1	-171.091	0.981	93.66	88.02	91.15	23.06	327.7	-224.176	0.989	91.39	83.75	87.84	23.01	267.9	-211.296	0.979	94.20	86.91	90.48	23.01	231.7	-157.785	0.960	93.80	88.21	91.44	23.01	303.8	-243.597	0.988	91.96	83.58	87.75	23.01	23.08	21.00	0.10	23.03	21.00	0.10
8/17/2021/7:23:30 PM	1320	2	F480/W60/M120	362.0	-145.714	0.981	93.93	89.10	91.60	23.07	315.5	-222.100	0.987	92.15	84.89	88.66	23.07	355.5	-262.021	0.993	92.10	84.02	88.20	23.07	257.0	-179.207	0.990	93.51	87.82	90.84	23.07	409.5	-279.211	0.987	91.37	82.04	87.08	23.03	246.9	-194.583	0.955	93.38	85.85	90.08	23.03	267.2	-181.257	0.976	93.96	88.26	91.09	23.03	345.8	-276.656	0.984	91.35	82.17	86.85	23.03	23.08	21.00	0.10	23.04	21.00	0.10
8/17/2021/7:34:31 PM	1981	3	F480/W60/M120	355.7	-143.933	0.981	93.57	88.78	91.20	23.08	319.9	-225.912	0.981	92.52	84.63	88.89	23.08	298.9	-221.114	0.992	92.11	84.96	88.68	23.08	245.1	-171.671	0.967	93.58	88.26	91.41	23.08	332.3	-227.073	0.991	91.62	83.73	87.71	23.03	265.5	-209.287	0.972	93.99	86.98	90.57	23.03	217.6	-148.119	0.968	93.59	88.09	90.67	23.03	415.5	-332.144	0.981	91.42	80.45	86.59	23.03	23.09	21.00	0.10	23.05	21.00	0.10
8/17/2021/7:45:30 PM	2640	4	F480/W60/M120	390.5	-157.758	0.981	93.60	88.57	91.03	23.08	330.3	-233.131	0.988	92.78	84.75	88.78	23.08	298.2	-220.468	0.988	92.09	84.37	88.57	23.08	232.5	-162.762	0.980	93.78	88.17	91.23	23.08	294.9	-201.235	0.984	91.70	84.56	88.32	23.04	254.4	-200.079	0.962	94.35	86.79	90.51	23.04	239.1	-162.038	0.976	94.13	88.39	91.26	23.04	328.4	-262.485	0.991	92.20	83.52	87.97	23.04	23.10	21.00	0.10	23.05	21.00	0.10
8/17/2021/7:56:30 PM	3300	5	F480/W60/M120	334.8	-135.483	0.956	93.72	88.81	91.49	23.09	323.4	-228.366	0.986	92.46	84.77	88.64	23.09	295.1	-218.282	0.994	92.30	85.22	88.70	23.09	248.4	-173.929	0.981	93.35	87.58	90.75	23.09	328.2	-224.480	0.989	91.86	84.26	88.16	23.04	238.9	-188.696	0.963	94.33	87.54	91.12	23.04	256.6	-174.476	0.978	94.20	88.56	91.44	23.04	280.5	-225.151	0.989	92.10	84.24	88.37	23.04	23.10	21.00	0.10	23.06	21.00	0.10
8/17/2021/8:07:30 PM	3960	6	F480/W60/M120	354.4	-143.179	0.976	94.08	89.38	91.54	23.10	313.0	-220.915	0.989	92.86	84.94	88.87	23.10	296.3	-219.048	0.986	92.30	85.61	88.86	23.10	136.7	-96.072	0.957	93.31	89.71	91.80	23.10	332.7	-227.321	0.992	91.78	83.99	87.71	23.05	270.5	-213.121	0.966	94.51	86.78	90.94	23.05	213.1	-145.035	0.964	93.74	88.63	91.34	23.05	325.3	-260.475	0.990	92.26	83.68	87.89	23.05	23.11	21.00	0.10	23.06	21.00	0.10
8/17/2021/8:18:30 PM	4620	7	F480/W60/M120	367.5	-148.633	0.985	93.59	88.74	91.21	23.10	319.4	-225.581	0.987	92.66	84.79	88.75	23.10	303.5	-224.535	0.995	92.50	84.86	88.71	23.10	144.6	-101.729	0.969	94.00	89.84	91.96	23.10	339.2	-231.449	0.988	91.83	83.92	88.13	23.05	257.3	-202.528	0.967	94.41	87.43	91.09	23.05	311.4	-210.742	0.972	94.01	87.56	90.94	23.05	282.0	-225.835	0.988	92.33	84.44	88.61	23.05	23.12	21.00	0.10	23.07	21.00	0.10
