Date & time of file creation	8/27/2021 8:59 AM																																																																
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.23.2021\MMR_25_LF_8.27.2021.txt																																																																
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.23.2021\MMR_25_LF_8.27.2021_raw.txt																																																																
																																																																	
																																																																	
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																												
Chamber 1	5.15	73.00000000000001	0																																																														
Chamber 2	4.66	73.47572815533981																																																															
Chamber 3	5.110	73.03883495145632																																																															
Chamber 4	4.92	72.97959183673471																																																															
Chamber 5	5.4	72.48979591836736	0																																																														
Chamber 6	5.41	72.4795918367347																																																															
Chamber 7	3.27	74.73000000000002																																																															
Chamber 8	5.14	73.0097087378641																																																															
																																																																	
																																																																	
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]	AMB temp N°2 avg temp [°C]	AMB temp N°2 setpoint [°C]	AMB temp N°2 hysteresis [°C]
8/27/2021/9:11:09 AM	630	1	F480/W60/M90	315.6	-271.705	0.967	94.27	87.65	91.45	24.95	417.8	-322.937	0.973	93.03	85.66	89.70	24.95	477.3	-406.451	0.988	92.18	82.96	87.42	24.95	366.1	-300.980	0.948	93.08	85.81	88.92	24.95	435.5	-395.322	0.971	94.39	84.91	89.16	24.90	565.7	-513.629	0.991	93.48	81.66	87.03	24.90	326.8	-175.917	0.947	95.26	90.91	93.28	24.90	466.4	-400.082	0.964	93.35	83.23	87.39	24.90	25.00	0.00	0.00	24.97	0.00	0.00
8/27/2021/9:21:39 AM	1260	2	F480/W60/M90	283.6	-244.699	0.733	91.83	85.11	89.89	25.02	426.2	-329.887	0.978	92.94	83.85	89.00	25.02	255.1	-218.466	0.974	91.69	85.91	88.57	25.02	363.4	-299.223	0.967	93.91	87.24	90.41	25.02	222.0	-203.780	0.975	93.85	88.62	91.54	24.98	321.2	-293.903	0.981	93.68	85.80	89.92	24.98	262.6	-142.645	0.967	94.62	90.78	92.64	24.98	308.7	-266.693	0.910	93.67	86.13	88.94	24.98	25.02	0.00	0.00	25.00	0.00	0.00
8/27/2021/9:32:09 AM	1890	3	F480/W60/M90	108.9	-95.333	0.501	94.08	89.90	93.05	24.99	495.0	-382.624	0.986	89.93	80.39	85.42	24.99	795.5	-676.594	0.997	88.52	72.54	80.86	24.99	330.0	-271.807	0.935	92.25	85.51	89.34	24.99	242.3	-221.681	0.947	94.67	88.93	92.09	24.95	631.6	-574.025	0.976	93.57	81.12	88.07	24.95	291.2	-157.418	0.959	94.32	90.03	92.07	24.95	477.6	-410.221	0.908	90.79	80.25	86.82	24.95	25.02	0.00	0.00	25.01	0.00	0.00
8/27/2021/9:42:39 AM	2520	4	F480/W60/M90	13.4	-13.114	0.151	94.13	93.15	93.65	24.99	314.0	-242.958	0.967	92.15	85.60	88.96	24.99	593.2	-504.436	0.993	87.77	74.76	81.42	24.99	494.5	-405.500	0.995	87.79	77.11	82.48	24.99	273.9	-250.502	0.984	94.68	88.61	91.67	24.98	267.5	-245.114	0.983	93.71	87.40	90.73	24.98	281.9	-152.762	0.956	95.67	91.34	93.55	24.98	380.2	-327.481	0.947	92.42	82.33	88.18	24.98	24.98	0.00	0.00	24.99	0.00	0.00
8/27/2021/9:53:09 AM	3150	5	F480/W60/M90	139.9	-120.503	0.788	90.89	87.17	89.82	25.00	342.9	-264.541	0.980	92.59	85.68	89.00	25.00	486.2	-413.189	0.990	90.47	80.23	85.50	25.00	440.9	-361.201	0.992	90.72	81.54	86.40	25.00	285.2	-258.557	0.905	91.84	85.64	88.20	25.00	299.8	-272.354	0.984	93.80	87.20	90.70	25.00	272.4	-145.528	0.971	95.37	91.21	93.38	25.00	350.5	-300.199	0.990	93.28	86.00	89.63	25.00	24.98	0.00	0.00	24.99	0.00	0.00
8/27/2021/10:03:39 AM	3780	6	F480/W60/M90	74.7	-66.239	0.723	91.62	89.39	90.85	24.98	358.0	-277.556	0.976	92.13	85.73	88.80	24.98	503.1	-428.904	0.997	91.40	80.65	86.07	24.98	318.5	-262.569	0.983	92.20	85.29	88.78	24.98	469.6	-426.950	0.995	90.88	80.48	85.42	24.97	636.8	-578.977	0.997	92.10	78.31	85.16	24.97	315.2	-170.437	0.963	95.60	91.09	93.36	24.97	204.6	-177.755	0.940	93.16	88.11	90.94	24.97	25.01	0.00	0.00	25.01	0.00	0.00
8/27/2021/10:14:09 AM	4410	7	F480/W60/M90	209.7	-180.986	0.957	93.87	89.16	91.13	24.94	332.4	-257.071	0.979	91.53	85.08	88.56	24.94	453.7	-386.121	0.996	92.53	82.99	87.78	24.94	314.3	-258.377	0.956	93.06	86.78	90.61	24.94	248.0	-230.924	0.960	92.53	85.88	89.35	24.93	574.8	-526.165	0.981	89.82	75.64	83.14	24.93	342.9	-189.067	0.955	94.66	89.61	91.85	24.93	761.9	-656.023	0.991	88.69	73.29	80.57	24.93	24.97	0.00	0.00	24.98	0.00	0.00
