Date & time of file creation	8/24/2021 1:00 PM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.23.2021\MMR_25_LF_8.24.2021_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.23.2021\MMR_25_LF_8.24.2021.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	58.0500	27.0500	0.00	100.00	22.59	20.76																																							
Chamber 2	1	58.0500	27.1000	0.00	100.00	22.59	20.76																																							
Chamber 3	1	58.0500	27.0700	0.00	100.00	22.59	20.76																																							
Chamber 4	1	58.0500	27.0700	0.00	100.00	22.59	20.76																																							
Chamber 5	1	58.0500	27.0700	0.00	100.00	22.59	20.76																																							
Chamber 6	1	58.0500	27.1200	0.00	100.00	22.59	20.76																																							
Chamber 7	1	58.0500	27.1200	0.00	100.00	22.59	20.76																																							
Chamber 8	1	59.5000	26.8300	0.00	100.00	22.59	20.76																																							
																																														
																																														
Ambient temp N°1	1	0.0000	0.0000	0.00	0.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	0.0000	0.00	0.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	70	8	5.15	1.03	0	Not used	Not used	Not used																																						
Chamber 2	70	8	4.66	1.03	Not used	Not used	Not used	Not used																																						
Chamber 3	70	8	5.110	1.03	Not used	Not used	Not used	Not used																																						
Chamber 4	70	8	4.92	0.98	Not used	Not used	Not used	Not used																																						
Chamber 5	70	8	5.4	0.98	0	Not used	Not used	Not used																																						
Chamber 6	70	8	5.41	0.98	Not used	Not used	Not used	Not used																																						
Chamber 7	70	8	3.27	1	Not used	Not used	Not used	Not used																																						
Chamber 8	70	8	5.14	1.03	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
8/24/2021/1:00:54 PM	Flush	1013.0	0.0	26.8400	25.09	94.38	26.7800	25.09	95.36	26.8400	25.09	94.56	26.7700	25.09	95.19	26.7700	25.06	95.24	26.7880	25.06	95.51	26.7520	25.06	95.84	26.6040	25.06	95.11	NaN	NaN	NaN	NaN	25.0900	25.09	OFF	25.0600	25.06	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/24/2021/1:00:55 PM	Flush	1013.0	0.0	26.8200	25.09	94.57	26.8300	25.09	94.90	26.8400	25.09	94.56	26.7600	25.09	95.28	26.7650	25.06	95.28	26.7625	25.06	95.74	26.7650	25.06	95.72	26.6050	25.06	95.10	NaN	NaN	NaN	NaN	25.0900	25.09	OFF	25.0625	25.06	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/24/2021/1:00:56 PM	F1   	1013.0	0.0	26.7900	25.09	94.84	26.8700	25.09	94.54	26.8200	25.09	94.74	26.7700	25.09	95.19	26.7500	25.07	95.41	26.7375	25.07	95.96	26.7425	25.07	95.91	26.5950	25.07	95.18	NaN	NaN	NaN	NaN	25.0900	25.09	OFF	25.0700	25.07	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/24/2021/1:00:57 PM	F1   	1013.0	0.0	26.8000	25.09	94.75	26.7800	25.09	95.36	26.8100	25.09	94.83	26.7800	25.09	95.10	26.7600	25.07	95.32	26.7375	25.07	95.96	26.7300	25.07	96.03	26.5975	25.07	95.16	NaN	NaN	NaN	NaN	25.0900	25.09	OFF	25.0700	25.07	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/24/2021/1:00:58 PM	F1   	1013.0	0.0	26.8200	25.10	94.55	26.8100	25.10	95.07	26.8300	25.10	94.63	26.7800	25.10	95.08	26.8025	25.07	94.93	26.7675	25.07	95.68	26.7675	25.07	95.68	26.5575	25.07	95.52	NaN	NaN	NaN	NaN	25.1000	25.10	OFF	25.0700	25.07	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/24/2021/1:00:59 PM	F1   	1013.0	0.0	26.8100	25.09	94.66	26.7900	25.09	95.27	26.8200	25.09	94.74	26.7800	25.09	95.10	26.8225	25.07	94.75	26.7800	25.07	95.57	26.7825	25.07	95.54	26.5650	25.07	95.45	NaN	NaN	NaN	NaN	25.0900	25.09	OFF	25.0700	25.07	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/24/2021/1:01:00 PM	F1   	1013.0	0.0	26.8100	25.09	94.66	26.8100	25.09	95.09	26.7900	25.09	95.01	26.7800	25.09	95.10	26.7825	25.07	95.11	26.7550	25.07	95.80	26.7625	25.07	95.73	26.6175	25.07	94.97	NaN	NaN	NaN	NaN	25.0900	25.09	OFF	25.0700	25.07	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/24/2021/1:01:01 PM	F1   	1013.0	0.0	26.8200	25.09	94.57	26.8500	25.09	94.72	26.8000	25.09	94.92	26.7600	25.09	95.28	26.8225	25.07	94.75	26.7575	25.07	95.77	26.7650	25.07	95.71	26.6375	25.07	94.79	NaN	NaN	NaN	NaN	25.0900	25.09	OFF	25.0700	25.07	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/24/2021/1:01:02 PM	F1   	1013.0	0.0	26.8000	25.09	94.75	26.8800	25.09	94.45	26.8100	25.09	94.83	26.8400	25.09	94.56	26.8100	25.07	94.86	26.7300	25.07	96.03	26.7750	25.07	95.61	26.6200	25.07	94.95	NaN	NaN	NaN	NaN	25.0900	25.09	OFF	25.0700	25.07	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/24/2021/1:01:03 PM	F1   	1013.0	0.0	26.8000	25.09	94.75	26.8400	25.09	94.81	26.8200	25.09	94.74	26.8000	25.09	94.92	26.7600	25.07	95.32	26.7725	25.07	95.64	26.8325	25.07	95.09	26.6000	25.07	95.13	NaN	NaN	NaN	NaN	25.0900	25.09	OFF	25.0700	25.07	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/24/2021/1:01:04 PM	F1   	1013.0	0.0	26.7600	25.10	95.09	26.9000	25.10	94.25	26.8100	25.10	94.81	26.7600	25.10	95.27	26.7925	25.07	95.02	26.8025	25.07	95.36	26.7950	25.07	95.43	26.6175	25.07	94.97	NaN	NaN	NaN	NaN	25.1000	25.10	OFF	25.0700	25.07	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/24/2021/1:01:05 PM	F1   	1013.0	0.0	26.8100	25.10	94.64	26.8700	25.10	94.52	26.8100	25.10	94.81	26.8400	25.10	94.54	26.7975	25.07	94.98	26.7800	25.07	95.57	26.8225	25.07	95.18	26.5875	25.07	95.25	NaN	NaN	NaN	NaN	25.1000	25.10	OFF	25.0700	25.07	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/24/2021/1:01:06 PM	F1   	1013.0	0.0	26.7700	25.09	95.02	26.8100	25.09	95.09	26.8000	25.09	94.92	26.8300	25.09	94.65	26.7975	25.07	94.98	26.7750	25.07	95.61	26.7625	25.07	95.73	26.6150	25.07	95.00	NaN	NaN	NaN	NaN	25.0900	25.09	OFF	25.0700	25.07	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/24/2021/1:01:07 PM	F1   	1013.0	0.0	26.7400	25.09	95.29	26.8800	25.09	94.45	26.8000	25.09	94.92	26.8400	25.09	94.56	26.8125	25.07	94.84	26.7650	25.07	95.71	26.7575	25.07	95.77	26.6350	25.07	94.82	NaN	NaN	NaN	NaN	25.0900	25.09	OFF	25.0700	25.07	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
