,Chamber.No,Ind,Mass,Volume,Date.Time,Phase,Temp,Slope.with.BR,Slope,SE,R2,MR.abs.with.BR,BR,MR.abs,MR.mass,DO.unit,Trial,Temperature,Event
1,CH1,1,4.99,78,(2021-Aug-23 22:11:30),M7,25.00955556,-0.013543659,-0.013191619,0.000101586,0.994808462,3.559761176,2.599298751,3.467232348,694.8361418,mg O2,SMR,25,1
2,CH2,2,4.35,78,(2021-Aug-23 22:00:30),M6,25.01322222,-0.01277818,-0.012206514,0.000225687,0.970796094,3.388006773,4.473774056,3.236435005,744.0080471,mg O2,SMR,25,1
3,CH3,3,4.97,78,(2021-Aug-24 06:57:00),M57,24.99655556,-0.015433824,-0.015384513,0.000214355,0.983203159,4.057675799,0.319496538,4.044711666,813.8252848,mg O2,SMR,25,1
4,CH4,4,4.82,78,(2021-Aug-24 06:25:30),M54,25.00311111,-0.012525803,-0.012039614,8.80E-05,0.995317523,3.29989782,3.881500311,3.171812276,658.0523395,mg O2,SMR,25,1
5,CH5,5,5.18,78,(2021-Aug-23 21:17:30),M2,24.93533333,-0.018250068,-0.017939074,0.000137496,0.994856937,4.784291874,1.704069067,4.702764236,907.8695437,mg O2,SMR,25,1
6,CH6,6,5.37,78,(2021-Aug-23 22:22:30),M8,24.93166667,-0.015646273,-0.015482329,8.10E-05,0.997595912,4.090999753,1.04781355,4.048133704,753.8424029,mg O2,SMR,25,1
7,CH7,7,2.12,78,(2021-Aug-24 06:04:30),M52,24.93344444,-0.013795563,-0.013658888,0.000180783,0.984818222,3.768506475,0.990721373,3.731171076,1759.986357,mg O2,SMR,25,1
8,CH8,8,4.98,78,(2021-Aug-23 22:22:30),M8,24.93166667,-0.017544182,-0.017644709,0.000241383,0.983797857,4.611874264,-0.572990034,4.638299844,931.3855109,mg O2,SMR,25,1
9,CH1,1,4.94,78,(2021-Aug-24 21:56:39),M17,22.86322222,-0.010215057,-0.009880952,8.11E-05,0.994101978,2.686723461,3.270711459,2.598848489,526.0826901,mg O2,SMR,23,2
10,CH2,2,4.4,78,(2021-Aug-24 21:56:39),M17,22.86322222,-0.011362207,-0.010790654,0.000193271,0.972544388,3.010530496,5.030299925,2.859091783,649.793587,mg O2,SMR,23,2
