"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",4.99,78,(2021-Aug-24 14:24:53),"M8",24.9764444444444,-0.00895199877673551,-0.00864093663852879,7.24134024491382e-05,0.99385781074398,2.35290755048206,3.47477860492023,2.27114922232435,455.140124714299,"mg O2","MMR",25,1
"2","CH2","2",4.35,78,(2021-Aug-24 13:32:23),"M3",24.9967777777778,-0.00952873254655671,-0.00895712253037267,8.47915247154004e-05,0.992175813978084,2.52644814739405,5.99880428368821,2.37489146770301,545.952061540922,"mg O2","MMR",25,1
"3","CH3","3",4.97,78,(2021-Aug-24 13:42:53),"M4",25.0294444444444,-0.0119159233794395,-0.0118956899196576,8.29372395886131e-05,0.995740596641674,3.13279158384168,0.169801862076579,3.12747204539733,629.270029254997,"mg O2","MMR",25,1
"4","CH4","4",4.82,78,(2021-Aug-24 13:53:23),"M5",25.0496666666667,-0.0119079209646353,-0.011511806873652,0.00014902471658679,0.985467029570241,3.13711796229124,3.32647564725735,3.03276249724988,629.20383760371,"mg O2","MMR",25,1
"5","CH5","5",5.18,78,(2021-Aug-24 16:51:53),"M22",25.0445555555556,-0.0131085609382428,-0.0127120685322433,0.000240805508895739,0.969388752170588,3.43643546708222,3.02468293710878,3.33249418986463,643.338646692014,"mg O2","MMR",25,1
"6","CH6","6",5.37,78,(2021-Aug-24 14:03:53),"M6",24.9775555555556,-0.0133034915333603,-0.0131527629949897,7.66548806060811e-05,0.997019891136548,3.47843732424465,1.13299984438403,3.43902663477396,640.414643347107,"mg O2","MMR",25,1
"7","CH7","7",3.12,78,(2021-Aug-24 14:14:23),"M7",24.9554444444444,-0.0110819241372486,-0.0108312184503589,7.94676964639657e-05,0.995285269563534,2.98733212582984,2.26229383800848,2.91974989522635,935.817274111009,"mg O2","MMR",25,1
"8","CH8","8",4.98,78,(2021-Aug-24 14:14:23),"M7",24.9554444444444,-0.0137230381321682,-0.0136405842840608,0.000157014617962811,0.988474431949033,3.60740247987931,0.600842519806912,3.58572767191963,720.025636931652,"mg O2","MMR",25,1
"9","CH1","1",4.94,78,(2021-Aug-25 11:12:17),"M1",22.98,-0.00796688931353643,-0.00760928317518462,8.58061320304902e-05,0.988933786507303,2.0954193596891,4.48865453351036,2.00136322360436,405.134255790356,"mg O2","MMR",23,2
"10","CH2","2",4.4,78,(2021-Aug-25 11:22:47),"M2",23.0124444444444,-0.00659080669134192,-0.00601916046224967,0.000129572014089195,0.960819059340378,1.74630014093795,8.67338788502469,1.59483675607767,362.462899108562,"mg O2","MMR",23,2
"11","CH3","3",4.95,78,(2021-Aug-25 11:33:17),"M3",22.9892222222222,-0.0100309301077602,-0.0100120883859846,7.19409180630667e-05,0.995477104540584,2.63793399973878,0.187836238247007,2.63297900374623,531.914950251763,"mg O2","MMR",23,2
"12","CH4","4",4.66,78,(2021-Aug-25 11:43:47),"M4",22.9337777777778,-0.00910813246669922,-0.00871932844037546,0.00010041687649964,0.9884630646021,2.4047655663878,4.26875682523607,2.30211197214169,494.015444665599,"mg O2","MMR",23,2
"13","CH5","5",5.01,78,(2021-Aug-25 12:04:47),"M6",22.9212222222222,-0.0109382659680411,-0.0106064192889658,9.46702434951266e-05,0.99303793749842,2.87418251882635,3.03381431796287,2.78698515804581,556.284462683794,"mg O2","MMR",23,2
"14","CH6","6",5.14,78,(2021-Aug-25 12:15:17),"M7",22.9591111111111,-0.0124588804569453,-0.0123123158826636,7.73458813545846e-05,0.996539236181645,3.26791450833493,1.17638639192488,3.22947120675914,628.301791198276,"mg O2","MMR",23,2
"15","CH7","7",3.01,78,(2021-Aug-25 12:15:17),"M7",22.9591111111111,-0.00675467343055073,-0.00651092030369257,8.11063673517283e-05,0.9865284542595,1.8235186580052,3.60865894353506,1.75771408886606,583.958169058492,"mg O2","MMR",23,2
"16","CH8","8",4.81,78,(2021-Aug-25 12:36:17),"M9",22.9725555555556,-0.0109500296688498,-0.0108751577769451,0.000111898620195217,0.990769323026507,2.88515761726723,0.683759717270364,2.8654300717006,595.723507630063,"mg O2","MMR",23,2
"17","CH1","1",5.06,78,(2021-Aug-26 10:54:33),"M10",21.0111111111111,-0.0052371009542107,-0.00494365847916969,7.69187214081728e-05,0.97914092402319,1.37517891696046,5.60314719167438,1.29812561809429,256.54656484077,"mg O2","MMR",21,3
"18","CH2","2",4.25,78,(2021-Aug-26 09:41:03),"M3",21.033,-0.00568617641229842,-0.00511457721251219,9.4560338929393e-05,0.970798162531034,1.50967983746523,10.0524352102397,1.35792024992199,319.510647040467,"mg O2","MMR",21,3
