"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",4.99,78,(2021-Aug-23 22:11:30),"M7",25.0095555555556,-0.0135436590710468,-0.0131916189099468,0.000101586281038632,0.994808461575161,3.55976117559765,2.5992987511957,3.46723234781479,694.836141846651,"mg O2","SMR",25,1
"2","CH2","2",4.35,78,(2021-Aug-23 22:00:30),"M6",25.0132222222222,-0.0127781804813185,-0.0122065135581058,0.000225687114830897,0.970796093737632,3.38800677281678,4.47377405608302,3.23643500479617,744.008047079579,"mg O2","SMR",25,1
"3","CH3","3",4.97,78,(2021-Aug-24 06:57:00),"M57",24.9965555555556,-0.0154338239967984,-0.0153845134634752,0.000214355484729916,0.983203159210779,4.05767579935026,0.319496537821176,4.04471166565533,813.825284840107,"mg O2","SMR",25,1
"4","CH4","4",4.82,78,(2021-Aug-24 06:25:30),"M54",25.0031111111111,-0.0125258032721748,-0.012039614179264,8.80295008974293e-05,0.995317522904143,3.29989782044789,3.88150031056888,3.17181227629875,658.052339481069,"mg O2","SMR",25,1
"5","CH5","5",5.18,78,(2021-Aug-23 21:17:30),"M2",24.9353333333333,-0.0182500681824263,-0.0179390744158184,0.000137495761337689,0.99485693678979,4.78429187415942,1.70406906702628,4.70276423625561,907.86954367869,"mg O2","SMR",25,1
"6","CH6","6",5.37,78,(2021-Aug-23 22:22:30),"M8",24.9316666666667,-0.0156462731701786,-0.0154823293999096,8.10201002694947e-05,0.997595912450018,4.09099975326025,1.0478135495001,4.04813370353557,753.84240289303,"mg O2","SMR",25,1
"7","CH7","7",3.12,78,(2021-Aug-24 06:04:30),"M52",24.9334444444444,-0.0137955634461182,-0.0136588878505004,0.00018078287496369,0.984818221646917,3.71884244704319,0.990721373226782,3.6819990800837,1180.12791028324,"mg O2","SMR",25,1
"8","CH8","8",4.98,78,(2021-Aug-23 22:22:30),"M8",24.9316666666667,-0.0175441822036715,-0.0176447086191583,0.000241382868306865,0.98379785740934,4.61187426424353,-0.572990033503834,4.63829984413537,931.385510870557,"mg O2","SMR",25,1
"9","CH1","1",4.94,78,(2021-Aug-24 21:56:39),"M17",22.8632222222222,-0.0102150571120253,-0.00988095206853975,8.11325612005057e-05,0.994101977880688,2.68672346137645,3.27071145879589,2.59884848925905,526.082690133411,"mg O2","SMR",23,2
"10","CH2","2",4.4,78,(2021-Aug-24 21:56:39),"M17",22.8632222222222,-0.0113622074889355,-0.0107906543741153,0.000193271267562963,0.972544387945115,3.01053049626835,5.0302999252282,2.85909178296559,649.793587037635,"mg O2","SMR",23,2
"11","CH3","3",4.95,78,(2021-Aug-25 06:10:09),"M64",22.8548888888889,-0.0139094783579177,-0.0138522074874605,0.000220959310108682,0.978099583194073,3.6579146185652,0.41173988688531,3.64285352505236,735.930005061082,"mg O2","SMR",23,2
"12","CH4","4",4.66,78,(2021-Aug-25 06:20:39),"M65",22.8767777777778,-0.0109806774429936,-0.010461990025638,0.000158445554762233,0.980215023342532,2.89916238120894,4.72363768126683,2.76221645452904,592.750312130696,"mg O2","SMR",23,2
"13","CH5","5",5.01,78,(2021-Aug-25 10:43:09),"M90",22.9664444444444,-0.0158820254674439,-0.0154788493017328,0.000285962974694048,0.970840972411145,4.17322453992742,2.53856894095494,4.06728435792052,811.833205173756,"mg O2","SMR",23,2
"14","CH6","6",5.14,78,(2021-Aug-24 22:17:39),"M19",22.8365555555556,-0.0145515501192099,-0.0143974053934978,0.000131907974173526,0.992667365282266,3.81681339006827,1.05930106723538,3.77638184509289,734.704639123131,"mg O2","SMR",23,2
"15","CH7","7",3.01,78,(2021-Aug-25 06:20:39),"M65",22.8564444444444,-0.00685326365093859,-0.00675335749919641,0.000121744831168323,0.972196572302238,1.85013446826199,1.45778940999149,1.82316340391306,605.702127545867,"mg O2","SMR",23,2
"16","CH8","8",4.81,78,(2021-Aug-24 20:11:39),"M7",22.8961111111111,-0.0116038097243995,-0.0115022198913438,0.000250353527153628,0.959978949940381,3.05741820142368,0.87548689153424,3.03065090585083,630.072953399341,"mg O2","SMR",23,2
"17","CH1","1",5.06,78,(2021-Aug-25 21:58:28),"M29",21.0535555555556,-0.00952183503418426,-0.00920753809478135,0.000103331609782412,0.989038369610061,2.50028153061624,3.30080219069702,2.41775218308007,477.816636972345,"mg O2","SMR",21,3
"18","CH2","2",4.25,78,(2021-Aug-26 06:01:28),"M75",21.0413333333333,-0.0090872266752609,-0.00851626493227615,0.000149394376669666,0.973633744052173,2.41265868228177,6.28312425108912,2.26106833951932,532.016079886898,"mg O2","SMR",21,3
"19","CH3","3",4.99,78,(2021-Aug-26 06:11:58),"M76",21.0032222222222,-0.0108551159614293,-0.0107823774215232,0.000154560170101956,0.982239058381867,2.85311525883823,0.670085332708682,2.83399695196348,567.935260914524,"mg O2","SMR",21,3
"20","CH4","4",4.58,78,(2021-Aug-25 21:58:28),"M29",21.0535555555556,-0.0105832510337061,-0.0101643187359081,0.000134518449554617,0.984820863440981,2.79728024722092,3.95844619449825,2.68655141372535,586.583278105972,"mg O2","SMR",21,3
"21","CH5","5",4.94,78,(2021-Aug-26 06:01:28),"M75",21.0086666666667,-0.0129581890693173,-0.0125733810963977,0.000159963618676433,0.985956393193128,3.40821105625556,2.96961227268106,3.30700040245012,669.433279848203,"mg O2","SMR",21,3
"22","CH6","6",4.99,78,(2021-Aug-25 22:40:28),"M33",20.9901111111111,-0.0123086147356852,-0.0121658154742146,0.000131774832797402,0.989781095872509,3.23514706266855,1.16015704883936,3.19761427598068,640.804464124384,"mg O2","SMR",21,3
"23","CH7","7",3.01,78,(2021-Aug-26 00:46:28),"M45",20.9562222222222,-0.00707861634721958,-0.00691491938334279,7.37474124459135e-05,0.990089931701142,1.91097158356079,2.3125559551067,1.86677929640475,620.192457277327,"mg O2","SMR",21,3
"24","CH8","8",4.76,78,(2021-Aug-26 06:11:58),"M76",20.9708888888889,-0.0108502573525766,-0.0108998310699109,6.7870358098162e-05,0.996599645880386,2.86082225460976,-0.456889783563395,2.87389305921698,603.759046053987,"mg O2","SMR",21,3
"25","CH1","1",4.83,78,(2021-Aug-27 02:59:00),"M57",24.9703333333333,-0.0101543160666425,-0.00988326800010974,9.10182499415091e-05,0.992591859697701,2.67476870374643,2.66928924364631,2.60337139044491,539.000287876792,"mg O2","SMR",25,4
"26","CH2","2",4.18,78,(2021-Aug-27 06:08:00),"M75",25.0371111111111,-0.0127827349768673,-0.0122117815680827,0.000264413200789669,0.960378289728676,3.39703738557245,4.46659818746012,3.24530537528113,776.388845761035,"mg O2","SMR",25,4
"27","CH3","3",4.72,78,(2021-Aug-27 06:08:00),"M75",25.0371111111111,-0.0145721967494408,-0.0144997419189111,0.000139177019424085,0.991957514944692,3.84426208007649,0.497212820932315,3.82514791614411,810.412694098329,"mg O2","SMR",25,4
"28","CH4","4",4.66,78,(2021-Aug-26 17:53:00),"M5",24.944,-0.00999668271344141,-0.00963223917663443,8.12297658365046e-05,0.993780591689273,2.63936415673366,3.64564473289683,2.54314231637173,545.738694500371,"mg O2","SMR",25,4
"29","CH5","5",4.8,78,(2021-Aug-27 06:39:30),"M78",25.0098888888889,-0.0190812736372846,-0.0186921202793753,0.000352468899778812,0.969659251574038,5.02829722889724,2.03945169125872,4.92574753602098,1026.19740333771,"mg O2","SMR",25,4
