Date & time of file creation	8/26/2021 12:59 PM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.23.2021\tempchange_21_25_LF_8.26.2021_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_8.23.2021\tempchange_21_25_LF_8.26.2021.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	58.0500	27.0500	0.00	100.00	22.59	20.76																																							
Chamber 2	1	58.0500	27.1000	0.00	100.00	22.59	20.76																																							
Chamber 3	1	58.0500	27.0700	0.00	100.00	22.59	20.76																																							
Chamber 4	1	58.0500	27.0700	0.00	100.00	22.59	20.76																																							
Chamber 5	1	58.0500	27.0700	0.00	100.00	22.59	20.76																																							
Chamber 6	1	58.0500	27.1200	0.00	100.00	22.59	20.76																																							
Chamber 7	1	58.0500	27.1200	0.00	100.00	22.59	20.76																																							
Chamber 8	1	59.5000	26.8300	0.00	100.00	22.59	20.76																																							
																																														
																																														
Ambient temp N°1	1	0.0000	0.0000	0.00	0.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	0.0000	0.00	0.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	70	8	5.15	1.03	0	Not used	Not used	Not used																																						
Chamber 2	70	8	4.66	1.03	Not used	Not used	Not used	Not used																																						
Chamber 3	70	8	5.110	1.03	Not used	Not used	Not used	Not used																																						
Chamber 4	70	8	4.92	0.98	Not used	Not used	Not used	Not used																																						
Chamber 5	70	8	5.4	0.98	0	Not used	Not used	Not used																																						
Chamber 6	70	8	5.41	0.98	Not used	Not used	Not used	Not used																																						
Chamber 7	70	8	3.27	1	Not used	Not used	Not used	Not used																																						
Chamber 8	70	8	5.14	1.03	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
8/26/2021/1:00:39 PM	Flush	1013.0	0.0	27.8757	20.98	92.13	27.8614	20.98	92.69	28.0043	20.98	91.20	27.6729	20.98	94.08	27.8800	20.98	92.27	28.0000	20.98	91.68	27.6200	20.98	95.00	27.7000	20.98	91.77	NaN	NaN	NaN	NaN	20.9800	20.98	OFF	20.9800	20.98	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/26/2021/1:00:40 PM	F1   	1013.0	0.0	27.8513	20.98	92.34	27.8700	20.98	92.62	28.0350	20.98	90.94	27.6638	20.98	94.16	27.8500	20.98	92.53	27.9850	20.98	91.80	27.5900	20.98	95.27	27.7000	20.98	91.77	NaN	NaN	NaN	NaN	20.9800	20.98	OFF	20.9800	20.98	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/26/2021/1:00:41 PM	F1   	1013.0	0.0	27.8650	20.98	92.22	27.8575	20.98	92.73	28.0375	20.98	90.92	27.6850	20.98	93.97	27.8775	20.98	92.29	28.0100	20.98	91.59	27.6100	20.98	95.09	27.7000	20.98	91.77	NaN	NaN	NaN	NaN	20.9800	20.98	OFF	20.9800	20.98	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/26/2021/1:00:42 PM	F1   	1013.0	0.0	27.8675	20.98	92.20	27.8313	20.98	92.96	28.0175	20.98	91.09	27.7312	20.98	93.56	27.9250	20.98	91.88	28.0113	20.98	91.58	27.6288	20.98	94.92	27.7000	20.98	91.77	NaN	NaN	NaN	NaN	20.9800	20.98	OFF	20.9800	20.98	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/26/2021/1:00:43 PM	F1   	1013.0	0.0	27.8850	20.98	92.05	27.8700	20.98	92.62	28.0100	20.98	91.16	27.7000	20.98	93.84	27.9075	20.98	92.03	28.0325	20.98	91.40	27.6450	20.98	94.77	27.7225	20.98	91.58	NaN	NaN	NaN	NaN	20.9800	20.98	OFF	20.9800	20.98	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/26/2021/1:00:44 PM	F1   	1013.0	0.0	27.8625	20.98	92.25	27.9000	20.98	92.36	28.0225	20.98	91.05	27.6950	20.98	93.88	27.9225	20.98	91.90	28.0100	20.98	91.59	27.6725	20.98	94.53	27.7375	20.98	91.45	NaN	NaN	NaN	NaN	20.9800	20.98	OFF	20.9800	20.98	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/26/2021/1:00:45 PM	F1   	1013.0	0.0	27.8525	20.99	92.32	27.9125	20.99	92.24	28.0237	20.99	91.03	27.7162	20.99	93.69	27.9000	20.98	92.10	28.0075	20.98	91.61	27.6350	20.98	94.86	27.7325	20.98	91.49	NaN	NaN	NaN	NaN	20.9862	20.99	OFF	20.9800	20.98	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
8/26/2021/1:00:46 PM	F1   	1013.0	0.0	27.8975	20.99	91.93	27.9138	20.99	92.22	28.0200	20.99	91.05	27.7200	20.99	93.65	27.9275	20.98	91.86	28.0700	20.98	91.08	27.6875	20.98	94.40	27.7525	20.98	91.32	NaN	NaN	NaN	NaN	20.9900	20.99	OFF	20.9800	20.98	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
