,Chamber.No,Ind,Mass,Volume,Date.Time,Phase,Temp,Slope.with.BR,Slope,SE,R2,MR.abs.with.BR,BR,MR.abs,MR.mass,DO.unit,Trial,Temperature,Event
1,CH1,1,3.88,78,(2021-Sep-01 00:28:40),M19,25.00008333,-0.008958086,-0.008622506,9.12E-05,0.986961027,2.390303873,3.746110593,2.300760446,592.9794965,mg O2,SMR,25,1
2,CH2,2,4.19,78,(2021-Sep-01 06:20:40),M51,25.05933333,-0.012043282,-0.011584887,0.000117919,0.987922275,3.200092599,3.806223823,3.078289912,734.6753966,mg O2,SMR,25,1
3,CH3,3,4.46,78,(2021-Sep-01 13:44:39),M4,25.0205,-0.010321782,-0.009991488,0.000113628,0.984968122,2.732629966,3.19997767,2.645186417,593.0911249,mg O2,MMR,25,1
4,CH4,4,4.2,78,(2021-Sep-01 13:44:39),M4,25.0205,-0.011278172,-0.011241089,5.20E-05,0.997481669,2.996384776,0.328808238,2.986532416,711.0791466,mg O2,MMR,25,1
5,CH5,5,3.99,78,(2021-Aug-31 22:49:40),M10,24.9045,-0.009978574,-0.009402785,7.81E-05,0.991926762,2.658651289,5.770250467,2.505240451,627.8798123,mg O2,SMR,25,1
6,CH6,6,4.2,78,(2021-Sep-01 06:20:40),M51,25.006,-0.01222451,-0.012100833,7.15E-05,0.995894006,3.247807788,1.01171283,3.2149493,765.4641191,mg O2,SMR,25,1
7,CH7,7,4.79,78,(2021-Sep-01 06:20:40),M51,25.006,-0.012003051,-0.011978907,0.000159833,0.979424381,3.163476177,0.201152297,3.157112772,659.1049628,mg O2,SMR,25,1
8,CH8,8,3.99,78,(2021-Sep-01 04:41:40),M42,24.93708333,-0.011041789,-0.010833993,7.30E-05,0.994675494,2.941930099,1.881909214,2.886565645,723.4500364,mg O2,SMR,25,1
9,CH1,1,3.77,78,(2021-Sep-02 01:55:45),M38,22.97533333,-0.008467338,-0.008142339,1.00E-04,0.982516278,2.26270983,3.838268723,2.175860946,577.1514446,mg O2,SMR,23,2
10,CH2,2,4.07,78,(2021-Sep-02 06:08:45),M61,22.94466667,-0.011600151,-0.011121643,0.000104525,0.989684679,3.087357035,4.12501841,2.960002989,727.2734618,mg O2,SMR,23,2
11,CH3,3,4.46,78,(2021-Sep-01 20:58:45),M11,22.94666667,-0.010141565,-0.00981384,0.000121552,0.982219922,2.684918449,3.23150471,2.598155183,582.5460052,mg O2,SMR,23,2
12,CH4,4,4.14,78,(2021-Sep-02 11:43:26),M4,22.88175,-0.010804083,-0.010766721,9.09E-05,0.99166246,2.872762375,0.345815605,2.862827914,691.5043271,mg O2,MMR,23,2
13,CH5,5,3.82,78,(2021-Sep-02 09:59:45),M82,22.90858333,-0.011185224,-0.010697104,0.000112327,0.987155832,2.986991797,4.363970758,2.856640349,747.8116096,mg O2,SMR,23,2
14,CH6,6,4.08,78,(2021-Sep-02 06:08:45),M61,22.86766667,-0.011008849,-0.01091151,0.000153781,0.977098934,2.929586901,0.884192061,2.903683726,711.6871877,mg O2,SMR,23,2
15,CH7,7,4.73,78,(2021-Sep-02 06:19:45),M62,22.88408333,-0.013328286,-0.01334502,0.000118008,0.990857208,3.515628684,-0.125551785,3.520042618,744.1950567,mg O2,SMR,23,2
16,CH8,8,3.66,78,(2021-Sep-02 12:27:26),M8,22.93958333,-0.009567874,-0.009361314,5.61E-05,0.995773108,2.560592771,2.158892436,2.505312327,684.5115648,mg O2,MMR,23,2
17,CH1,1,3.61,78,(2021-Sep-03 09:12:16),M1,20.99377778,-0.009090052,-0.008745986,5.44E-05,0.993172842,2.434352188,3.785073535,2.342210167,648.8116807,mg O2,MMR,21,3
