"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",3.77,78,(2021-Sep-01 13:22:39),"M2",25.0121666666667,-0.00603110104467783,-0.00568903835751328,5.76614679619511e-05,0.988023145022765,1.61167906996717,5.67164576800465,1.52027034220156,403.254732679458,"mg O2","MMR",25,1
"2","CH2","2",4.07,78,(2021-Sep-01 14:17:39),"M7",24.99475,-0.00851964282180231,-0.00810652606348259,0.00011216143945375,0.977909862690001,2.26748589773704,4.84899152418138,2.15753569874376,530.107051288394,"mg O2","MMR",25,1
"3","CH3","3",4.46,78,(2021-Sep-01 13:44:39),"M4",25.0205,-0.0103217824220895,-0.00999148768939409,0.000113627822355983,0.984968122272588,2.73262996555366,3.19997767041224,2.64518641684095,593.091124852231,"mg O2","MMR",25,1
"4","CH4","4",4.2,78,(2021-Sep-01 13:44:39),"M4",25.0205,-0.0112781721453395,-0.0112410885862725,5.19961599749255e-05,0.997481669457441,2.9963847755738,0.328808237621394,2.98653241560088,711.079146571638,"mg O2","MMR",25,1
"5","CH5","5",3.82,78,(2021-Sep-01 14:06:39),"M6",24.9355833333333,-0.00785919157314851,-0.00730026595617578,7.56839443566588e-05,0.987476123911321,2.09878139122616,7.11174440488694,1.94952142306483,510.34592226828,"mg O2","MMR",25,1
"6","CH6","6",4.08,78,(2021-Sep-01 16:29:39),"M19",24.96775,-0.00961684903582112,-0.00954328703239852,0.00013616791326679,0.976540125111081,2.55915893062043,0.764928337219351,2.53958319876563,622.446862442558,"mg O2","MMR",25,1
"7","CH7","7",4.73,78,(2021-Sep-01 14:17:39),"M7",24.938,-0.0111641232814252,-0.0111100041025903,7.13514556332229e-05,0.995156596293628,2.94478312618809,0.484759774419333,2.93050800214844,619.557717156118,"mg O2","MMR",25,1
"8","CH8","8",3.85,78,(2021-Sep-01 13:33:39),"M3",24.9089166666667,-0.00780022725021145,-0.00759618131674796,0.000130688140565334,0.966251543081071,2.08219266217145,2.61589729270985,2.0277246406927,526.681724855246,"mg O2","MMR",25,1
"9","CH1","1",3.69,78,(2021-Sep-02 11:10:26),"M1",22.9643333333333,-0.00706692666412604,-0.00672275100304311,7.42041143125897e-05,0.985827551806125,1.89051595348034,4.87023111234573,1.79844345733008,487.38305076696,"mg O2","MMR",23,2
"10","CH2","2",4.14,78,(2021-Sep-02 11:21:26),"M2",22.9054166666667,-0.00841172160608468,-0.0080306184565398,7.62203676149635e-05,0.989481980062111,2.23664312817149,4.53062009647595,2.13530932512011,515.775199304374,"mg O2","MMR",23,2
"11","CH3","3",4.29,78,(2021-Sep-02 11:43:26),"M4",22.88175,-0.00812156332881418,-0.00779085142238014,9.87434606352158e-05,0.981397395548558,2.15510555868081,4.07202275035791,2.0673491700371,481.899573435222,"mg O2","MMR",23,2
"12","CH4","4",4.14,78,(2021-Sep-02 11:43:26),"M4",22.88175,-0.0108040827048964,-0.0107667205009751,9.08823331700161e-05,0.991662459858316,2.87276237490114,0.345815604543572,2.86282791432728,691.504327132193,"mg O2","MMR",23,2
"13","CH5","5",3.81,78,(2021-Sep-02 11:54:26),"M5",22.9275,-0.00778171047382326,-0.00721898092438282,8.64005954767267e-05,0.983377966115002,2.07837036019061,7.23143775823316,1.92807430120786,506.056247036184,"mg O2","MMR",23,2
"14","CH6","6",3.96,78,(2021-Sep-02 12:38:26),"M9",23.03175,-0.00807629511392568,-0.00789916639639133,7.88301385382318e-05,0.988384709385749,2.15268800484621,2.19319273300132,2.10547540795973,531.68570908074,"mg O2","MMR",23,2
"15","CH7","7",4.64,78,(2021-Sep-02 12:16:26),"M7",22.9856666666667,-0.00968951994645774,-0.00963755265614563,3.9750879665434e-05,0.997996584534066,2.5589634597797,0.536324715767876,2.54523910627744,548.542910835654,"mg O2","MMR",23,2
"16","CH8","8",3.66,78,(2021-Sep-02 12:27:26),"M8",22.9395833333333,-0.00956787422208934,-0.00936131410921261,5.6146953088552e-05,0.995773107992761,2.56059277081244,2.15889243610498,2.50531232716392,684.511564798884,"mg O2","MMR",23,2
"17","CH1","1",3.61,78,(2021-Sep-03 09:12:16),"M1",20.9937777777778,-0.00909005163437762,-0.00874598649566299,5.4350851079069e-05,0.993172842355544,2.43435218789286,3.78507353482366,2.34221016748453,648.811680743637,"mg O2","MMR",21,3
"18","CH2","2",4.02,78,(2021-Sep-03 09:24:16),"M2",20.9740555555556,-0.00865934026815057,-0.00827761313691533,4.55123939813089e-05,0.994647725166004,2.306224774936,4.408270369502,2.20456015152839,548.398047643877,"mg O2","MMR",21,3
"19","CH3","3",4.26,78,(2021-Sep-03 09:36:16),"M3",21.0106111111111,-0.0110502775855658,-0.010721616661374,6.17783653351157e-05,0.99412492736448,2.93345088897465,2.97423229097098,2.84620324539499,668.122827557508,"mg O2","MMR",21,3
"20","CH4","4",4.02,78,(2021-Sep-03 09:48:16),"M4",21.0068333333333,-0.00816016904394222,-0.00812249925465983,5.9335027612151e-05,0.990590702780728,2.17328150113504,0.461630011333541,2.16324898149504,538.121637187822,"mg O2","MMR",21,3
"21","CH5","5",3.76,78,(2021-Sep-03 10:00:16),"M5",20.9821111111111,-0.00724155914136166,-0.00668005776643479,5.98269639347907e-05,0.985923435193931,1.93540806235688,7.75387404792066,1.78533895888843,474.824191193731,"mg O2","MMR",21,3
"22","CH6","6",3.9,78,(2021-Sep-03 10:12:16),"M6",20.9442222222222,-0.00861055726653476,-0.00838083480807888,6.38638915334779e-05,0.989769653748978,2.29695225642081,2.66791627237303,2.23567149340312,573.249100872595,"mg O2","MMR",21,3
"23","CH7","7",4.64,78,(2021-Sep-03 10:24:16),"M7",20.9391111111111,-0.0107107974194084,-0.010661088909585,5.63102552865999e-05,0.995058707431033,2.82867875527608,0.464097189750943,2.81555093666576,606.799770833137,"mg O2","MMR",21,3
"24","CH8","8",3.7,78,(2021-Sep-03 10:36:16),"M8",20.9178888888889,-0.007201803739656,-0.00699505570946091,5.20584894668606e-05,0.990237520167752,1.92633846428319,2.87078123299382,1.8710375011666,505.685811126109,"mg O2","MMR",21,3
"25","CH1","1",3.56,78,(2021-Sep-04 11:04:47),"M11",24.98725,-0.00769777291793938,-0.00737088942539526,5.49595567224275e-05,0.99348238312298,2.06287997764107,4.24646837505864,1.97528043177512,554.854053869417,"mg O2","MMR",25,4
"26","CH2","2",3.86,78,(2021-Sep-04 10:53:47),"M10",24.9550833333333,-0.00927782395605591,-0.00885638205845209,8.20169584017952e-05,0.989981476804374,2.47628832516715,4.54246490987496,2.3638037969291,612.384403349507,"mg O2","MMR",25,4
"27","CH3","3",4.23,78,(2021-Sep-04 11:15:47),"M12",24.9716666666667,-0.00970048851963189,-0.00935648651820878,4.31194047030849e-05,0.997500144560611,2.57617813713568,3.54623378736978,2.48482083761374,587.42809399852,"mg O2","MMR",25,4
"28","CH4","4",3.9,78,(2021-Sep-04 11:15:47),"M12",24.9716666666667,-0.0111181052373527,-0.0110709084365616,0.0001058885554044,0.989320509131807,2.9658657531162,0.424503994012469,2.95327553453718,757.250137060815,"mg O2","MMR",25,4
"29","CH5","5",3.7,78,(2021-Sep-04 11:26:47),"M13",24.94675,-0.00941117314683517,-0.0088747359572276,8.67930573458279e-05,0.988839925519141,2.51730059331547,5.70000340274232,2.37381437383924,641.571452388983,"mg O2","MMR",25,4
"30","CH6","6",3.79,78,(2021-Sep-04 11:37:47),"M14",24.9371666666667,-0.00918712732699904,-0.00904087969691667,5.89283857501186e-05,0.995011867556728,2.45439618817176,1.59187551099444,2.41532525630947,637.288985833633,"mg O2","MMR",25,4
"31","CH7","7",4.47,78,(2021-Sep-04 11:59:47),"M16",24.8755,-0.0100829592184788,-0.010107685316292,0.000135496845087536,0.979235377324527,2.6690399688051,-0.245226597443677,2.67558516470501,598.564913804253,"mg O2","MMR",25,4
"32","CH8","8",3.59,78,(2021-Sep-04 12:10:47),"M17",24.947,-0.00918524839067784,-0.00897602993125566,9.09567885688674e-05,0.98802837575664,2.46050759790122,2.27776594081567,2.40446299386504,669.766850658786,"mg O2","MMR",25,4
