"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",3.88,78,(2021-Sep-01 00:28:40),"M19",25.0000833333333,-0.00895808551013727,-0.00862250571991906,9.12355691468545e-05,0.986961026588894,2.39030387284095,3.74611059292138,2.30076044625744,592.979496458104,"mg O2","SMR",25,1
"2","CH2","2",4.19,78,(2021-Sep-01 06:20:40),"M51",25.0593333333333,-0.0120432815432217,-0.0115848872920031,0.000117918512669363,0.987922274788845,3.20009259853869,3.80622382341116,3.07828991168189,734.675396582791,"mg O2","SMR",25,1
"3","CH3","3",4.56,78,(2021-Sep-01 06:09:40),"M50",24.9743333333333,-0.0101998322956933,-0.00984807568231215,0.000165442096077291,0.967771210181273,2.69667246166459,3.44865095017006,2.60367364119242,570.981061665003,"mg O2","SMR",25,1
"4","CH4","4",4.33,78,(2021-Aug-31 22:05:40),"M6",24.9871666666667,-0.0111338931119494,-0.0111003426702971,0.000133319781130258,0.983263359956118,2.95284206000633,0.30133612129209,2.94394408027482,679.894706760929,"mg O2","SMR",25,1
"5","CH5","5",3.99,78,(2021-Aug-31 22:49:40),"M10",24.9045,-0.00997857380151843,-0.00940278510013803,7.8090747222674e-05,0.991926762088741,2.65865128938136,5.77025046698334,2.50524045094038,627.879812265758,"mg O2","SMR",25,1
"6","CH6","6",4.2,78,(2021-Sep-01 06:20:40),"M51",25.006,-0.0122245098919618,-0.012100832957014,7.15281247232128e-05,0.995894006358326,3.24780778809642,1.01171282972368,3.21494930001948,765.464119052258,"mg O2","SMR",25,1
"7","CH7","7",4.79,78,(2021-Sep-01 06:20:40),"M51",25.006,-0.0120030512562695,-0.0119789068429526,0.000159833269796913,0.979424380912553,3.16347617689737,0.201152297040327,3.15711277190121,659.104962818625,"mg O2","SMR",25,1
"8","CH8","8",3.99,78,(2021-Sep-01 04:41:40),"M42",24.9370833333333,-0.011041789018181,-0.0108339925732807,7.29703560408269e-05,0.994675494386304,2.94193009884807,1.88190921378851,2.88656564525463,723.450036404669,"mg O2","SMR",25,1
"9","CH1","1",3.77,78,(2021-Sep-02 01:55:45),"M38",22.9753333333333,-0.00846733811576897,-0.00814233892523637,9.99896940301661e-05,0.982516278147839,2.26270983000071,3.83826872257932,2.17586094631306,577.151444645375,"mg O2","SMR",23,2
"10","CH2","2",4.07,78,(2021-Sep-02 06:08:45),"M61",22.9446666666667,-0.0116001511769377,-0.0111216428053381,0.000104525169250552,0.98968467945314,3.08735703543961,4.12501840968155,2.96000298935513,727.273461758017,"mg O2","SMR",23,2
