Date & time of file creation	9/10/2021 1:39 PM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_9_6_2021\empty_post_9.10.2021_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_9_6_2021\empty_post_9.10.2021.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	58.1000	26.8500	0.00	100.00	22.59	20.76																																							
Chamber 2	1	58.0500	27.0000	0.00	100.00	22.59	20.76																																							
Chamber 3	1	58.0500	27.0300	0.00	100.00	22.59	20.76																																							
Chamber 4	1	58.0500	27.0700	0.00	100.00	22.59	20.76																																							
Chamber 5	1	58.0500	27.0500	0.00	100.00	22.59	20.76																																							
Chamber 6	1	58.0500	27.1000	0.00	100.00	22.59	20.76																																							
Chamber 7	1	58.0500	27.1000	0.00	100.00	22.59	20.76																																							
Chamber 8	1	59.5000	26.9600	0.00	100.00	22.59	20.76																																							
																																														
																																														
Ambient temp N°1	1	0.0000	0.0000	0.00	0.00	Not used	Not used																																							
Ambient temp N°2	1	0.0000	0.0000	0.00	0.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	70	8	4.37	1.02	0	Not used	Not used	Not used																																						
Chamber 2	70	8	4.91	0.982	Not used	Not used	Not used	Not used																																						
Chamber 3	70	8	5.24	1.048	Not used	Not used	Not used	Not used																																						
Chamber 4	70	8	4.860	0.972	Not used	Not used	Not used	Not used																																						
Chamber 5	70	8	4.92	0.984	0	Not used	Not used	Not used																																						
Chamber 6	70	8	4.62	0.97	Not used	Not used	Not used	Not used																																						
Chamber 7	70	8	4.78	1.01	Not used	Not used	Not used	Not used																																						
Chamber 8	70	8	3.76	1	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [mg/L]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [mg/L]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [mg/L]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [mg/L]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [mg/L]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [mg/L]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [mg/L]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [mg/L]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
9/10/2021/1:39:16 PM	Flush	1013	0	26.9914	20.99	8.75849252177729	27.2243	20.99	8.68985090099593	27.1857	20.99	8.74690367671031	27.1886	20.99	8.77721296380857	26.9043	21.18	8.9374383772941	26.9557	21.18	8.93566208028976	26.8557	21.18	9.02092433649768	26.83	21.18	8.92855689227244	NA	NA	NA	NA	20.99	20.99	OFF	21.18	21.18	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
9/10/2021/1:39:17 PM	Flush	1013	0	27.045	20.99	8.71392004075043	27.1825	20.99	8.72461743619688	27.1625	20.99	8.76562411874158	27.18	20.99	8.78434456077286	26.885	21.18	8.95342505033308	26.95	21.18	8.94010282280059	26.885	21.18	8.99605617843704	26.825	21.18	8.9321094862811	NA	NA	NA	NA	20.99	20.99	OFF	21.18	21.18	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
9/10/2021/1:39:18 PM	F1	1013	0	27.0025	20.99	8.74957802557192	27.1875	20.99	8.72016018809419	27.165	20.99	8.76384121950051	27.1825	20.99	8.78256166153179	26.855	21.18	8.97918135689589	26.9775	21.18	8.91701096174428	26.8837	21.18	8.9969443269392	26.8425	21.18	8.91789911024645	NA	NA	NA	NA	20.99	20.99	OFF	21.18	21.18	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
9/10/2021/1:39:19 PM	F1	1013	0	27.0125	20.99	8.74066352936654	27.2575	20.99	8.66221596275928	27.1537	20.99	8.77364716532642	27.1913	20.99	8.77543006456749	26.8675	21.18	8.9685235748699	26.9638	21.18	8.92855689227244	26.875	21.18	9.00493766345869	26.8612	21.18	8.90191243720747	NA	NA	NA	NA	20.99	20.99	OFF	21.18	21.18	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
9/10/2021/1:39:20 PM	F1	1013	0	27.0275	20.99	8.72818323467902	27.1775	20.99	8.72818323467902	27.1775	20.99	8.75314382405406	27.1975	20.99	8.77008136684427	26.94	21.18	8.90635317971829	26.935	21.18	8.95342505033308	26.86	21.18	9.01737174248902	26.825	21.18	8.9321094862811	NA	NA	NA	NA	20.99	20.99	OFF	21.18	21.18	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
9/10/2021/1:39:21 PM	F1	1013	0	27.025	20.99	8.73085758354063	27.195	20.99	8.71392004075043	27.17	20.99	8.75938397139782	27.185	20.99	8.78077876229072	26.9387	21.18	8.90812947672262	26.95	21.18	8.94010282280059	26.8475	21.18	9.028029524515	26.8238	21.18	8.93388578328543	NA	NA	NA	NA	20.99	20.99	OFF	21.18	21.18	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
9/10/2021/1:39:22 PM	F1	1013	0	27.025	20.99	8.73085758354063	27.165	20.99	8.73888063012547	27.18	20.99	8.75136092481299	27.18	20.99	8.78434456077286	26.905	21.18	8.93655022879193	26.955	21.18	8.93655022879193	26.815	21.18	9.05645027658431	26.825	21.18	8.9321094862811	NA	NA	NA	NA	20.99	20.99	OFF	21.18	21.18	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
9/10/2021/1:39:23 PM	F1	1013	0	26.9875	20.99	8.76205832025944	27.1275	20.99	8.77008136684427	27.2063	20.99	8.7299661339201	27.2075	20.99	8.76205832025944	26.875	21.18	8.96230653535474	26.965	21.18	8.92766874377027	26.81	21.18	9.06089101909514	26.82	21.18	8.93655022879193	NA	NA	NA	NA	20.99	20.99	OFF	21.18	21.18	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
