,Chamber.No,Ind,Mass,Volume,Date.Time,Phase,Temp,Slope.with.BR,Slope,SE,R2,MR.abs.with.BR,BR,MR.abs,MR.mass,DO.unit,Trial,Temperature,Event
1,CH1,1,4.17,78,(2021-Sep-07 13:14:42),M1,21.05875,-0.008967107,-0.009383424,8.18E-05,0.991113395,2.383349444,-4.642712414,2.494001505,598.0818957,mg O2,MMR,21,1
2,CH2,2,4.91,78,(2021-Sep-07 06:07:08),M50,21.04,-0.012077165,-0.011977946,0.000149691,0.981904266,3.177791858,0.82153928,3.15168505,641.8910488,mg O2,SMR,21,1
3,CH3,3,5.24,78,(2021-Sep-06 21:30:08),M3,21.02116667,-0.011042842,-0.011557453,8.86E-05,0.99311974,2.892517883,-4.660129467,3.027312961,577.7314811,mg O2,SMR,21,1
4,CH4,4,4.68,78,(2021-Sep-07 13:36:42),M3,20.995,-0.009808367,-0.010011644,7.81E-05,0.992861765,2.588938191,-2.072485201,2.642593552,564.6567419,mg O2,MMR,21,1
5,CH5,5,4.92,78,(2021-Sep-06 22:25:08),M8,21.04008333,-0.011711471,-0.011370586,9.68E-05,0.991527739,3.081147359,2.910687128,2.991464799,608.0213007,mg O2,SMR,21,1
6,CH6,6,4.62,78,(2021-Sep-06 22:03:08),M6,21.01408333,-0.010674717,-0.010446454,0.000164974,0.971412308,2.819918625,2.138352545,2.759618823,597.3200916,mg O2,SMR,21,1
7,CH7,7,4.78,78,(2021-Sep-07 06:40:08),M53,21.06441667,-0.012045241,-0.011809159,0.000158253,0.979248928,3.175029256,1.959964965,3.112799795,651.2133462,mg O2,SMR,21,1
8,CH8,8,3.76,78,(2021-Sep-06 22:47:08),M10,21.0115,-0.008367482,-0.008067928,6.09E-05,0.993323998,2.236326611,3.579968673,2.156266819,573.4752178,mg O2,SMR,21,1
9,CH1,1,4.02,78,(2021-Sep-10 00:53:30),M43,20.97875,-0.008302401,-0.008447499,0.000173481,0.952593547,2.211161899,-1.747656356,2.249805411,559.6530872,mg O2,SMR,21,4
10,CH2,2,4.54,78,(2021-Sep-10 09:23:31),M2,20.994,-0.010929442,-0.01057759,9.49E-05,0.990588628,2.89035661,3.219305727,2.797307194,616.146959,mg O2,MMR,21,4
11,CH3,3,4.7,78,(2021-Sep-10 09:34:31),M3,21.03108333,-0.009612808,-0.0100132,5.11E-05,0.996932676,2.536627743,-4.165192879,2.642283181,562.1879109,mg O2,MMR,21,4
12,CH4,4,4.47,78,(2021-Sep-10 09:34:31),M3,21.03108333,-0.010246832,-0.010450109,0.00012011,0.984651048,2.712418288,-1.983803106,2.766227327,618.8428023,mg O2,MMR,21,4
13,CH5,5,4.36,78,(2021-Sep-10 09:56:31),M5,21.00866667,-0.010563213,-0.010273548,4.53E-05,0.997713999,2.800349998,2.74220318,2.723558712,624.6694293,mg O2,MMR,21,4
14,CH6,6,4.38,78,(2021-Sep-10 10:18:31),M7,21.06833333,-0.008177272,-0.007958453,4.43E-05,0.996354365,2.167238884,2.675941326,2.109244843,481.5627495,mg O2,MMR,21,4
15,CH7,7,4.45,78,(2021-Sep-10 10:29:31),M8,21.04016667,-0.008021481,-0.008262318,7.45E-05,0.99049908,2.123927715,-3.00240434,2.187696613,491.6172163,mg O2,MMR,21,4
16,CH8,8,3.41,78,(2021-Sep-10 10:29:31),M8,21.04016667,-0.007725051,-0.007507521,4.22E-05,0.996284762,2.074361728,2.815916063,2.015949442,591.1875198,mg O2,MMR,21,4
17,CH1,1,4.17,78,(2021-Sep-07 21:16:48),M13,23.039,-0.008542908,-0.008870626,6.80E-05,0.99312257,2.270602426,-3.836144408,2.357706014,565.3971255,mg O2,SMR,23,2
18,CH2,2,4.64,78,(2021-Sep-08 11:44:13),M3,23.036,-0.010418674,-0.010725238,5.45E-05,0.996966427,2.751530036,-2.942450847,2.832492455,610.4509601,mg O2,MMR,23,2
19,CH3,3,4.84,78,(2021-Sep-08 11:55:13),M4,23.02558333,-0.009638594,-0.00928799,4.06E-05,0.997755163,2.538574389,3.637501521,2.446233707,505.4201875,mg O2,MMR,23,2
20,CH4,4,4.55,78,(2021-Sep-08 12:06:13),M5,23.01066667,-0.009507431,-0.009665229,0.000111471,0.98454675,2.513954923,-1.659731539,2.555679825,561.6878737,mg O2,MMR,23,2
21,CH5,5,4.62,78,(2021-Sep-08 12:06:13),M5,22.94783333,-0.010854366,-0.01056842,8.22E-05,0.992904723,2.867376225,2.634384637,2.791838506,604.2940489,mg O2,MMR,23,2
22,CH6,6,4.42,78,(2021-Sep-08 12:28:13),M7,22.98108333,-0.009424591,-0.009206332,4.43E-05,0.99727128,2.496461035,2.315849809,2.438646747,551.7300332,mg O2,MMR,23,2
23,CH7,7,4.57,78,(2021-Sep-07 22:55:48),M22,22.96758333,-0.010128086,-0.010371278,8.63E-05,0.991897015,2.677339306,-2.401165281,2.741626648,599.9183038,mg O2,SMR,23,2
24,CH8,8,3.59,78,(2021-Sep-07 20:43:48),M10,22.98658333,-0.009733656,-0.009433613,9.29E-05,0.988694842,2.607412895,3.082532455,2.527038546,703.9104585,mg O2,SMR,23,2
25,CH1,1,4.02,78,(2021-Sep-09 09:22:55),M2,24.92633333,-0.009386164,-0.009012506,7.26E-05,0.992403461,2.499798265,3.980941621,2.400282756,597.0852626,mg O2,MMR,25,3
26,CH2,2,4.56,78,(2021-Sep-09 09:22:55),M2,24.92633333,-0.012961445,-0.012609592,6.23E-05,0.997131312,3.42679856,2.714606093,3.333774478,731.0908942,mg O2,MMR,25,3
27,CH3,3,4.75,78,(2021-Sep-09 09:44:55),M4,24.91341667,-0.01138602,-0.011027887,3.37E-05,0.998897011,3.0024934,3.14537122,2.908053837,612.2218604,mg O2,MMR,25,3
28,CH4,4,4.51,78,(2021-Sep-09 09:55:55),M5,25.02583333,-0.01138912,-0.011551227,4.35E-05,0.99832793,3.013151271,-1.423349664,3.05603895,677.6139578,mg O2,MMR,25,3
29,CH5,5,4.36,78,(2021-Sep-09 09:55:55),M5,24.9555,-0.010959581,-0.010669916,5.24E-05,0.997158069,2.905428765,2.643027687,2.828637479,648.7700639,mg O2,MMR,25,3
30,CH6,6,4.38,78,(2021-Sep-09 10:17:55),M7,24.92708333,-0.010107435,-0.009888616,9.46E-05,0.989319505,2.678793789,2.16493114,2.620799749,598.356107,mg O2,MMR,25,3
31,CH7,7,4.41,78,(2021-Sep-09 10:28:55),M8,24.8985,-0.011476983,-0.01171782,0.000124077,0.986942505,3.040528196,-2.098437322,3.104331775,703.9301077,mg O2,MMR,25,3
32,CH8,8,3.59,78,(2021-Sep-07 20:43:48),M10,22.98658333,-0.009733656,-0.009433613,9.29E-05,0.988694842,2.607412895,3.082532455,2.527038546,703.9104585,mg O2,SMR,25,3
