"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",2.79,78,(2021-Sep-15 08:53:34),"M65",25.0840833333333,-0.00294980291269251,-0.00282674083045694,4.06838665497339e-05,0.976140207244383,0.798676837428972,4.1718747278351,0.7653570402912,274.321519817634,"mg O2","SMR",25,1
"2","CH2","2",2.97,78,(2021-Sep-15 01:55:34),"M27",25.0745833333333,-0.00297259099070387,-0.00289041155902696,4.99903414951114e-05,0.965878191997211,0.802920607317042,2.7645724532541,0.780723285385654,262.869793059143,"mg O2","SMR",25,1
"3","CH3","3",3.27,78,(2021-Sep-15 09:15:34),"M67",25.0820833333333,-0.00264283649233785,-0.00253525469244361,4.88241889949973e-05,0.958089947222382,0.710997015860666,4.07069450592708,0.68205449939872,208.579357614288,"mg O2","SMR",25,1
"4","CH4","4",4.44,78,(2021-Sep-15 04:18:34),"M40",25.0795,-0.00547756859054334,-0.00539158020659818,3.89877436481433e-05,0.993860476183272,1.45054780387333,1.56982760733689,1.4277767039905,321.571329727591,"mg O2","SMR",25,1
"5","CH5","5",2.72,78,(2021-Sep-15 00:27:34),"M19",24.9680833333333,-0.00277256541660546,-0.00270705740794639,4.28632147133916e-05,0.971260186542651,0.751387408423413,2.36272184117746,0.733634214012736,269.718461034094,"mg O2","SMR",25,1
"6","CH6","6",3.07,78,(2021-Sep-15 09:37:34),"M69",24.99275,-0.00294643433159939,-0.0028289034446473,3.92161318607309e-05,0.977805142365511,0.794794768080272,3.9889192741077,0.763091046386719,248.563858757889,"mg O2","SMR",25,1
"7","CH7","7",5.23,78,(2021-Sep-15 11:49:34),"M81",24.9425,-0.00506990945269502,-0.00493324342112908,3.58534143445056e-05,0.993805881361047,1.32817431914142,2.69563061906941,1.29237164552003,247.10738920077,"mg O2","SMR",25,1
"8","CH8","8",5.26,78,(2021-Sep-15 04:29:34),"M41",25.0053333333333,-0.0058050272746269,-0.00573028722599363,4.39698525136043e-05,0.993100266111999,1.5201276622429,1.2875055550548,1.5005559341476,285.276793564182,"mg O2","SMR",25,1
"9","CH1","1",2.75,78,(2021-Sep-16 10:07:12),"M76",23.1227222222222,-0.0025648927550515,-0.0024130589991783,2.17706520412858e-05,0.985794678939573,0.694829447343452,5.91969218105375,0.653697682877403,237.708248319056,"mg O2","SMR",23,2
"10","CH2","2",2.83,78,(2021-Sep-16 09:43:12),"M74",23.1114444444444,-0.00248634532857537,-0.00233292334791886,3.72614461737333e-05,0.956623665726286,0.672834882056439,6.17058213488069,0.631317053027019,223.080230751597,"mg O2","SMR",23,2
