"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",2.79,78,(2021-Sep-14 22:04:34),"M6",25.01725,-0.00841663589762748,-0.00834612939632448,4.95018759837233e-05,0.995866137179048,2.27885466909803,0.837704067997901,2.25976461083123,809.951473416212,"mg O2","SMR",25,1
"2","CH2","2",2.97,78,(2021-Sep-14 22:04:34),"M6",25.01725,-0.0082196057734074,-0.00815366868458636,6.34821280961128e-05,0.992897954397094,2.22018127624353,0.802192837938306,2.20237114105625,741.539104732745,"mg O2","SMR",25,1
"3","CH3","3",3.27,78,(2021-Sep-14 22:04:34),"M6",25.01725,-0.00710453365513063,-0.00704439359380624,5.43736379485377e-05,0.993018816708602,1.91131848017248,0.846502588962559,1.8951391197545,579.553247631347,"mg O2","SMR",25,1
"4","CH4","4",4.44,78,(2021-Sep-14 22:15:34),"M7",25.102,-0.0108955545691588,-0.0108337463655872,3.87819067692973e-05,0.998490174378188,2.88531717878636,0.567279096986292,2.86894937754935,646.159769718322,"mg O2","SMR",25,1
"5","CH5","5",2.72,78,(2021-Sep-14 22:04:34),"M6",24.9243333333333,-0.00708677924334754,-0.00703065298500216,6.7661973573583e-05,0.989189162148372,1.92057386918113,0.791985419865656,1.90536320415947,700.501177999803,"mg O2","SMR",25,1
"6","CH6","6",3.07,78,(2021-Sep-14 22:04:34),"M6",24.9243333333333,-0.00795575454625542,-0.00789930106496961,4.69070517532243e-05,0.995856401489786,2.14604887734331,0.709593049378151,2.13082066367342,694.078392076033,"mg O2","SMR",25,1
"7","CH7","7",5.23,78,(2021-Sep-15 06:08:34),"M50",24.96525,-0.0143197750691925,-0.0142274365026695,0.00013780666644974,0.989050666355977,3.75138011442651,0.644832520600741,3.72718999547734,712.655830875208,"mg O2","SMR",25,1
"8","CH8","8",5.26,78,(2021-Sep-15 06:19:34),"M51",24.94075,-0.013324274681869,-0.0132389083761114,0.000109115964886467,0.992047808115545,3.48914786529294,0.640682572190807,3.46679350300204,659.086217300768,"mg O2","SMR",25,1
"9","CH1","1",2.75,78,(2021-Sep-16 06:31:12),"M58",23.0922222222222,-0.00543102009310712,-0.0053102456505336,3.02179171170393e-05,0.994269087640411,1.47126334322272,2.22378927904927,1.43854554672955,523.107471538019,"mg O2","SMR",23,2
"10","CH2","2",2.83,78,(2021-Sep-15 21:55:12),"M15",23.1776666666667,-0.00535940028557045,-0.00528540130040563,3.40218111675835e-05,0.992678709577614,1.45031803007879,1.38073256748627,1.43029301670537,505.403892828752,"mg O2","SMR",23,2
"11","CH3","3",3.12,78,(2021-Sep-16 07:07:12),"M61",23.1104444444444,-0.0058166812095716,-0.00571040812872858,5.15652299647867e-05,0.985693236467421,1.5679911203018,1.8270398018057,1.53934329844511,493.379262322149,"mg O2","SMR",23,2
"12","CH4","4",4.26,78,(2021-Sep-15 22:07:12),"M16",23.1808333333333,-0.00873825497025909,-0.00866890667744301,4.01550905564576e-05,0.996195329356723,2.31969211742486,0.793617181601034,2.30128264222073,540.207193009561,"mg O2","SMR",23,2
"13","CH5","5",2.59,78,(2021-Sep-15 21:55:12),"M15",23.0962222222222,-0.00519060237372285,-0.00512694741660342,4.09321982119122e-05,0.988781552288381,1.40912397000878,1.22635009458011,1.39184317686983,537.39118798063,"mg O2","SMR",23,2
"14","CH6","6",2.92,78,(2021-Sep-15 21:55:12),"M15",23.0962222222222,-0.00605868971428172,-0.00599492677814731,4.37287903897055e-05,0.990618043845439,1.63759112549378,1.05242121880085,1.62035676901188,554.916701716398,"mg O2","SMR",23,2
"15","CH7","7",4.95,78,(2021-Sep-16 06:07:12),"M56",23.0588888888889,-0.00708781108926267,-0.0069819045938345,6.41834184314106e-05,0.985180495747946,1.8639525602543,1.49420595575135,1.8361012700866,370.929549512444,"mg O2","SMR",23,2
"16","CH8","8",4.93,78,(2021-Sep-15 21:55:12),"M15",23.0962222222222,-0.00940637665040638,-0.00935255819764812,7.20322392486038e-05,0.989551560717149,2.4743661906427,0.572148604701439,2.46020913900773,499.028222922461,"mg O2","SMR",23,2
"17","CH1","1",2.67,78,(2021-Sep-17 06:12:16),"M61",20.9844166666667,-0.00419464410946915,-0.00406370349358358,2.37219053623357e-05,0.991955036883144,1.13753714675872,3.12161443184139,1.10202762301794,412.744428096608,"mg O2","SMR",21,3
"18","CH2","2",2.81,78,(2021-Sep-16 21:58:16),"M23",20.9959583333333,-0.00302070334629701,-0.00293728931666997,3.05881003599672e-05,0.974839366180448,0.81765606458906,2.76141083927682,0.795077221393494,282.945630389144,"mg O2","SMR",21,3
"19","CH3","3",3.04,78,(2021-Sep-17 06:25:16),"M62",20.989,-0.00386230783435652,-0.00374933170535018,2.22897406173956e-05,0.99165855252488,1.04226694294811,2.92509385195503,1.01177965667898,332.822255486506,"mg O2","SMR",21,3
"20","CH4","4",4.19,78,(2021-Sep-17 06:25:16),"M62",20.989,-0.00734053977975953,-0.00721242579639009,5.43596318358242e-05,0.986660638040965,1.95049886811858,1.74529376875929,1.91645693291359,457.388289478184,"mg O2","SMR",21,3
"21","CH5","5",2.49,78,(2021-Sep-16 21:58:16),"M23",20.9519166666667,-0.00326388599720106,-0.00319134381315503,2.65380306570741e-05,0.983808843413727,0.887241713935147,2.22257101223025,0.86752213679281,348.402464575426,"mg O2","SMR",21,3
"22","CH6","6",2.83,78,(2021-Sep-16 18:30:16),"M7",20.9339583333333,-0.00484383613520884,-0.00478588559272492,1.92174523700196e-05,0.996177208953103,1.31080018422113,1.1963770215654,1.29511807201848,457.638894706175,"mg O2","SMR",21,3
"23","CH7","7",4.89,78,(2021-Sep-17 06:25:16),"M62",20.9455833333333,-0.00854676665246574,-0.00842364724975846,7.92806231637881e-05,0.979353324815186,2.24947479586237,1.44053778128784,2.21707026154743,453.388601543441,"mg O2","SMR",21,3
"24","CH8","8",4.83,78,(2021-Sep-17 06:12:16),"M61",20.9365,-0.00916210360234603,-0.00904988554595603,4.32493789751197e-05,0.994593748314731,2.41340803410117,1.22480667388722,2.38384845143137,493.550404023058,"mg O2","SMR",21,3
"25","CH1","1",2.64,78,(2021-Sep-18 01:59:55),"M49",25.0389166666667,-0.00448886039872928,-0.00438359919507607,6.30289756046488e-05,0.976185943619119,1.21780987073366,2.3449426870796,1.18925292722736,450.474593646726,"mg O2","SMR",25,4
"26","CH2","2",2.79,78,(2021-Sep-17 21:57:55),"M27",25.12525,-0.00590985558393229,-0.00582671215285228,6.40827433226998e-05,0.985927794136142,1.60012885848317,1.40686062288997,1.57761727565767,565.454220665832,"mg O2","SMR",25,4
"27","CH3","3",2.99,78,(2021-Sep-18 06:12:55),"M72",25.0895,-0.00556743828723273,-0.00545611020215119,8.29091589323568e-05,0.973475584486059,1.50340876533118,1.99962854257116,1.4733461745481,492.757917909063,"mg O2","SMR",25,4
"28","CH4","4",4.12,78,(2021-Sep-18 07:07:55),"M77",25.0625833333333,-0.00926062374311353,-0.00912760601424411,5.88947309940021e-05,0.995111306818842,2.46302957570842,1.43637980074868,2.42765111639648,589.235707863223,"mg O2","SMR",25,4
"29","CH5","5",2.48,78,(2021-Sep-17 21:57:55),"M27",25.0480833333333,-0.00468109014242624,-0.00460880471878227,7.4464288889044e-05,0.970116906094352,1.27265733920171,1.54420063371189,1.25300495650477,505.243934074506,"mg O2","SMR",25,4
"30","CH6","6",2.8,78,(2021-Sep-18 06:01:55),"M71",24.9944166666667,-0.00460515119984022,-0.00448453454316299,5.3893737294988e-05,0.983243437958175,1.24670653282074,2.61916821930652,1.21405319152509,433.590425544673,"mg O2","SMR",25,4
"31","CH7","7",4.83,78,(2021-Sep-18 06:23:55),"M73",25.0098333333333,-0.00997851842692444,-0.00985627861671835,0.000110184631551271,0.985467497160388,2.62846149587302,1.22502965847368,2.59626206298702,537.528377430024,"mg O2","SMR",25,4
"32","CH8","8",4.73,78,(2021-Sep-18 06:45:55),"M75",25.02175,-0.0111575932123979,-0.0110414534841463,0.000109446469177564,0.988538887322115,2.94306067682061,1.04090305176686,2.91242626842023,615.734940469394,"mg O2","SMR",25,4
