Date & time of file creation	9/16/2021 3:00 PM																																																																
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_9.13.2021\tempchange_23_21_9.16.2021.txt																																																																
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_9.13.2021\tempchange_23_21_9.16.2021_raw.txt																																																																
																																																																	
																																																																	
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																												
Chamber 1	2.79	75.23762376237624	0																																																														
Chamber 2	2.97	75.00000000000001																																																															
Chamber 3	3.27	74.76237623762377																																																															
Chamber 4	4.440	73.50151975683892																																																															
Chamber 5	2.72	75.24974721941356	0																																																														
Chamber 6	3.07	74.99019607843138																																																															
Chamber 7	5.23	72.74899598393574																																																															
Chamber 8	5.26	72.74525474525475																																																															
																																																																	
																																																																	
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]	AMB temp N°2 avg temp [°C]	AMB temp N°2 setpoint [°C]	AMB temp N°2 hysteresis [°C]
9/16/2021/3:12:28 PM	720	1	F480/W60/M180	243.9	-110.019	0.989	95.11	89.62	92.54	22.77	231.5	-111.442	0.986	94.77	88.94	91.92	22.77	225.6	-119.596	0.990	95.51	89.36	92.67	22.77	268.9	-193.443	0.995	94.38	84.38	89.44	22.77	314.4	-136.500	0.990	95.04	88.08	91.47	22.71	225.5	-111.853	0.981	95.67	89.77	92.73	22.71	348.2	-294.780	0.988	93.39	78.14	86.39	22.71	229.3	-196.963	0.985	95.02	85.25	90.58	22.71	22.93	0.00	0.00	22.88	0.00	0.00
9/16/2021/3:24:28 PM	1440	2	F480/W60/M180	225.2	-100.615	0.989	95.19	89.97	92.83	22.34	240.5	-114.073	0.984	94.95	89.30	92.14	22.34	220.1	-115.312	0.992	95.89	90.02	93.05	22.34	267.6	-190.470	0.994	94.87	85.92	90.43	22.34	223.2	-97.902	0.979	95.56	90.44	93.15	22.28	211.0	-104.451	0.975	95.84	90.10	93.17	22.28	284.5	-239.960	0.994	92.68	80.60	86.60	22.28	228.7	-195.123	0.993	95.03	85.25	90.47	22.28	22.51	0.00	0.00	22.46	0.00	0.00
9/16/2021/3:36:28 PM	2160	3	F480/W60/M180	241.1	-103.353	0.990	95.49	90.43	92.99	22.06	233.7	-106.946	0.978	95.16	89.64	92.48	22.06	211.5	-106.915	0.993	96.00	90.44	93.34	22.06	236.4	-164.450	0.993	94.89	86.92	91.18	22.06	227.7	-95.368	0.968	95.83	90.81	93.57	22.01	201.9	-95.743	0.978	95.86	90.82	93.50	22.01	241.3	-199.595	0.951	94.24	84.31	90.21	22.01	209.2	-174.198	0.981	95.41	86.84	91.43	22.01	22.14	0.00	0.00	22.10	0.00	0.00
9/16/2021/3:48:28 PM	2880	4	F480/W60/M180	229.8	-97.900	0.989	95.81	90.84	93.39	22.03	234.1	-106.445	0.983	95.49	89.77	92.71	22.03	215.0	-107.979	0.989	95.96	90.62	93.42	22.03	212.4	-147.166	0.991	94.64	86.75	90.95	22.03	217.0	-90.492	0.965	96.11	91.27	93.96	21.98	206.2	-97.321	0.971	96.00	90.69	93.46	21.98	319.5	-263.390	0.992	94.67	82.07	88.68	21.98	227.6	-188.963	0.992	95.51	86.27	91.18	21.98	22.07	0.00	0.00	22.03	0.00	0.00
9/16/2021/4:00:28 PM	3600	5	F480/W60/M180	205.6	-87.886	0.981	95.88	91.21	93.49	22.08	215.8	-98.458	0.981	95.59	90.27	92.88	22.08	213.2	-107.390	0.987	96.10	90.57	93.46	22.08	235.6	-163.552	0.989	95.23	87.25	91.39	22.08	198.7	-82.884	0.965	96.10	91.74	94.10	22.02	207.0	-97.664	0.980	96.13	90.92	93.64	22.02	228.1	-188.342	0.991	95.23	85.81	90.78	22.02	204.0	-169.452	0.991	95.23	87.06	91.34	22.02	22.08	0.00	0.00	22.03	0.00	0.00
9/16/2021/4:12:28 PM	4320	6	F480/W60/M180	218.4	-96.523	0.988	95.75	90.98	93.31	21.81	219.9	-103.459	0.979	95.22	90.07	92.68	21.81	204.2	-106.034	0.989	95.94	90.33	93.37	21.81	218.5	-154.548	0.972	94.89	86.98	91.57	21.81	193.7	-84.383	0.964	96.43	91.73	94.10	21.76	205.9	-100.605	0.973	95.99	90.19	93.35	21.76	240.5	-201.246	0.990	94.87	84.60	90.03	21.76	178.4	-151.376	0.970	95.35	87.84	92.24	21.76	21.96	0.00	0.00	21.91	0.00	0.00
