"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",17.01,317,(2021-Sep-20 22:05:42),"M6",26.7896666666667,-0.010843234317746,-0.0108213633983343,2.12654827611274e-05,0.999544518566568,11.7103027067303,0.201701067880887,11.6866829011187,687.047789601336,"mg O2","SMR",27,1
"2","CH2","2",14.51,317,(2021-Sep-20 22:16:42),"M7",26.782,-0.0103157228013597,-0.0102753917784818,3.38631859262594e-05,0.998720074658478,11.2334507646598,0.390966524154239,11.1895317326627,771.160009142843,"mg O2","SMR",27,1
"3","CH3","3",16.17,317,(2021-Sep-21 06:09:42),"M50",27.03775,-0.010061767774685,-0.00988122870127107,2.27318360033692e-05,0.999375894509576,10.8967737587706,1.7943076947987,10.7012521087322,661.796667206689,"mg O2","SMR",27,1
"4","CH4","4",12.52,317,(2021-Sep-20 22:16:42),"M7",26.782,-0.0105370880487022,-0.0105095862800973,2.00828138154569e-05,0.999569302053236,11.5499972486479,0.26099970388178,11.5198517900305,920.11595767017,"mg O2","SMR",27,1
"5","CH5","5",11.74,317,(2021-Sep-20 22:05:42),"M6",26.7896666666667,-0.00816960348479347,-0.00806020646109744,1.77606488179215e-05,0.999427390464004,8.977871375165,1.33907384733737,8.85765104753258,754.484757030032,"mg O2","SMR",27,1
"6","CH6","6",14.24,317,(2021-Sep-20 22:27:42),"M8",26.8001666666667,-0.00683864553938306,-0.00680721981549384,4.16809050025811e-05,0.995595469220191,7.45368596461301,0.459531404402269,7.41943393682009,521.027664102535,"mg O2","SMR",27,1
"7","CH7","7",11.7,317,(2021-Sep-20 22:05:42),"M6",26.7896666666667,-0.00849504445658021,-0.00845145218940434,3.48643912720397e-05,0.997995932825836,9.33673346133818,0.513149370773538,9.28882207233052,793.916416438506,"mg O2","SMR",27,1
"8","CH8","8",10.05,317,(2021-Sep-20 22:16:42),"M7",26.782,-0.00731601608981069,-0.00712502156247094,1.57876376888037e-05,0.999420981544743,8.08434409956261,2.6106356929116,7.87329132696164,783.412072334491,"mg O2","SMR",27,1
"9","CH1","1",8.74,317,(2021-Sep-22 22:13:26),"M4",27.11425,-0.00593253650635058,-0.00533817775222232,1.48889579407616e-05,0.999082880201928,6.58354933241146,10.0186278414304,5.92396802604019,677.799545313522,"mg O2","SMR",27,1
"10","CH2","2",8.75,317,(2021-Sep-23 07:12:26),"M53",27.0945,-0.00688848713972449,-0.00670838542784258,1.83313472151262e-05,0.999119656293764,7.64415417895227,2.61453216401181,7.44429530927691,850.776606774504,"mg O2","SMR",27,1
"11","CH3","3",8.13,317,(2021-Sep-23 06:17:26),"M48",27.0704166666667,-0.00618195290065909,-0.00561575744512692,2.76073114176536e-05,0.997156345625058,6.87391125273566,9.15884453716569,6.24434040747486,768.061550734915,"mg O2","SMR",27,1
"12","CH4","4",8.08,317,(2021-Sep-22 22:13:26),"M4",27.11425,-0.00479265818842657,-0.00427253906183866,2.25720643818735e-05,0.996717350587777,5.32997268324745,10.852414383398,4.75154196113952,588.062123903406,"mg O2","SMR",27,1
"13","CH5","5",7.93,317,(2021-Sep-22 22:13:26),"M4",27.11425,-0.00630624105527248,-0.00568297243499052,2.45590310552887e-05,0.997801141103231,7.01665172263104,9.88336181283248,6.32317064573707,797.373347507827,"mg O2","SMR",27,1
"14","CH6","6",7.09,317,(2021-Sep-22 22:13:26),"M4",27.11425,-0.00619747173552508,-0.00553098674393417,5.11296754934921e-05,0.990016899278873,6.91437047600368,10.7541433028325,6.1707891665255,870.351081315303,"mg O2","SMR",27,1
"15","CH7","7",10.17,317,(2021-Sep-22 22:35:26),"M6",27.1183333333333,-0.00756518841171933,-0.00683694445417913,2.47705334415153e-05,0.998453476739082,8.35641633732423,9.62625010650192,7.55200680075282,742.576873230366,"mg O2","SMR",27,1
"16","CH8","8",7.98,317,(2021-Sep-22 23:08:26),"M9",27.0903333333333,-0.00640959997509523,-0.00577860866953475,2.01477846194095e-05,0.998567589476759,7.13050050349414,9.84447247897249,6.42854034381466,805.581496718629,"mg O2","SMR",27,1
"17","CH1","1",9.54,317,(2021-Sep-29 22:01:04),"M5",26.9958333333333,-0.00551079835926752,-0.00522535455834391,4.2245154404428e-05,0.996223347860508,6.09966022874541,5.1797177525754,5.78371504503031,606.259438682422,"mg O2","SMR",27,1
"18","CH2","2",14.82,317,(2021-Sep-29 21:51:04),"M4",27.0013333333333,-0.00940104930095768,-0.00915959314455029,5.47152971213139e-05,0.997934642435228,10.2269126799482,2.56839581069737,9.96424508311274,672.351220183046,"mg O2","SMR",27,1
"19","CH3","3",11.56,317,(2021-Sep-29 21:41:04),"M3",27.0085,-0.00728622515187451,-0.00700731660205596,3.21684902773233e-05,0.998779169563954,8.01181659739878,3.82788815888825,7.7051332185551,666.534015445943,"mg O2","SMR",27,1
"20","CH4","4",12.17,317,(2021-Sep-29 22:11:04),"M6",26.9968333333333,-0.00836250916978687,-0.00806477232772471,5.78540124186912e-05,0.997024113238979,9.17691721281408,3.56037686796038,8.85018437517717,727.213177911024,"mg O2","SMR",27,1
"21","CH5","5",17.98,317,(2021-Sep-29 22:01:04),"M5",26.9958333333333,-0.0112901856205617,-0.0109610313488612,3.68365268766376e-05,0.999345366675832,12.1535686953373,2.91540177250063,11.7992433381713,656.242677317648,"mg O2","SMR",27,1
"22","CH6","6",10.12,317,(2021-Sep-29 22:31:04),"M8",26.999,-0.00648825441828623,-0.00609828939113507,6.74098681307273e-05,0.992962929139207,7.16801585718124,6.010322684821,6.73719497406551,665.7307286626,"mg O2","SMR",27,1
"23","CH7","7",13.12,317,(2021-Sep-29 22:11:04),"M6",26.9968333333333,-0.00994493098837741,-0.00955669202160357,5.40660675729674e-05,0.998147078935479,10.8794362634933,3.90388799306476,10.4547152574896,796.853297064757,"mg O2","SMR",27,1
