Date & time of file creation	10/2/2021 11:11 AM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_9.27.2021\MMR_31_LF_DB_10.2.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_9.27.2021\MMR_31_LF_DB_10.2.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	19.420	297	0																																																											
Chamber 2	15.68	301.9230769230769																																																												
Chamber 3	12.86	303.9838056680162																																																												
Chamber 4	18.170	297.99372384937237																																																												
Chamber 5	12.64	303.96907216494844	0																																																											
Chamber 6	13.05	303.95																																																												
Chamber 7	12.51	303.96875																																																												
Chamber 8	15.2	301.9504950495049																																																												
																																																														
																																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
10/2/2021/11:21:14 AM	569	1	F480/W30/M60	532.6	-472.893	0.998	85.86	78.24	82.27	30.97	599.7	-423.113	0.996	86.60	79.87	83.29	30.97	59.2	-35.874	0.807	88.35	87.55	87.96	30.97	80.3	-68.220	0.808	88.96	87.59	88.26	30.97	667.4	-377.218	0.995	86.54	80.25	83.25	30.97	664.5	-387.700	0.991	85.38	78.83	81.85	30.97	46.1	-27.668	0.471	89.84	89.04	89.50	30.97	473.9	-324.576	0.989	87.60	82.26	84.68	30.97	30.97	0.00	0.00
10/2/2021/11:30:44 AM	1139	2	F480/W30/M60	586.4	-521.009	0.999	84.47	76.19	80.53	30.93	536.6	-379.565	0.994	86.20	80.25	83.41	30.93	90.0	-54.531	0.916	87.71	86.73	87.26	30.93	74.6	-64.504	0.761	87.37	85.99	86.74	30.93	680.6	-385.449	0.998	86.48	80.38	83.51	30.93	697.8	-407.791	0.999	85.63	78.85	82.27	30.93	106.6	-62.427	0.916	89.53	88.47	89.01	30.93	491.6	-337.408	0.997	87.02	81.50	84.19	30.93	30.94	0.00	0.00
10/2/2021/11:40:14 AM	1709	3	F480/W30/M60	575.6	-508.417	0.998	83.80	75.87	80.03	30.96	682.6	-478.839	0.997	84.95	77.09	81.11	30.96	70.0	-39.531	0.900	86.88	86.18	86.60	30.96	87.9	-72.002	0.880	87.90	86.35	87.08	30.96	757.3	-425.297	0.999	86.67	79.83	83.30	30.96	733.4	-425.256	0.998	86.35	79.32	82.76	30.96	125.6	-69.398	0.931	90.40	89.05	89.69	30.96	491.5	-334.051	0.995	87.17	81.36	84.25	30.96	30.93	0.00	0.00
10/2/2021/11:49:44 AM	2279	4	F480/W30/M60	543.5	-479.675	0.997	84.46	76.76	80.84	30.89	607.8	-426.072	0.994	85.46	78.56	82.31	30.89	78.2	-44.418	0.912	87.38	86.43	86.91	30.89	83.4	-68.377	0.828	87.98	86.72	87.32	30.89	863.8	-484.884	0.999	85.56	77.71	81.54	30.89	686.0	-397.498	0.997	87.02	80.72	84.00	30.89	128.4	-71.100	0.950	90.51	89.21	89.89	30.89	528.6	-359.136	0.998	87.61	81.74	84.59	30.89	30.92	0.00	0.00
10/2/2021/11:59:14 AM	2849	5	F480/W30/M60	505.6	-446.976	0.994	84.38	77.28	81.20	30.91	518.7	-364.272	0.991	85.75	79.72	82.92	30.91	65.0	-37.526	0.890	87.74	86.99	87.34	30.91	78.0	-64.613	0.803	87.70	86.44	87.08	30.91	747.9	-420.544	0.998	85.78	79.08	82.43	30.91	821.9	-477.082	0.998	83.53	76.15	79.89	30.91	126.4	-70.678	0.941	90.23	88.84	89.47	30.91	560.9	-381.794	0.998	87.20	81.05	84.05	30.91	30.90	0.00	0.00
10/2/2021/12:08:44 PM	3419	6	F480/W30/M60	522.8	-460.175	0.997	84.37	77.14	80.96	30.95	575.5	-402.027	0.994	85.54	79.23	82.64	30.95	81.8	-44.618	0.893	87.83	87.00	87.38	30.95	89.1	-71.334	0.827	87.75	86.33	87.09	30.95	758.3	-424.254	0.999	86.42	79.43	82.89	30.95	843.4	-487.540	0.998	84.55	76.67	80.44	30.95	130.5	-70.416	0.947	90.16	88.98	89.52	30.95	639.7	-433.304	0.999	86.36	79.37	82.88	30.95	30.92	0.00	0.00
10/2/2021/12:18:14 PM	3989	7	F480/W30/M60	512.3	-453.232	0.997	84.39	77.31	81.09	30.94	548.4	-385.456	0.994	85.73	79.45	82.81	30.94	73.9	-42.788	0.863	87.87	87.08	87.49	30.94	64.5	-53.698	0.715	87.85	86.53	87.20	30.94	678.0	-381.587	0.997	86.41	80.20	83.25	30.94	734.3	-426.615	0.997	84.87	77.96	81.47	30.94	124.1	-69.577	0.931	90.19	89.08	89.65	30.94	687.8	-468.502	0.999	85.90	78.38	82.12	30.94	30.92	0.00	0.00
10/2/2021/12:27:44 PM	4559	8	F480/W30/M60	521.0	-461.385	0.997	84.02	76.78	80.65	30.94	581.7	-409.267	0.993	85.58	79.14	82.62	30.94	70.2	-41.052	0.892	87.79	87.08	87.47	30.94	69.7	-58.391	0.705	88.13	86.47	87.28	30.94	705.6	-397.480	0.999	86.28	79.98	83.13	30.94	735.1	-427.514	0.998	85.09	77.93	81.36	30.94	122.5	-69.103	0.930	90.35	88.96	89.65	30.94	692.8	-472.285	0.999	85.83	78.11	81.89	30.94	30.93	0.00	0.00
10/2/2021/12:37:14 PM	5129	9	F480/W30/M60	534.9	-471.219	0.997	84.02	76.40	80.48	30.95	621.7	-434.885	0.995	85.54	78.76	82.32	30.95	67.0	-36.556	0.858	87.87	87.11	87.48	30.95	80.2	-64.386	0.760	87.96	86.48	87.26	30.95	707.9	-396.310	0.999	86.59	80.14	83.36	30.95	744.7	-430.629	0.999	85.18	78.17	81.65	30.95	136.6	-74.222	0.945	90.47	89.00	89.70	30.95	685.8	-465.075	0.998	85.94	78.65	82.31	30.95	30.94	0.00	0.00
10/2/2021/12:46:44 PM	5699	10	F480/W30/M60	537.8	-477.192	0.998	83.76	76.15	80.19	30.96	576.9	-406.897	0.994	85.63	79.15	82.61	30.96	63.7	-38.311	0.851	87.85	87.06	87.44	30.96	80.6	-68.296	0.803	88.04	86.48	87.26	30.96	702.7	-396.884	0.998	86.43	80.14	83.24	30.96	721.6	-420.631	0.997	85.23	78.31	81.71	30.96	118.5	-67.866	0.964	90.26	89.09	89.67	30.96	662.3	-452.545	0.998	85.93	78.72	82.29	30.96	30.95	0.00	0.00
10/2/2021/12:56:14 PM	6270	11	F480/W30/M60	550.0	-487.894	0.996	83.76	75.98	80.12	30.96	586.0	-413.227	0.994	85.54	79.09	82.65	30.96	59.7	-35.955	0.852	87.83	87.13	87.47	30.96	79.2	-67.108	0.780	87.77	86.18	87.13	30.96	698.9	-394.682	0.998	86.74	80.36	83.52	30.96	743.0	-433.052	0.998	85.24	78.12	81.62	30.96	109.5	-62.776	0.907	90.30	89.08	89.65	30.96	672.0	-459.093	0.999	86.10	78.72	82.41	30.96	30.95	0.00	0.00
