Date & time of file creation	11/10/2021 1:00 PM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static_MR_11.7.2021\MMR_23_BC_11.10.2021_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static_MR_11.7.2021\MMR_23_BC_11.10.2021.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	56.0000	28.5500	0.00	100.00	21.91	20.65																																							
Chamber 2	1	56.0000	28.5800	0.00	100.00	21.91	20.65																																							
Chamber 3	1	56.0000	28.4400	0.00	100.00	21.91	20.65																																							
Chamber 4	1	56.0000	28.3300	0.00	100.00	21.91	20.65																																							
Chamber 5	1	60.3900	27.7200	0.00	100.00	20.00	20.00																																							
Chamber 6	1	60.3900	27.5400	0.00	100.00	20.00	20.00																																							
Chamber 7	1	60.3900	27.7500	0.00	100.00	20.00	20.00																																							
Chamber 8	1	60.3900	27.6600	0.00	100.00	20.00	20.00																																							
																																														
																																														
Ambient temp N°1	1	0.0000	0.0000	0.00	0.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	270	47	14.68	1.01	0	Not used	Not used	Not used																																						
Chamber 2	270	47	10.81	0.98	Not used	Not used	Not used	Not used																																						
Chamber 3	270	47	10.42	0.95	Not used	Not used	Not used	Not used																																						
Chamber 4	270	47	11.25	0.94	Not used	Not used	Not used	Not used																																						
Chamber 5	270	47	14.36	0.99	0	Not used	Not used	Not used																																						
Chamber 6	270	47	8.2	1.03	Not used	Not used	Not used	Not used																																						
Chamber 7	270	47	11.76	1.02	Not used	Not used	Not used	Not used																																						
Chamber 8	270	47	11.68	0.97	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
11/10/2021/1:00:41 PM	Flush	1013.0	0.0	28.6067	23.01	94.43	28.6567	23.01	94.25	28.5017	23.01	94.42	28.4017	23.01	94.37	27.8200	23.01	94.12	27.5900	23.01	94.60	27.8100	23.01	94.46	27.7500	23.01	94.22	NaN	NaN	NaN	NaN	23.0100	23.01	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/10/2021/1:00:42 PM	Flush	1013.0	0.0	28.5925	23.01	94.56	28.6388	23.01	94.40	28.5113	23.01	94.34	28.3663	23.01	94.68	27.8125	23.01	94.19	27.6125	23.01	94.41	27.8250	23.01	94.33	27.7575	23.01	94.16	NaN	NaN	NaN	NaN	23.0100	23.01	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
11/10/2021/1:00:43 PM	Flush	1013.0	0.0	28.6100	23.01	94.40	28.6350	23.01	94.44	28.5188	23.01	94.27	28.4075	23.01	94.31	27.8175	23.01	94.14	27.6125	23.01	94.41	27.8300	23.01	94.29	27.7675	23.01	94.07	NaN	NaN	NaN	NaN	23.0100	23.01	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
