Date & time of file creation	11/12/2021 4:59 PM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static_MR_11.7.2021\empty_post_11.12.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static_MR_11.7.2021\empty_post_11.12.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	17.59	299.410	0																																																											
Chamber 2	16.82	300.010101010101																																																												
Chamber 3	10.41	306.4848484848485																																																												
Chamber 4	17.010	299.98999999999995																																																												
Chamber 5	11.26	305.51020408163265	0																																																											
Chamber 6	8.94	307.96969696969694																																																												
Chamber 7	13.8	303.4705882352941																																																												
Chamber 8	11.95	304.92929292929296																																																												
																																																														
																																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
11/12/2021/5:25:16 PM	1540	1	F480/W60/M1000	57.1	-40.808	0.999	90.79	79.28	84.89	25.01	58.5	-39.902	0.998	90.16	78.71	84.25	25.01	110.6	-45.675	0.999	90.40	77.53	83.64	25.01	72.2	-49.754	0.998	90.08	75.77	82.78	25.01	67.7	-30.379	0.998	90.81	82.15	86.32	25.01	86.7	-30.630	0.998	90.71	81.88	86.15	25.01	67.5	-37.326	0.999	90.30	79.50	84.61	25.01	70.8	-33.772	0.998	90.06	80.46	85.14	25.01	25.00	25.00	0.00
11/12/2021/5:50:56 PM	3080	2	F480/W60/M1000	56.5	-39.918	0.999	91.08	79.97	85.55	25.02	58.0	-39.046	0.998	90.79	79.53	85.01	25.02	110.3	-45.076	0.999	90.72	78.06	84.20	25.02	72.6	-49.601	0.998	90.54	76.62	83.41	25.02	66.5	-29.361	0.998	91.27	82.95	86.96	25.02	84.8	-29.478	0.998	91.07	82.78	86.84	25.02	67.2	-36.699	0.999	90.66	80.27	85.22	25.02	70.6	-33.201	0.998	90.80	81.22	85.82	25.02	25.03	25.00	0.00
11/12/2021/6:16:36 PM	4620	3	F480/W60/M1000	56.8	-39.996	0.999	91.46	80.43	86.07	25.02	58.8	-39.502	0.998	91.19	79.91	85.57	25.02	110.3	-45.007	0.999	91.18	78.51	84.71	25.02	72.4	-49.323	0.998	91.08	77.06	83.96	25.02	64.9	-28.545	0.998	91.63	83.57	87.48	25.02	83.2	-28.836	0.998	91.52	83.38	87.35	25.02	67.6	-36.819	0.998	91.24	80.72	85.71	25.02	69.5	-32.585	0.998	91.07	81.92	86.42	25.02	25.02	25.00	0.00
11/12/2021/6:42:16 PM	6160	4	F480/W60/M1000	56.6	-39.960	0.999	91.80	80.73	86.39	25.02	58.9	-39.645	0.998	91.40	80.22	85.88	25.02	110.2	-45.004	0.999	91.41	78.74	85.01	25.02	72.6	-49.535	0.998	91.49	77.43	84.31	25.02	63.8	-28.129	0.998	91.86	83.98	87.85	25.02	82.4	-28.640	0.998	91.87	83.70	87.70	25.02	67.6	-36.897	0.998	91.43	80.99	86.05	25.02	68.8	-32.314	0.999	91.43	82.22	86.81	25.02	25.02	25.00	0.00
11/12/2021/7:07:56 PM	7700	5	F480/W60/M1000	57.0	-40.321	0.999	92.11	80.95	86.59	25.02	58.9	-39.778	0.998	91.68	80.49	86.10	25.02	110.2	-45.107	0.999	91.59	78.95	85.20	25.02	72.3	-49.415	0.998	91.66	77.50	84.53	25.02	62.8	-27.773	0.998	92.06	84.20	88.09	25.02	81.0	-28.211	0.998	91.94	83.80	87.93	25.02	66.6	-36.462	0.998	91.59	81.31	86.26	25.02	67.9	-31.996	0.999	91.62	82.66	87.08	25.02	25.02	25.00	0.00
11/12/2021/7:33:36 PM	9240	6	F480/W60/M1000	56.8	-40.304	0.999	92.20	81.09	86.71	25.01	59.3	-40.163	0.999	91.78	80.57	86.21	25.01	110.5	-45.382	0.999	91.75	79.08	85.31	25.01	72.8	-49.964	0.998	91.85	77.70	84.63	25.01	62.4	-27.740	0.998	92.23	84.39	88.23	25.01	80.8	-28.315	0.998	92.22	84.17	88.11	25.01	66.7	-36.679	0.999	91.75	81.41	86.41	25.01	68.1	-32.221	0.999	91.72	82.81	87.23	25.01	25.01	25.00	0.00
11/12/2021/7:59:16 PM	10780	7	F480/W60/M1000	56.2	-39.799	0.999	92.25	81.17	86.79	25.02	58.1	-39.253	0.999	91.86	80.73	86.29	25.02	110.7	-45.364	1.000	91.71	79.05	85.37	25.02	73.1	-50.026	0.998	92.30	77.80	84.71	25.02	62.6	-27.722	0.999	92.33	84.50	88.31	25.02	81.5	-28.429	0.998	92.21	84.32	88.24	25.02	67.7	-37.062	0.999	91.75	81.37	86.50	25.02	67.7	-31.939	0.999	91.76	82.92	87.36	25.02	25.02	25.00	0.00
11/12/2021/8:24:56 PM	12320	8	F480/W60/M1000	56.5	-40.035	0.999	92.34	81.22	86.83	25.02	59.0	-39.851	0.998	91.91	80.75	86.36	25.02	111.1	-45.505	0.999	91.87	79.14	85.40	25.02	73.4	-50.225	0.998	92.02	77.68	84.75	25.02	62.5	-27.668	0.998	92.27	84.59	88.38	25.02	80.9	-28.213	0.998	92.22	84.39	88.31	25.02	68.2	-37.340	0.999	91.94	81.53	86.54	25.02	67.9	-32.004	0.999	91.91	83.00	87.41	25.02	25.02	25.00	0.00
11/12/2021/8:50:36 PM	13860	9	F480/W60/M1000	56.9	-40.502	0.999	92.37	81.23	86.84	25.01	59.3	-40.257	0.999	92.23	80.75	86.38	25.01	111.5	-45.865	0.999	91.82	79.16	85.40	25.01	73.3	-50.373	0.998	92.05	77.83	84.75	25.01	61.8	-27.571	0.999	92.39	84.58	88.42	25.01	79.7	-28.005	0.998	92.29	84.37	88.36	25.01	67.8	-37.359	0.999	91.81	81.32	86.52	25.01	67.2	-31.879	0.999	91.89	83.03	87.44	25.01	25.01	25.00	0.00
11/12/2021/9:16:16 PM	15400	10	F480/W60/M1000	56.3	-39.926	1.000	92.32	81.30	86.84	25.02	59.0	-39.912	0.999	92.09	80.62	86.35	25.02	112.1	-45.956	1.000	91.86	79.06	85.38	25.02	74.1	-50.738	0.999	91.94	77.64	84.70	25.02	62.7	-27.801	0.999	92.33	84.64	88.41	25.02	81.5	-28.499	0.998	92.32	84.43	88.38	25.02	68.8	-37.748	0.999	91.90	81.33	86.53	25.02	68.5	-32.331	0.999	91.99	82.92	87.39	25.02	25.02	25.00	0.00
11/12/2021/9:41:56 PM	16940	11	F480/W60/M1000	56.4	-39.771	0.999	92.34	81.25	86.85	25.02	59.3	-39.894	0.999	91.89	80.68	86.36	25.02	112.4	-45.915	0.999	91.89	79.03	85.37	25.02	74.2	-50.619	0.999	91.95	77.80	84.68	25.02	62.8	-27.686	0.998	92.39	84.57	88.40	25.02	82.0	-28.455	0.998	92.46	84.43	88.37	25.02	69.5	-37.912	0.999	91.83	81.25	86.50	25.02	68.9	-32.325	0.999	91.94	82.97	87.40	25.02	25.03	25.00	0.00
11/12/2021/10:07:36 PM	18480	12	F480/W60/M1000	56.5	-39.754	0.999	92.34	81.27	86.86	25.02	59.3	-39.822	0.999	92.00	80.78	86.37	25.02	113.0	-46.083	1.000	91.81	79.01	85.36	25.02	74.9	-51.041	0.999	91.91	77.55	84.67	25.02	63.1	-27.709	0.999	92.31	84.64	88.39	25.02	82.7	-28.604	0.999	92.36	84.43	88.38	25.02	70.7	-38.494	0.999	91.90	81.27	86.48	25.02	69.7	-32.647	0.999	91.95	82.81	87.39	25.02	25.02	25.00	0.00
11/12/2021/10:33:16 PM	20020	13	F480/W60/M1000	56.1	-39.616	0.999	92.34	81.25	86.84	25.02	58.9	-39.700	0.999	91.97	80.66	86.35	25.02	113.2	-46.260	1.000	91.78	78.96	85.32	25.02	75.1	-51.249	0.999	91.90	77.50	84.62	25.02	63.0	-27.785	0.999	92.33	84.64	88.40	25.02	82.4	-28.614	0.999	92.33	84.45	88.35	25.02	70.4	-38.443	0.999	91.98	81.17	86.41	25.02	69.7	-32.727	0.999	91.96	82.93	87.36	25.02	25.03	21.00	0.00
11/12/2021/10:58:56 PM	21560	14	F480/W60/M1000	56.1	-40.636	0.999	92.41	81.11	86.71	24.97	58.9	-40.676	0.999	92.09	80.44	86.18	24.97	111.7	-46.638	1.000	91.81	78.85	85.27	24.97	74.1	-51.564	0.999	91.97	77.41	84.58	24.97	61.0	-27.945	0.999	92.39	84.51	88.37	24.97	78.6	-28.352	0.999	92.37	84.33	88.34	24.97	68.6	-38.466	0.999	91.94	81.09	86.39	24.97	68.0	-32.971	0.999	91.99	82.75	87.33	24.97	25.00	21.00	0.00
11/12/2021/11:24:36 PM	23100	15	F480/W60/M1000	55.5	-40.028	0.999	92.38	81.33	86.89	24.82	58.7	-40.380	0.999	91.99	80.71	86.35	24.82	110.5	-45.944	1.000	91.87	79.19	85.44	24.82	73.5	-50.965	0.999	92.06	77.58	84.76	24.82	60.5	-27.581	0.999	92.40	84.59	88.46	24.82	77.1	-27.680	0.999	92.24	84.41	88.38	24.82	68.5	-38.223	0.999	91.89	81.18	86.47	24.82	67.5	-32.597	0.999	92.04	82.88	87.40	24.82	24.85	21.00	0.00
11/12/2021/11:50:16 PM	24640	16	F480/W60/M1000	54.7	-39.409	0.999	92.46	81.69	87.06	24.65	58.0	-39.854	0.999	92.21	80.93	86.52	24.65	109.2	-45.315	1.000	92.03	79.45	85.65	24.65	72.9	-50.423	0.999	92.18	77.98	84.97	24.65	60.0	-27.299	0.999	92.43	84.85	88.57	24.65	75.6	-27.106	0.998	92.15	84.57	88.46	24.65	68.0	-37.907	0.999	91.89	81.25	86.57	24.65	67.5	-32.522	0.999	92.09	83.05	87.50	24.65	24.68	21.00	0.00
11/13/2021/12:15:56 AM	26180	17	F480/W60/M1000	58.7	-40.040	0.999	92.82	81.84	87.36	24.79	61.7	-40.230	0.999	92.40	81.25	86.84	24.79	116.1	-46.063	0.999	92.31	79.42	85.77	24.79	76.9	-51.093	0.999	92.26	77.85	85.02	24.79	65.2	-27.401	0.998	92.64	84.87	88.62	24.79	82.1	-27.163	0.999	92.46	84.81	88.50	24.79	71.5	-37.703	0.999	92.02	81.48	86.61	24.79	69.2	-31.154	0.999	92.05	83.36	87.62	24.79	24.73	25.00	0.00
11/13/2021/12:41:36 AM	27720	18	F480/W60/M1000	57.3	-40.918	1.000	92.43	81.07	86.74	25.01	60.5	-41.269	0.999	92.04	80.52	86.21	25.01	114.9	-47.449	1.000	91.92	78.67	85.23	25.01	76.9	-52.954	0.999	91.99	77.17	84.48	25.01	63.7	-28.562	0.999	92.45	84.47	88.36	25.01	82.7	-29.209	0.999	92.49	84.21	88.40	25.01	71.5	-39.530	0.999	91.93	81.01	86.36	25.01	69.7	-33.244	0.999	91.93	82.81	87.36	25.01	25.01	25.00	0.00
11/13/2021/1:07:16 AM	29260	19	F480/W60/M1000	57.9	-41.002	0.999	92.25	81.06	86.73	25.02	61.5	-41.582	0.999	91.96	80.49	86.21	25.02	115.3	-47.297	1.000	91.79	78.72	85.18	25.02	76.7	-52.551	0.999	91.84	77.09	84.41	25.02	63.0	-27.956	0.999	92.36	84.44	88.32	25.02	82.7	-28.883	0.999	92.39	84.24	88.34	25.02	72.6	-39.813	0.999	91.88	80.81	86.22	25.02	70.6	-33.353	0.999	91.96	82.66	87.25	25.02	25.02	25.00	0.00
11/13/2021/1:32:56 AM	30800	20	F480/W60/M1000	58.3	-41.607	0.999	92.47	81.02	86.67	25.01	61.9	-42.149	0.999	92.11	80.31	86.15	25.01	116.0	-47.840	1.000	91.85	78.54	85.13	25.01	77.2	-53.104	0.999	91.84	76.91	84.36	25.01	63.3	-28.335	0.999	92.33	84.38	88.29	25.01	82.6	-29.115	0.999	92.40	84.24	88.30	25.01	72.4	-39.956	0.999	91.80	80.55	86.15	25.01	70.3	-33.436	0.999	91.96	82.63	87.21	25.01	25.01	25.00	0.00
11/13/2021/1:58:36 AM	32340	21	F480/W60/M1000	58.3	-41.089	0.999	92.25	80.90	86.65	25.02	62.1	-41.786	0.999	91.89	80.27	86.13	25.02	117.0	-47.719	1.000	91.71	78.55	85.09	25.02	77.9	-53.136	0.999	91.84	76.88	84.28	25.02	64.2	-28.239	0.999	92.31	84.40	88.25	25.02	83.9	-29.051	0.999	92.30	84.21	88.25	25.02	74.0	-40.349	0.999	91.83	80.53	86.09	25.02	72.0	-33.751	0.999	91.95	82.46	87.17	25.02	25.02	25.00	0.00
11/13/2021/2:24:16 AM	33880	22	F480/W60/M1000	58.1	-40.889	0.999	92.21	80.91	86.63	25.02	62.0	-41.651	0.999	92.00	80.17	86.12	25.02	117.2	-47.776	1.000	91.74	78.58	85.05	25.02	78.4	-53.432	0.999	92.07	76.95	84.26	25.02	64.4	-28.285	0.999	92.30	84.31	88.20	25.02	84.7	-29.302	0.998	92.32	84.26	88.22	25.02	74.4	-40.515	0.999	91.78	80.54	86.03	25.02	72.7	-34.063	0.999	92.05	82.41	87.10	25.02	25.03	25.00	0.00
11/13/2021/2:49:56 AM	35420	23	F480/W60/M1000	57.9	-40.797	0.999	92.20	80.92	86.59	25.02	61.7	-41.492	0.999	91.90	80.23	86.10	25.02	117.9	-48.102	1.000	91.72	78.36	85.01	25.02	78.9	-53.798	0.999	91.90	76.63	84.20	25.02	65.0	-28.576	0.999	92.23	84.21	88.18	25.02	85.9	-29.770	0.998	92.45	84.15	88.27	25.02	75.1	-40.987	0.999	91.89	80.38	85.97	25.02	73.5	-34.454	0.999	92.01	82.33	87.07	25.02	25.03	25.00	0.00
11/13/2021/3:15:36 AM	36960	24	F480/W60/M1000	57.5	-40.895	1.000	92.20	80.87	86.49	25.01	61.7	-41.864	0.999	91.88	80.08	85.97	25.01	117.3	-48.275	1.000	91.65	78.31	84.91	25.01	78.9	-54.191	0.999	91.78	76.54	84.12	25.01	65.0	-28.998	0.999	92.30	84.06	88.13	25.01	85.7	-30.085	0.998	92.43	84.00	88.21	25.01	75.9	-41.809	0.999	91.83	80.19	85.92	25.01	73.6	-34.894	0.999	91.92	82.19	86.97	25.01	25.03	25.00	0.00
