Date & time of file creation	11/10/2021 4:58 PM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static_MR_11.7.2021\empty_post_pre_11.10.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static_MR_11.7.2021\empty_post_pre_11.10.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	14.68	302.46534653465346	0																																																											
Chamber 2	10.81	305.969387755102																																																												
Chamber 3	10.42	306.0315789473684																																																												
Chamber 4	11.25	305.03191489361706																																																												
Chamber 5	14.36	302.4949494949495	0																																																											
Chamber 6	8.2	309.03883495145635																																																												
Chamber 7	11.76	305.4705882352941																																																												
Chamber 8	11.68	304.958762886598																																																												
																																																														
																																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
11/10/2021/5:24:15 PM	1540	1	F480/W60/M1000	41.3	-19.063	0.997	94.74	89.22	91.85	23.53	52.4	-17.296	0.995	94.30	89.23	91.58	23.53	62.6	-20.595	0.996	94.55	88.48	91.29	23.53	48.0	-16.292	0.991	94.54	89.46	91.99	23.53	38.9	-17.239	0.992	94.11	88.80	91.22	23.53	65.8	-16.062	0.991	93.97	89.00	91.23	23.53	46.9	-16.790	0.991	93.59	88.46	90.86	23.53	44.2	-15.446	0.991	93.52	88.81	90.95	23.53	23.36	0.00	0.00
11/10/2021/5:49:55 PM	3080	2	F480/W60/M1000	39.5	-20.789	0.997	94.39	88.44	91.35	24.41	50.4	-19.204	0.995	93.96	88.32	91.09	24.41	59.2	-22.012	0.996	94.21	87.75	90.80	24.41	42.9	-16.799	0.989	94.31	89.19	91.78	24.41	34.2	-17.300	0.990	94.38	89.08	91.52	24.41	58.7	-16.490	0.991	94.17	89.22	91.63	24.41	40.5	-16.548	0.990	94.00	88.83	91.27	24.41	37.0	-14.834	0.989	93.77	89.27	91.40	24.41	24.27	0.00	0.00
11/10/2021/6:15:35 PM	4620	3	F480/W60/M1000	37.9	-21.443	0.998	93.79	87.69	90.72	24.72	47.9	-19.642	0.995	93.32	87.63	90.48	24.72	56.7	-22.528	0.998	93.52	87.05	90.18	24.72	41.4	-17.625	0.988	93.94	88.55	91.24	24.72	32.7	-17.960	0.995	93.90	88.51	91.15	24.72	56.9	-17.447	0.994	93.82	88.63	91.20	24.72	39.6	-17.616	0.994	93.73	88.42	90.89	24.72	36.7	-16.194	0.993	93.58	88.61	91.05	24.72	24.67	0.00	0.00
11/10/2021/6:41:15 PM	6160	4	F480/W60/M1000	37.8	-21.963	0.997	93.19	87.06	89.98	24.83	48.0	-20.290	0.995	92.80	86.98	89.82	24.83	56.6	-23.078	0.996	92.94	86.36	89.48	24.83	41.2	-18.159	0.990	93.38	87.86	90.61	24.83	32.8	-18.595	0.993	93.42	87.86	90.56	24.83	56.9	-18.024	0.993	93.40	88.00	90.59	24.83	39.6	-18.192	0.991	93.14	87.86	90.37	24.83	37.4	-17.109	0.992	93.10	88.04	90.52	24.83	24.82	0.00	0.00
11/10/2021/7:06:55 PM	7700	5	F480/W60/M1000	38.7	-22.628	0.999	93.39	86.90	90.14	24.89	49.1	-20.879	0.996	93.14	87.02	89.97	24.89	57.2	-23.453	0.998	93.02	86.31	89.58	24.89	42.2	-18.729	0.988	93.77	87.96	90.74	24.89	32.9	-18.788	0.996	93.47	88.01	90.66	24.89	56.3	-17.944	0.994	93.27	87.98	90.62	24.89	40.2	-18.629	0.994	93.44	87.83	90.41	24.89	37.2	-17.123	0.993	93.22	88.11	90.63	24.89	24.88	0.00	0.00
11/10/2021/7:32:35 PM	9240	6	F480/W60/M1000	38.3	-22.378	0.998	93.58	87.37	90.39	24.89	48.3	-20.537	0.996	93.23	87.38	90.24	24.89	56.7	-23.217	0.998	93.21	86.70	89.84	24.89	41.7	-18.483	0.990	93.71	88.31	91.00	24.89	32.4	-18.478	0.995	93.74	88.38	90.98	24.89	57.9	-18.454	0.994	93.90	88.34	91.00	24.89	40.2	-18.608	0.994	93.46	88.03	90.70	24.89	37.4	-17.205	0.993	93.50	88.48	90.96	24.89	24.88	0.00	0.00
11/10/2021/7:58:15 PM	10780	7	F480/W60/M1000	37.3	-21.796	0.999	93.58	87.54	90.62	24.88	47.7	-20.278	0.996	93.40	87.54	90.48	24.88	55.9	-22.943	0.998	93.37	86.89	90.07	24.88	42.3	-18.767	0.989	93.97	88.37	91.16	24.88	31.7	-18.120	0.995	93.90	88.53	91.21	24.88	57.1	-18.221	0.994	93.80	88.58	91.26	24.88	39.6	-18.338	0.993	93.79	88.36	90.98	24.88	36.6	-16.872	0.993	93.66	88.79	91.23	24.88	24.88	0.00	0.00
11/10/2021/8:23:55 PM	12320	8	F480/W60/M1000	37.7	-22.091	0.998	93.81	87.65	90.73	24.89	47.8	-20.406	0.996	93.49	87.64	90.58	24.89	55.6	-22.870	0.998	93.43	87.01	90.17	24.89	42.5	-18.944	0.990	94.07	88.43	91.25	24.89	31.3	-17.947	0.994	93.90	88.70	91.36	24.89	56.1	-17.991	0.994	94.07	88.84	91.45	24.89	38.9	-18.070	0.993	94.07	88.61	91.14	24.89	36.1	-16.694	0.992	93.93	89.05	91.40	24.89	24.89	0.00	0.00
11/10/2021/8:49:35 PM	13860	9	F480/W60/M1000	37.0	-21.626	0.998	93.71	87.73	90.75	24.88	46.7	-19.865	0.996	93.52	87.82	90.63	24.88	55.2	-22.656	0.998	93.40	87.08	90.20	24.88	41.9	-18.606	0.990	94.10	88.49	91.28	24.88	31.2	-17.851	0.994	94.07	88.87	91.42	24.88	56.6	-18.095	0.993	94.24	88.84	91.51	24.88	38.8	-17.984	0.992	93.79	88.62	91.19	24.88	36.4	-16.777	0.993	93.92	88.97	91.40	24.88	24.88	0.00	0.00
11/10/2021/9:15:15 PM	15400	10	F480/W60/M1000	37.0	-21.605	0.998	93.68	87.76	90.76	24.88	46.9	-19.930	0.995	93.59	87.76	90.70	24.88	55.4	-22.724	0.998	93.51	87.10	90.27	24.88	41.4	-18.362	0.987	94.10	88.29	91.32	24.88	30.8	-17.599	0.996	93.90	88.78	91.37	24.88	55.5	-17.714	0.993	94.08	88.93	91.51	24.88	38.3	-17.754	0.994	93.79	88.68	91.20	24.88	35.8	-16.487	0.992	93.84	89.04	91.45	24.88	24.87	0.00	0.00
11/10/2021/9:40:55 PM	16940	11	F480/W60/M1000	37.3	-21.722	0.998	93.97	87.91	90.94	24.89	47.1	-19.987	0.995	93.73	87.94	90.80	24.89	55.6	-22.738	0.998	93.65	87.21	90.35	24.89	41.7	-18.432	0.986	94.08	88.49	91.40	24.89	30.6	-17.390	0.995	94.02	89.00	91.49	24.89	55.0	-17.504	0.993	94.10	89.06	91.60	24.89	38.0	-17.558	0.994	93.88	88.66	91.29	24.89	34.7	-15.913	0.992	93.86	89.19	91.55	24.89	24.88	0.00	0.00
