"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",10.72,317,(2021-Oct-10 21:58:46),"M5",20.9701666666667,-0.00495639306315927,-0.00479752273654545,1.47480628403072e-05,0.99832070900919,5.46495864258392,3.20536173361029,5.28978694949691,493.450275139637,"mg O2","SMR",21,1
"2","CH2","2",9.97,317,(2021-Oct-10 21:10:46),"M1",20.9965555555556,-0.00495594588317438,-0.0047932959964456,1.41974067503756e-05,0.998440835671085,5.47784663223971,3.28191410001024,5.2980684112393,531.4010442567,"mg O2","SMR",21,1
"3","CH3","3",11.57,317,(2021-Oct-10 22:10:46),"M6",20.9754444444444,-0.00432637858515743,-0.00417124184455657,1.2552360526559e-05,0.998390686733958,4.75706092055268,3.58583368392893,4.58648062769848,396.411463068149,"mg O2","SMR",21,1
"4","CH4","4",13.67,317,(2021-Oct-10 22:34:46),"M8",20.9608333333333,-0.00585664282158894,-0.00566651627577524,1.58427915161855e-05,0.998610536062724,6.39538368146127,3.24634012360887,6.18776777495126,452.653092534839,"mg O2","SMR",21,1
"5","CH5","5",13.26,317,(2021-Oct-10 22:22:46),"M7",20.9785,-0.00610314605814182,-0.00590655582258019,1.35853462981634e-05,0.999059228744934,6.67357050131999,3.22112945829591,6.45860615598182,487.074370737694,"mg O2","SMR",21,1
"6","CH6","6",16.34,317,(2021-Oct-10 21:46:46),"M4",20.9575555555556,-0.00551520528208941,-0.00531403617112474,1.77917786734027e-05,0.998008666328807,5.96952583240681,3.64753623256717,5.75178521475731,352.006439091635,"mg O2","SMR",21,1
"7","CH7","7",16.76,317,(2021-Oct-10 22:58:46),"M10",20.9786666666667,-0.00708872854094836,-0.00690278198950161,1.08117172004184e-05,0.999563512875636,7.66195148568361,2.62312980914164,7.46096855230067,445.165188084765,"mg O2","SMR",21,1
"8","CH8","8",10.62,317,(2021-Oct-11 08:34:46),"M58",20.9547777777778,-0.00330035407194385,-0.0028500228277393,1.55573746033573e-05,0.994724075490617,3.64018493002377,13.6449373124175,3.14348397826596,295.996608122971,"mg O2","SMR",21,1
"9","CH1","1",11.91,317,(2021-Oct-12 22:05:11),"M7",23.0165833333333,-0.005973299016452,-0.00559124843450363,1.91496109057012e-05,0.998617759474796,6.56061766894562,6.39597282667585,6.14100234557777,515.617325405354,"mg O2","SMR",23,2
"10","CH2","2",17.75,317,(2021-Oct-12 23:44:11),"M16",23.0151666666667,-0.0094809882419818,-0.00910263976160671,2.71291415748004e-05,0.998952957195733,10.213868633087,3.99060172545898,9.80627381517891,552.466130432615,"mg O2","SMR",23,2
