Date & time of file creation	10/15/2021 4:09 PM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.10.2021\empty_post_10.15.2021_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.10.2021\empty_post_10.15.2021.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	56.0000	28.6300	0.00	100.00	21.91	20.65																																							
Chamber 2	1	56.0000	28.6300	0.00	100.00	21.91	20.65																																							
Chamber 3	1	56.0000	28.5700	0.00	100.00	21.91	20.65																																							
Chamber 4	1	56.0000	28.4000	0.00	100.00	21.91	20.65																																							
Chamber 5	1	60.3900	27.7000	0.00	100.00	20.00	20.00																																							
Chamber 6	1	60.3900	27.6300	0.00	100.00	20.00	20.00																																							
Chamber 7	1	60.3900	27.6800	0.00	100.00	20.00	20.00																																							
Chamber 8	1	60.3900	27.6200	0.00	100.00	20.00	20.00																																							
																																														
																																														
Ambient temp N°1	1	0.0000	0.0000	0.00	0.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	270	47	14.08	1.00500000000000	0	Not used	Not used	Not used																																						
Chamber 2	270	47	16.23	0.983	Not used	Not used	Not used	Not used																																						
Chamber 3	270	47	11.92	0.993	Not used	Not used	Not used	Not used																																						
Chamber 4	270	47	16.580	0.96	Not used	Not used	Not used	Not used																																						
Chamber 5	270	47	14.47	0.96	0	Not used	Not used	Not used																																						
Chamber 6	270	47	11.97	0.98	Not used	Not used	Not used	Not used																																						
Chamber 7	270	47	11.63	0.97	Not used	Not used	Not used	Not used																																						
Chamber 8	270	47	17.310	0.988	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [mg/L]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [mg/L]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [mg/L]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [mg/L]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [mg/L]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [mg/L]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [mg/L]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [mg/L]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
10/15/2021/4:09:42 PM	Flush	1013	0	28.6329	25.01	7.50488204941831	28.6643	25.01	7.48258050689858	28.5343	25.01	7.53461743944462	28.3871	25.01	7.52635760888176	27.6914	25.01	7.59491420255353	27.6371	25.01	7.58582838893438	27.66	25.01	7.60400001617268	27.6057	25.01	7.60152206700382	NA	NA	NA	NA	25.01	25.01	OFF	NA	NA	OFF	NA	0	NA	OFF	NA	0	NA	OFF	NA
