Date & time of file creation	10/15/2021 12:02 PM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.10.2021\MMR_25_BC_2_10.15.2021_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.10.2021\MMR_25_BC_2_10.15.2021.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	56.0000	28.6300	0.00	100.00	21.91	20.65																																							
Chamber 2	1	56.0000	28.6300	0.00	100.00	21.91	20.65																																							
Chamber 3	1	56.0000	28.5700	0.00	100.00	21.91	20.65																																							
Chamber 4	1	56.0000	28.4000	0.00	100.00	21.91	20.65																																							
Chamber 5	1	60.3900	27.7000	0.00	100.00	20.00	20.00																																							
Chamber 6	1	60.3900	27.6300	0.00	100.00	20.00	20.00																																							
Chamber 7	1	60.3900	27.6800	0.00	100.00	20.00	20.00																																							
Chamber 8	1	60.3900	27.6200	0.00	100.00	20.00	20.00																																							
																																														
																																														
Ambient temp N°1	1	0.0000	0.0000	0.00	0.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	270	47	14.08	1.00500000000000	0	Not used	Not used	Not used																																						
Chamber 2	270	47	16.23	0.983	Not used	Not used	Not used	Not used																																						
Chamber 3	270	47	11.92	0.993	Not used	Not used	Not used	Not used																																						
Chamber 4	270	47	16.580	0.96	Not used	Not used	Not used	Not used																																						
Chamber 5	270	47	14.47	0.96	0	Not used	Not used	Not used																																						
Chamber 6	270	47	11.97	0.98	Not used	Not used	Not used	Not used																																						
Chamber 7	270	47	11.63	0.97	Not used	Not used	Not used	Not used																																						
Chamber 8	270	47	17.310	0.988	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
