,Chamber.No,Ind,Mass,Volume,Date.Time,Phase,Temp,Slope.with.BR,Slope,SE,R2,MR.abs.with.BR,BR,MR.abs,MR.mass,DO.unit,Trial,Temperature,Event
1,CH1,1,13.87,317,(2021-Oct-17 23:33:28),M8,20.95861111,-0.006453991,-0.006298626,1.47E-05,0.999035584,7.043033519,2.407262747,6.873489197,495.5651908,mg O2,SMR,21,1
2,CH2,2,9.23,317,(2021-Oct-18 06:08:27),M41,20.94905556,-0.004707315,-0.004491857,1.75E-05,0.997305524,5.215573697,4.577107388,4.976851288,539.2038232,mg O2,SMR,21,1
3,CH3,3,12.37,317,(2021-Oct-17 22:21:28),M2,20.9565,-0.005903571,-0.005742378,2.02E-05,0.997812898,6.474257707,2.730428679,6.297482718,509.0931866,mg O2,SMR,21,1
4,CH4,4,12.34,317,(2021-Oct-17 22:57:28),M5,20.95166667,-0.006498578,-0.006353612,1.46E-05,0.999059042,7.127484745,2.230742899,6.968488885,564.7073651,mg O2,SMR,21,1
5,CH5,5,10.22,317,(2021-Oct-17 22:10:28),M1,20.95933333,-0.005592473,-0.005415922,1.82E-05,0.998001919,6.176371654,3.156940296,5.981387288,585.2629441,mg O2,SMR,21,1
6,CH6,6,14.066,317,(2021-Oct-17 22:33:28),M3,20.96211111,-0.006106965,-0.005915055,1.43E-05,0.998957775,6.660026271,3.142478491,6.450736378,458.6048897,mg O2,SMR,21,1
7,CH7,7,13.914,317,(2021-Oct-18 06:08:27),M41,20.94905556,-0.006138534,-0.005882108,1.26E-05,0.999188154,6.697813342,4.177318061,6.418024376,461.2637901,mg O2,SMR,21,1
8,CH8,8,13.9975,317,(2021-Oct-17 22:10:28),M1,20.95933333,-0.007660735,-0.007387867,1.92E-05,0.998804906,8.356398671,3.561903602,8.058751805,575.7279375,mg O2,SMR,21,1
9,CH1,1,10.2,317,(2021-Oct-20 13:22:44),M2,22.98166667,-0.004320261,-0.004064446,2.08E-05,0.996919975,4.771641903,5.921285417,4.489099367,440.1077811,mg O2,MMR,23,2
10,CH2,2,13.57,317,(2021-Oct-20 06:57:42),M50,22.90905556,-0.006716378,-0.006371923,2.04E-05,0.998176529,7.336621934,5.128585253,6.960357023,512.9224041,mg O2,SMR,23,2
11,CH3,3,10.92,317,(2021-Oct-19 22:09:42),M6,22.99033333,-0.004972338,-0.004665012,1.36E-05,0.998488786,5.478959541,6.180714452,5.140320696,470.7253385,mg O2,SMR,23,2
12,CH4,4,14.26,317,(2021-Oct-19 22:21:42),M7,22.98422222,-0.006518031,-0.006230022,2.17E-05,0.997843431,7.103767391,4.41864722,6.78987697,476.1484551,mg O2,SMR,23,2
13,CH5,5,7.67,317,(2021-Oct-20 13:55:44),M5,22.90641667,-0.003878883,-0.003475575,1.85E-05,0.996665157,4.319477781,10.39753166,3.870358712,504.6100015,mg O2,MMR,23,2
14,CH6,6,11.94,317,(2021-Oct-20 14:06:44),M6,22.91391667,-0.005997284,-0.005545459,2.20E-05,0.998145735,6.586313684,7.533841041,6.090111281,510.0595713,mg O2,MMR,23,2
15,CH7,7,10.23,317,(2021-Oct-20 06:57:42),M50,22.90905556,-0.005371357,-0.004958044,1.64E-05,0.998066656,5.931976463,7.694756878,5.475525296,535.2419645,mg O2,SMR,23,2
16,CH8,8,9.91,317,(2021-Oct-19 22:09:42),M6,22.99033333,-0.004876328,-0.004363995,1.62E-05,0.997565878,5.390897717,10.50653103,4.824501375,486.8316221,mg O2,SMR,23,2
17,CH1,1,13.32,317,(2021-Oct-22 13:20:49),M2,24.97341667,-0.006678278,-0.006358854,1.55E-05,0.999300462,7.301014549,4.783035042,6.951804464,521.9072421,mg O2,MMR,25,3
18,CH2,2,11.99,317,(2021-Oct-21 22:04:55),M6,25.00833333,-0.006888582,-0.006500617,2.09E-05,0.998778166,7.563911009,5.632002667,7.137911339,595.3220466,mg O2,SMR,25,3
19,CH3,3,10.55,317,(2021-Oct-22 13:42:49),M4,25.00533333,-0.005567961,-0.005159194,1.49E-05,0.999010581,6.142685756,7.341409109,5.691726064,539.5001009,mg O2,MMR,25,3
20,CH4,4,12.18,317,(2021-Oct-22 13:42:49),M4,25.00533333,-0.005981719,-0.005559199,3.01E-05,0.996560808,6.564051801,7.063524269,6.100398409,500.8537282,mg O2,MMR,25,3
21,CH5,5,11.84,317,(2021-Oct-22 13:53:49),M5,24.98091667,-0.006564761,-0.006115971,1.77E-05,0.999015523,7.211889419,6.836352436,6.718859241,567.4712197,mg O2,MMR,25,3
22,CH6,6,11.26,317,(2021-Oct-22 14:04:49),M6,24.986,-0.005694046,-0.005193871,2.05E-05,0.998172496,6.267231369,8.784166748,5.716707315,507.700472,mg O2,MMR,25,3
23,CH7,7,14.13,317,(2021-Oct-21 22:48:55),M10,25.00666667,-0.007210492,-0.006779104,1.95E-05,0.99902815,7.861830689,5.982792113,7.391473703,523.1050037,mg O2,SMR,25,3
24,CH8,8,15.67,317,(2021-Oct-22 14:26:49),M8,24.98175,-0.006961894,-0.006419085,2.40E-05,0.99835305,7.552179575,7.796870846,6.963345887,444.3743387,mg O2,MMR,25,3
