Date & time of file creation	10/18/2021 1:58 PM																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.17.2021\MMR_21_DB_10.18.2021_raw.txt																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.17.2021\MMR_21_DB_10.18.2021.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
Chamber 1	1	56.0000	28.6300	0.00	100.00	21.91	20.65																																							
Chamber 2	1	56.0000	28.6300	0.00	100.00	21.91	20.65																																							
Chamber 3	1	56.0000	28.5700	0.00	100.00	21.91	20.65																																							
Chamber 4	1	56.0000	28.4000	0.00	100.00	21.91	20.65																																							
Chamber 5	1	60.3900	27.7800	0.00	100.00	20.00	20.00																																							
Chamber 6	1	60.3900	27.7300	0.00	100.00	20.00	20.00																																							
Chamber 7	1	60.3900	27.7700	0.00	100.00	20.00	20.00																																							
Chamber 8	1	60.3900	27.7000	0.00	100.00	20.00	20.00																																							
																																														
																																														
Ambient temp N°1	1	0.0000	0.0000	0.00	0.00	Not used	Not used																																							
																																														
																																														
																																														
																																														
																																														
EXPERIMENT DATA																																														
Parameter/Channel	Chamber vol [mL]	Tube vol [mL]	Wet weight [g]	Density [kg/L]	Fish length [cm]	Fish width [cm]	Fish depth [cm]	Cross section area [cm2]																																						
Chamber 1	270	47	13.87	1.02	0	Not used	Not used	Not used																																						
Chamber 2	270	47	9.23	0.923	Not used	Not used	Not used	Not used																																						
Chamber 3	270	47	12.37	0.95	Not used	Not used	Not used	Not used																																						
Chamber 4	270	47	12.34	0.98	Not used	Not used	Not used	Not used																																						
Chamber 5	270	47	10.220	1.02	0	Not used	Not used	Not used																																						
Chamber 6	270	47	14.066	1	Not used	Not used	Not used	Not used																																						
Chamber 7	270	47	13.914	0.99	Not used	Not used	Not used	Not used																																						
Chamber 8	270	47	13.9975	1	Not used	Not used	Not used	Not used																																						
																																														
																																														
																																														
																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Phase	Barometric pressure [hPa]	Salinity [‰]	CH1 O2 input [phase]	CH1 temp (°C)	CH1 O2 [%air sat.]	CH2 O2 input [phase]	CH2 temp (°C)	CH2 O2 [%air sat.]	CH3 O2 input [phase]	CH3 temp (°C)	CH3 O2 [%air sat.]	CH4 O2 input [phase]	CH4 temp (°C)	CH4 O2 [%air sat.]	CH5 O2 input [phase]	CH5 temp (°C)	CH5 O2 [%air sat.]	CH6 O2 input [phase]	CH6 temp (°C)	CH6 O2 [%air sat.]	CH7 O2 input [phase]	CH7 temp (°C)	CH7 O2 [%air sat.]	CH8 O2 input [phase]	CH8 temp (°C)	CH8 O2 [%air sat.]	CH1 Velocity input [V]	CH1 Velocity [cm/s]	CH5 Velocity input [V]	CH5 Velocity [cm/s]	AMB temp N°1 input [V]	AMB temp N°1 [°C]	AMB temp N°1 relay	AMB temp N°2 input [V]	AMB temp N°2 [°C]	AMB temp N°2 relay	AMB O2 N°1 input (V)	AMB O2 N°1 temp (°C)	AMB O2 N°1 [%air sat.]	AMB O2 N°1 relay	AMB O2 N°2 input (V)	AMB O2 N°2 temp (°C)	AMB O2 N°2 [%air sat.]	AMB O2 N°2 relay	User event
10/18/2021/1:58:52 PM	Flush	1013.0	0.0	28.9414	20.95	96.50	28.9486	20.95	96.44	28.8843	20.95	96.48	28.7729	20.95	95.95	28.0400	20.95	96.03	28.0100	20.95	95.85	28.0300	20.95	96.03	27.9900	20.95	95.77	NaN	NaN	NaN	NaN	20.9500	20.95	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/18/2021/1:58:53 PM	Flush	1013.0	0.0	28.9300	20.95	96.61	28.9275	20.95	96.64	28.8825	20.95	96.50	28.7613	20.95	96.06	28.0500	20.95	95.95	28.0000	20.95	95.95	28.0200	20.95	96.13	27.9800	20.95	95.86	NaN	NaN	NaN	NaN	20.9462	20.95	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/18/2021/1:58:54 PM	Flush	1013.0	0.0	28.9300	20.94	96.63	28.9438	20.94	96.50	28.8700	20.94	96.63	28.7838	20.94	95.88	28.0300	20.94	96.14	28.0100	20.94	95.87	28.0400	20.94	95.96	27.9700	20.94	95.96	NaN	NaN	NaN	NaN	20.9400	20.94	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
10/18/2021/1:58:55 PM	Flush	1013.0	0.0	28.9375	20.94	96.55	28.9500	20.94	96.44	28.8738	20.94	96.58	28.7825	20.94	95.88	28.0300	20.94	96.13	28.0500	20.94	95.51	28.0300	20.94	96.04	28.0100	20.94	95.60	NaN	NaN	NaN	NaN	20.9438	20.94	OFF	NaN	NaN	OFF	NaN	0.00	NaN	OFF	NaN	0.00	NaN	OFF	
