"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",15.1,317,(2021-Oct-26 11:05:09),"M72",20.9604444444444,-0.00215674690566171,-0.00180837593122818,1.04573229006262e-05,0.994082936609217,2.34403880694937,16.1526126927094,1.96541529709603,130.159953450068,"mg O2","SMR",21,1
"2","CH2","2",18.51,317,(2021-Oct-26 05:17:09),"M43",21.0068888888889,-0.0029040685744098,-0.00265662055560634,1.60224186262949e-05,0.993566989678761,3.12060754359209,8.52073607985464,2.85470881071457,154.225219379502,"mg O2","SMR",21,1
"3","CH3","3",17.85,317,(2021-Oct-26 03:41:09),"M35",21.019,-0.00288191208681154,-0.00265012038583745,1.13458131266928e-05,0.996748038177523,3.10364640277082,8.0429830609627,2.85402064832378,159.889111950912,"mg O2","SMR",21,1
"4","CH4","4",16.08,317,(2021-Oct-26 09:05:09),"M62",21.0032222222222,-0.00234899036203881,-0.00204970166518362,1.81547274647945e-05,0.986228047651717,2.54468944708098,12.7411632543022,2.2204664103134,138.088707109042,"mg O2","SMR",21,1
"5","CH5","5",13.67,317,(2021-Oct-26 01:17:09),"M23",20.9968333333333,-0.00219907689157585,-0.00196765828654663,9.93614808167493e-06,0.99548154492845,2.40136557667813,10.5234430826738,2.14865923700949,157.180631822201,"mg O2","SMR",21,1
"6","CH6","6",15.6,317,(2021-Oct-26 08:05:09),"M57",21.0130555555556,-0.002641105426921,-0.00230412819690496,1.35682829840071e-05,0.993865430439161,2.86570503242636,12.7589465600731,2.50007125876976,160.260978126266,"mg O2","SMR",21,1
"7","CH7","7",14.22,317,(2021-Oct-26 04:05:09),"M37",21.0023333333333,-0.00249202376089709,-0.00223204864173418,1.10892590343435e-05,0.995625647017949,2.71632583556792,10.4322889389032,2.4329508758794,171.093591833994,"mg O2","SMR",21,1
"8","CH8","8",14.16,317,(2021-Oct-26 10:29:09),"M69",20.9543333333333,-0.00257995314855513,-0.00216138869140552,1.54799045771783e-05,0.990952189157506,2.81272684143037,16.223723185982,2.35639782469889,166.412275755571,"mg O2","SMR",21,1
"9","CH1","1",18.56,317,(2021-Oct-28 11:05:32),"M77",23.0161666666667,-0.00367036275562514,-0.00313319019296916,2.67911418612898e-05,0.99144059116008,3.94337901883956,14.635407953416,3.36624941228298,181.371196782488,"mg O2","SMR",23,2
"10","CH2","2",19.14,317,(2021-Oct-28 09:04:32),"M66",23.0781666666667,-0.00409363648952434,-0.00363605725224943,2.97274341583475e-05,0.992067624673217,4.38959003317099,11.1778180218457,3.89892964735806,203.705833195301,"mg O2","SMR",23,2
