Date & time of file creation	10/30/2021 1:00 PM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.24.2021\MMR_25_LF_10.30.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.24.2021\MMR_25_LF_10.30.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	14.15	302.990099009901	0																																																											
Chamber 2	17.66	298.99796126401634																																																												
Chamber 3	14.82	302																																																												
Chamber 4	17.080	299.92																																																												
Chamber 5	18.09	298.910	0																																																											
Chamber 6	18.23	298.39795918367344																																																												
Chamber 7	18.490	316.81323232323234																																																												
Chamber 8	14.87	301.979797979798																																																												
																																																														
																																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
10/30/2021/1:13:16 PM	688	1	F480/W60/M120	490.8	-277.814	0.998	89.39	80.25	85.11	24.96	430.9	-308.426	0.999	87.50	77.50	82.48	24.96	208.0	-123.792	0.997	90.16	86.06	88.04	24.96	513.5	-354.387	0.998	87.32	75.78	81.49	24.96	436.6	-320.204	0.998	86.36	75.96	80.89	24.96	486.3	-360.014	0.999	85.72	73.77	79.64	24.96	224.4	-158.759	0.997	89.31	84.26	86.81	24.96	592.4	-353.484	0.999	85.70	74.21	79.84	24.96	24.97	0.00	0.00
10/30/2021/1:24:16 PM	1348	2	F480/W60/M120	477.7	-271.476	0.999	88.92	80.12	84.64	24.98	434.9	-312.422	0.999	88.07	77.92	83.04	24.98	214.0	-128.475	0.997	89.66	85.41	87.57	24.98	376.8	-261.157	0.997	87.81	79.12	83.50	24.98	278.6	-205.444	0.998	88.21	81.43	84.78	24.98	365.5	-271.745	0.999	87.00	78.08	82.43	24.98	211.9	-151.059	0.996	89.18	83.99	86.48	24.98	387.1	-232.108	0.998	87.91	80.26	84.01	24.98	24.97	0.00	0.00
10/30/2021/1:35:16 PM	2008	3	F480/W60/M120	373.7	-211.707	0.999	88.57	81.68	85.25	24.95	451.2	-323.118	0.999	87.08	76.34	81.65	24.95	216.2	-128.811	0.963	85.06	80.58	82.32	24.95	545.3	-376.456	0.998	85.51	72.95	79.05	24.95	259.0	-190.207	0.998	88.27	82.03	85.03	24.95	303.2	-224.687	0.997	87.83	80.31	83.93	24.95	216.8	-153.617	0.996	89.14	83.88	86.45	24.95	326.8	-195.251	0.998	88.63	82.19	85.34	24.95	24.97	0.00	0.00
10/30/2021/1:46:16 PM	2668	4	F480/W60/M120	340.0	-192.067	0.998	89.23	83.01	86.16	24.95	442.0	-315.934	0.999	86.96	76.74	81.85	24.95	466.2	-276.880	0.999	86.89	77.88	82.44	24.95	536.4	-369.727	0.998	87.22	75.22	81.17	24.95	252.3	-184.671	0.998	88.29	82.21	85.23	24.95	300.9	-222.413	0.998	87.73	80.55	84.12	24.95	215.5	-152.086	0.997	88.69	83.74	86.25	24.95	333.1	-198.399	0.998	88.28	81.70	84.91	24.95	24.95	0.00	0.00
10/30/2021/1:57:16 PM	3328	5	F480/W60/M120	310.8	-175.586	0.998	89.18	83.53	86.38	24.93	372.2	-265.993	0.998	87.31	78.50	82.90	24.93	378.8	-224.900	0.999	87.81	80.33	83.97	24.93	528.4	-364.171	0.998	85.49	73.78	79.52	24.93	487.5	-357.063	0.998	85.62	73.88	79.53	24.93	314.5	-232.492	0.997	87.43	79.95	83.37	24.93	217.9	-153.832	0.996	88.88	83.74	86.26	24.93	303.7	-180.866	0.996	88.12	82.18	85.01	24.93	24.95	0.00	0.00
10/30/2021/2:08:16 PM	3988	6	F480/W60/M120	298.8	-168.367	0.997	88.97	83.48	86.25	24.95	359.9	-256.872	0.998	87.34	79.03	83.19	24.95	342.4	-202.870	0.999	88.50	81.70	84.98	24.95	446.8	-307.585	0.998	87.56	77.14	82.26	24.95	516.9	-378.362	0.999	85.26	72.74	78.83	24.95	427.8	-315.988	0.999	87.43	77.39	82.48	24.95	229.9	-161.910	0.997	88.97	83.64	86.25	24.95	310.1	-184.304	0.998	88.61	82.44	85.51	24.95	24.95	0.00	0.00
10/30/2021/2:19:16 PM	4648	7	F480/W60/M120	299.4	-168.742	0.998	88.86	83.37	86.13	24.98	358.3	-255.788	0.998	87.45	78.92	83.03	24.98	331.4	-196.426	0.998	88.31	81.86	85.13	24.98	414.7	-285.551	0.997	87.28	77.97	82.65	24.98	417.2	-305.333	0.999	86.47	76.56	81.39	24.98	401.6	-296.679	0.999	86.89	76.98	81.84	24.98	443.0	-312.667	0.999	86.53	76.42	81.39	24.98	380.4	-226.327	0.996	87.52	80.01	83.52	24.98	24.96	0.00	0.00
10/30/2021/2:30:16 PM	5308	8	F480/W60/M120	291.5	-164.254	0.997	88.68	83.27	86.02	24.98	347.0	-247.736	0.998	87.31	78.99	83.00	24.98	322.9	-191.356	0.999	88.32	81.92	85.17	24.98	409.1	-281.656	0.996	87.06	77.68	82.16	24.98	378.1	-276.633	0.999	87.07	77.99	82.50	24.98	427.5	-315.891	0.999	86.49	75.91	81.07	24.98	349.8	-246.747	0.999	87.23	79.04	83.06	24.98	547.6	-326.110	0.999	87.09	76.34	81.81	24.98	24.96	0.00	0.00
10/30/2021/2:41:16 PM	5968	9	F480/W60/M120	276.8	-156.938	0.996	88.64	83.36	86.09	24.96	325.3	-233.110	0.997	86.73	79.05	83.05	24.96	531.4	-316.243	0.999	87.28	77.01	82.09	24.96	379.6	-262.183	0.995	86.83	77.74	82.41	24.96	360.1	-264.302	0.997	87.02	78.45	82.90	24.96	352.1	-260.870	0.996	87.20	78.29	82.89	24.96	395.5	-279.935	0.999	86.33	77.07	81.68	24.96	524.3	-313.088	0.999	85.76	75.72	80.72	24.96	24.97	0.00	0.00
10/30/2021/2:52:16 PM	6628	10	F480/W60/M120	223.7	-126.397	0.995	88.82	84.73	86.79	24.99	356.8	-255.240	0.998	87.39	79.13	83.22	24.99	504.2	-299.717	0.999	86.27	76.65	81.47	24.99	387.5	-267.286	0.996	87.31	78.48	82.81	24.99	351.1	-257.357	0.999	86.97	78.55	82.75	24.99	337.2	-249.507	0.998	87.41	78.99	83.23	24.99	382.5	-270.392	0.999	86.28	77.28	81.74	24.99	425.1	-253.536	0.998	86.73	78.36	82.66	24.99	24.97	0.00	0.00
10/30/2021/3:03:16 PM	7288	11	F480/W60/M120	206.6	-117.011	0.995	89.01	85.14	87.07	24.97	411.6	-294.655	0.998	87.46	77.82	82.73	24.97	389.7	-231.828	0.999	87.86	80.16	84.02	24.97	378.1	-261.005	0.995	87.35	78.87	83.13	24.97	356.5	-261.551	0.999	87.17	78.77	82.92	24.97	337.6	-249.996	0.999	87.60	79.51	83.63	24.97	379.2	-268.272	0.999	86.75	78.01	82.27	24.97	442.0	-263.855	0.999	86.77	78.22	82.50	24.97	24.98	0.00	0.00
10/30/2021/3:14:16 PM	7948	12	F480/W60/M120	212.3	-119.880	0.994	89.15	85.16	87.19	24.99	393.1	-281.178	0.998	87.11	77.77	82.36	24.99	358.4	-212.907	0.999	88.43	81.48	84.90	24.99	360.1	-248.277	0.995	87.95	79.72	83.80	24.99	355.3	-260.408	0.999	87.47	78.92	83.19	24.99	330.1	-244.160	0.998	88.18	79.93	83.97	24.99	361.0	-255.123	0.999	87.16	78.70	82.97	24.99	381.1	-227.189	0.998	87.40	79.77	83.59	24.99	24.98	0.00	0.00
10/30/2021/3:25:16 PM	8608	13	F480/W60/M120	191.9	-108.929	0.994	89.39	85.77	87.64	24.98	315.7	-226.268	0.997	87.53	80.07	83.80	24.98	336.7	-200.549	0.999	88.84	82.17	85.54	24.98	345.5	-238.788	0.993	88.12	80.36	84.26	24.98	346.2	-254.247	0.999	88.05	79.63	83.77	24.98	327.6	-242.863	0.998	88.18	80.29	84.20	24.98	343.9	-243.558	0.998	87.52	79.55	83.42	24.98	359.7	-214.973	0.998	87.26	80.15	83.70	24.98	24.98	0.00	0.00
10/30/2021/3:36:16 PM	9268	14	F480/W60/M120	185.1	-105.619	0.992	89.63	85.97	87.81	25.00	308.2	-221.479	0.996	88.06	80.47	84.39	25.00	327.8	-195.826	0.998	88.90	82.50	85.71	25.00	344.0	-238.250	0.994	88.57	80.69	84.59	25.00	346.6	-255.064	0.999	88.11	79.61	83.73	25.00	331.9	-246.576	0.998	88.36	80.07	84.08	25.00	335.8	-238.342	0.998	87.70	79.75	83.75	25.00	367.9	-220.406	0.997	87.94	80.44	84.10	25.00	24.99	0.00	0.00
10/30/2021/3:47:16 PM	9928	15	F480/W60/M120	174.5	-99.381	0.992	89.75	86.41	88.08	24.98	316.9	-227.393	0.996	87.77	80.28	84.01	24.98	323.0	-192.703	0.998	89.02	82.61	85.84	24.98	315.4	-218.273	0.991	89.02	81.39	85.12	24.98	328.3	-241.381	0.998	88.28	80.28	84.28	24.98	310.3	-230.315	0.998	88.92	81.10	84.89	24.98	333.8	-236.683	0.998	88.05	80.28	84.07	24.98	355.5	-212.720	0.998	88.13	80.83	84.41	24.98	24.99	0.00	0.00
10/30/2021/3:58:16 PM	10588	16	F480/W60/M120	164.7	-93.274	0.990	90.07	86.95	88.47	24.99	303.8	-217.541	0.996	88.32	81.23	84.81	24.99	325.4	-193.565	0.998	89.33	82.90	85.99	24.99	308.7	-213.127	0.990	88.84	81.68	85.23	24.99	306.5	-224.855	0.998	88.36	80.99	84.69	24.99	296.6	-219.674	0.997	88.79	81.52	85.13	24.99	326.9	-231.256	0.999	87.95	80.19	84.15	24.99	342.4	-204.381	0.997	88.30	81.08	84.67	24.99	24.97	0.00	0.00
10/30/2021/4:09:16 PM	11248	17	F480/W60/M120	162.0	-92.428	0.987	90.13	87.03	88.56	24.99	283.0	-203.297	0.996	88.46	81.84	85.11	24.99	315.1	-188.130	0.998	89.23	82.99	86.17	24.99	308.0	-213.333	0.990	89.23	81.84	85.81	24.99	300.0	-220.767	0.998	88.61	81.32	84.84	24.99	286.2	-212.669	0.997	89.03	81.81	85.48	24.99	326.4	-231.610	0.998	88.18	80.57	84.31	24.99	343.1	-205.502	0.998	88.43	81.54	84.78	24.99	25.00	0.00	0.00
10/30/2021/4:20:16 PM	11908	18	F480/W60/M120	150.4	-84.257	0.985	90.13	87.37	88.82	24.96	274.5	-195.619	0.995	88.71	82.37	85.55	24.96	307.4	-181.902	0.998	89.47	83.53	86.54	24.96	301.2	-206.960	0.990	89.48	82.30	85.99	24.96	297.3	-217.161	0.999	88.42	81.25	84.81	24.96	275.9	-203.344	0.997	89.32	82.55	85.89	24.96	326.5	-230.056	0.998	88.32	80.79	84.49	24.96	326.1	-193.720	0.998	88.88	82.33	85.49	24.96	24.97	0.00	0.00
10/30/2021/4:31:16 PM	12568	19	F480/W60/M120	152.0	-85.675	0.988	90.40	87.52	88.95	24.99	275.2	-196.664	0.995	88.89	82.20	85.67	24.99	296.6	-176.055	0.998	89.67	83.74	86.79	24.99	283.3	-195.149	0.988	89.59	82.96	86.26	24.99	286.5	-209.768	0.998	88.37	81.43	84.84	24.99	260.2	-192.311	0.997	89.54	83.10	86.26	24.99	322.0	-227.408	0.998	88.44	80.85	84.65	24.99	328.1	-195.449	0.998	88.53	82.12	85.37	24.99	24.98	0.00	0.00
10/30/2021/4:42:16 PM	13228	20	F480/W60/M120	144.2	-81.847	0.983	90.57	87.59	89.06	24.95	265.8	-190.442	0.994	89.12	82.57	85.95	24.95	284.1	-169.126	0.997	89.72	84.28	86.96	24.95	290.9	-200.925	0.988	89.81	82.88	86.38	24.95	269.8	-198.006	0.998	89.16	82.53	85.84	24.95	247.8	-183.622	0.996	89.76	83.54	86.61	24.95	316.1	-223.713	0.998	88.66	81.05	84.89	24.95	321.4	-191.957	0.997	89.33	82.70	85.88	24.95	24.97	0.00	0.00
10/30/2021/4:53:16 PM	13888	21	F480/W60/M120	144.8	-82.458	0.983	90.68	87.86	89.18	24.98	263.2	-188.926	0.995	89.00	82.90	85.99	24.98	275.5	-164.378	0.998	89.94	84.53	87.21	24.98	298.8	-206.724	0.991	89.77	82.90	86.31	24.98	258.0	-189.718	0.997	88.70	82.42	85.50	24.98	239.9	-178.127	0.995	89.97	84.03	86.89	24.98	307.0	-217.648	0.998	88.70	81.38	84.96	24.98	311.6	-186.431	0.996	88.89	82.81	85.85	24.98	24.96	0.00	0.00
10/30/2021/5:04:16 PM	14548	22	F480/W60/M120	139.4	-79.182	0.986	90.76	87.96	89.36	24.97	261.3	-187.327	0.994	89.16	83.07	86.12	24.97	269.8	-160.744	0.997	89.94	84.71	87.35	24.97	275.8	-190.605	0.989	89.86	83.53	86.64	24.97	277.6	-203.875	0.998	88.13	81.31	84.64	24.97	234.1	-173.594	0.996	90.14	84.20	87.00	24.97	299.2	-211.904	0.998	88.87	81.76	85.39	24.97	294.5	-175.999	0.996	89.22	83.35	86.24	24.97	24.98	0.00	0.00
