,Chamber.No,Ind,Mass,Volume,Date.Time,Phase,Temp,Slope.with.BR,Slope,SE,R2,MR.abs.with.BR,BR,MR.abs,MR.mass,DO.unit,Trial,Temperature,Event
1,CH1,1,21.61,317,(2021-Oct-03 22:30:10),M7,21.01175,-0.010096161,-0.00995769,3.56E-05,0.996969516,10.73629849,1.371525694,10.5890474,490.0068207,mg O2,SMR,21,1
2,CH2,2,17.52,317,(2021-Oct-03 22:04:10),M5,21.02129167,-0.009304887,-0.009149209,4.86E-05,0.993321846,10.03185924,1.673078762,9.864018337,563.0147453,mg O2,SMR,21,1
3,CH3,3,18.38,317,(2021-Oct-03 22:17:10),M6,21.00808333,-0.009154276,-0.008992717,7.32E-06,0.999842418,9.841139153,1.764844241,9.667458375,525.9770607,mg O2,SMR,21,1
4,CH4,4,20.68,317,(2021-Oct-03 22:17:10),M6,21.00808333,-0.005574559,-0.005698661,2.68E-05,0.994774966,5.946672223,-2.226207866,6.079057508,293.9582934,mg O2,SMR,21,1
5,CH5,5,16.62,317,(2021-Oct-03 22:04:10),M5,21.02129167,-0.008188014,-0.007931293,2.53E-05,0.997590397,8.854256168,3.135327388,8.57664625,516.0436973,mg O2,SMR,21,1
6,CH6,6,17.82,317,(2021-Oct-03 22:17:10),M6,21.00808333,-0.008304267,-0.008039647,1.43E-05,0.99924466,8.944093679,3.186550791,8.659085591,485.9195057,mg O2,SMR,21,1
7,CH7,7,16.26,317,(2021-Oct-03 22:17:10),M6,21.00808333,-0.008317521,-0.008081258,1.25E-05,0.999429044,9.005080307,2.840542732,8.749287153,538.0865408,mg O2,SMR,21,1
8,CH8,8,16.2,317,(2021-Oct-04 06:57:10),M46,21.015375,-0.005990797,-0.005566256,3.25E-05,0.991959023,6.487314317,7.086562107,6.027586759,372.0732567,mg O2,SMR,21,1
9,CH1,1,14.95,317,(2021-Oct-05 22:17:38),M7,22.9885,-0.007092641,-0.006750975,1.13E-05,0.999500044,7.712395881,4.817190807,7.340875055,491.0284318,mg O2,SMR,23,2
10,CH2,2,19.18,317,(2021-Oct-06 01:29:38),M23,22.9815,-0.010207184,-0.009918704,1.40E-05,0.999647465,10.94365226,2.826239415,10.63435845,554.4503882,mg O2,SMR,23,2
11,CH3,3,17.38,317,(2021-Oct-05 22:17:38),M7,22.9885,-0.010253548,-0.009894733,1.60E-05,0.999536681,11.05980457,3.499420812,10.67277547,614.0837439,mg O2,SMR,23,2
12,CH4,4,12.8,317,(2021-Oct-05 22:05:38),M6,22.98183333,-0.0068394,-0.006445842,2.03E-05,0.99824351,7.489963663,5.754280265,7.058970162,551.4820439,mg O2,SMR,23,2
13,CH5,5,19.14,317,(2021-Oct-05 21:53:38),M5,22.97811111,-0.010012638,-0.009544045,1.54E-05,0.999535421,10.73651149,4.680011473,10.23404152,534.6939143,mg O2,SMR,23,2
14,CH6,6,17.57,317,(2021-Oct-05 22:17:38),M7,22.9885,-0.008629512,-0.008098726,1.60E-05,0.999304688,9.30216476,6.150822248,8.730005141,496.8699568,mg O2,SMR,23,2
15,CH7,7,15.66,317,(2021-Oct-06 06:29:38),M48,22.98427778,-0.007116595,-0.006633708,2.48E-05,0.997516316,7.720252955,6.785358707,7.196406099,459.5406193,mg O2,SMR,23,2
16,CH8,8,11.2,317,(2021-Oct-05 23:05:38),M11,22.99188889,-0.006267076,-0.00576129,1.44E-05,0.998882575,6.899299064,8.070528544,6.342489163,566.2936753,mg O2,SMR,23,2
17,CH1,1,19.87,317,(2021-Oct-08 10:21:23),M73,24.97283333,-0.008695146,-0.008148551,3.53E-05,0.997790929,9.300919766,6.28620676,8.716244719,438.663549,mg O2,SMR,25,3
18,CH2,2,16.42,317,(2021-Oct-07 22:15:23),M7,24.97491667,-0.009706012,-0.009284607,2.26E-05,0.999302452,10.50275883,4.341682839,10.04676235,611.8612881,mg O2,SMR,25,3
19,CH3,3,12.92,317,(2021-Oct-08 02:06:23),M28,24.97883333,-0.006285872,-0.005758666,1.86E-05,0.998775649,6.881068695,8.387164586,6.303942138,487.9212181,mg O2,SMR,25,3
20,CH4,4,12.03,317,(2021-Oct-07 22:26:23),M8,24.96075,-0.006497853,-0.00603661,2.78E-05,0.997499448,7.133940616,7.098393289,6.627545454,550.9181591,mg O2,SMR,25,3
21,CH5,5,12.26,317,(2021-Oct-08 06:30:23),M52,24.97191667,-0.006123892,-0.005564262,3.30E-05,0.995873722,6.718301837,9.138472157,6.104351694,497.9079685,mg O2,SMR,25,3
22,CH6,6,13.03,317,(2021-Oct-07 22:26:23),M8,24.96075,-0.008025148,-0.007547133,2.32E-05,0.998881776,8.781855724,5.956471607,8.258766981,633.8270899,mg O2,SMR,25,3
23,CH7,7,11.38,317,(2021-Oct-07 22:59:23),M11,24.98708333,-0.00690186,-0.006428785,1.91E-05,0.99896372,7.593647102,6.854311553,7.073154871,621.5426073,mg O2,SMR,25,3
24,CH8,8,17.72,317,(2021-Oct-07 22:26:23),M8,24.96075,-0.010012661,-0.009491655,2.08E-05,0.999436203,10.78772092,5.203467227,10.2263854,577.1097856,mg O2,SMR,25,3
