"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",21.61,317,(2021-Oct-04 13:17:18),"M1",21.0512083333333,-0.00824723209163112,-0.00811463732505369,1.43954716493374e-05,0.999251545585455,8.7701395951689,1.60774869803875,8.6291377900114,399.312253124081,"mg O2","MMR",21,1
"2","CH2","2",17.52,317,(2021-Oct-04 15:01:18),"M9",21.0458333333333,-0.00870660086697582,-0.00851738478726342,9.9617961385253e-06,0.999674539450871,9.38683017951091,2.17324858005253,9.18283102592274,524.134190977325,"mg O2","MMR",21,1
"3","CH3","3",18.38,317,(2021-Oct-04 13:56:18),"M4",21.0456666666667,-0.00669690121699379,-0.00651822196603414,7.15754072280725e-06,0.999713105840632,7.19938310910727,2.6680884960082,7.00729719658962,381.245766952645,"mg O2","MMR",21,1
"4","CH4","4",20.68,317,(2021-Oct-04 14:09:18),"M5",21.0335,-0.00790110983443136,-0.00774797750377368,1.41262622018316e-05,0.999209482792201,8.42852471809933,1.93811165604054,8.26517049810558,399.669753293307,"mg O2","MMR",21,1
"5","CH5","5",16.62,317,(2021-Oct-04 17:11:18),"M19",21.0508333333333,-0.00742551059851938,-0.00697259040458081,1.66089159341444e-05,0.99865139385079,8.02970954489971,6.09951582358366,7.53993614062074,453.666434453715,"mg O2","MMR",21,1
"6","CH6","6",17.82,317,(2021-Oct-04 14:35:18),"M7",21.022625,-0.00658914986715092,-0.00626356719542083,1.02326317531665e-05,0.999365206617187,7.09683068611517,4.94119390656495,6.74616252069361,378.572532025455,"mg O2","MMR",21,1
"7","CH7","7",16.26,317,(2021-Oct-04 14:35:18),"M7",21.022625,-0.00691186826668483,-0.00661288528318119,1.61981811286002e-05,0.998574038657195,7.48323094508206,4.32564643838384,7.15953283223009,440.315672338874,"mg O2","MMR",21,1
"8","CH8","8",16.2,317,(2021-Oct-04 14:48:18),"M8",21.0300416666667,-0.00620517879676076,-0.00582218713241058,1.07112462538302e-05,0.999195112938872,6.7194640154363,6.17212939214756,6.30473000194477,389.180864317579,"mg O2","MMR",21,1
"9","CH1","1",14.95,317,(2021-Oct-06 14:51:15),"M10",22.9584166666667,-0.00688209396297724,-0.00650769279983052,1.75439522255006e-05,0.999143138751011,7.48345133346219,5.44022161221338,7.07633499667971,473.333444593961,"mg O2","MMR",23,2
"10","CH2","2",19.18,317,(2021-Oct-06 13:23:15),"M2",23.0059166666667,-0.00858646990798447,-0.00832490052626943,2.92637897274502e-05,0.998544030570085,9.20600088478536,3.0462970757262,8.92555874904082,465.357599011513,"mg O2","MMR",23,2
