Individual,Slope,Measurement,Chamber,Pond,Temperature
1,0.616014913,SMR,1,BC,21
2,-0.397894479,SMR,2,BC,21
3,-0.396275993,SMR,3,BC,21
4,0.299590803,SMR,4,BC,21
5,0.733788163,SMR,5,BC,21
6,0.849566551,SMR,6,BC,21
7,0.901425263,SMR,7,BC,21
8,0.532210603,SMR,8,BC,21
9,-0.608038727,SMR,1,DB,21
10,-0.637936659,SMR,2,DB,21
11,-0.721707835,SMR,3,DB,21
12,-0.789220291,SMR,4,DB,21
13,-0.261934753,SMR,5,DB,21
14,-0.2639641,SMR,6,DB,21
15,-0.679005115,SMR,7,DB,21
16,-0.5847006,SMR,8,DB,21
17,0.31778502,SMR,1,LF,21
18,-0.110293259,SMR,2,LF,21
19,-0.81268144,SMR,3,LF,21
20,-0.218990297,SMR,4,LF,21
21,-1.606510817,SMR,5,LF,21
22,-0.226390474,SMR,6,LF,21
23,0.218490756,SMR,7,LF,21
24,-0.821616057,SMR,8,LF,21
25,-0.508890971,SMR,1,BC,25
26,-0.194193408,SMR,2,BC,25
27,-0.414108095,SMR,3,BC,25
28,0.703551993,SMR,4,BC,25
29,-0.131780496,SMR,5,BC,25
30,-1.169097886,SMR,6,BC,25
31,0.090615509,SMR,7,BC,25
32,-1.487223529,SMR,8,BC,25
33,-0.230061851,SMR,1,DB,25
34,-0.118393337,SMR,2,DB,25
35,-0.076855453,SMR,3,DB,25
36,-0.523715036,SMR,4,DB,25
37,-0.532443581,SMR,5,DB,25
38,-0.117687094,SMR,6,DB,25
39,-0.657139179,SMR,7,DB,25
40,-0.567667918,SMR,8,DB,25
41,-0.696546124,SMR,1,LF,25
42,-0.058870856,SMR,2,LF,25
43,-0.231093281,SMR,3,LF,25
44,-0.547570219,SMR,4,LF,25
45,-0.567394291,SMR,5,LF,25
46,-1.202833059,SMR,6,LF,25
47,-5.28766106,SMR,7,LF,25
48,-2.930997754,SMR,8,LF,25
1,-0.636196974,MMR,1,BC,21
2,-0.442891638,MMR,2,BC,21
3,-0.284035778,MMR,3,BC,21
4,0.855034085,MMR,4,BC,21
5,0.244821461,MMR,5,BC,21
6,-1.89556826,MMR,6,BC,21
7,-2.615852796,MMR,7,BC,21
8,0.262802752,MMR,8,BC,21
9,-0.636196974,MMR,1,DB,21
10,-0.442891638,MMR,2,DB,21
11,-0.284035778,MMR,3,DB,21
12,0.855034085,MMR,4,DB,21
13,0.244821461,MMR,5,DB,21
14,-1.89556826,MMR,6,DB,21
15,-2.615852796,MMR,7,DB,21
16,0.262802752,MMR,8,DB,21
17,-0.636196974,MMR,1,LF,21
18,-0.442891638,MMR,2,LF,21
19,-0.284035778,MMR,3,LF,21
20,0.855034085,MMR,4,LF,21
21,0.244821461,MMR,5,LF,21
22,-1.89556826,MMR,6,LF,21
23,-2.615852796,MMR,7,LF,21
24,0.262802752,MMR,8,LF,21
25,-2.419754981,MMR,1,BC,25
26,-0.187296211,MMR,2,BC,25
27,-3.017196037,MMR,3,BC,25
28,1.941564024,MMR,4,BC,25
29,1.349576049,MMR,5,BC,25
30,-0.663869555,MMR,6,BC,25
31,-2.473644578,MMR,7,BC,25
32,-0.365575143,MMR,8,BC,25
33,-2.419754981,MMR,1,DB,25
34,-0.187296211,MMR,2,DB,25
35,-3.017196037,MMR,3,DB,25
36,1.941564024,MMR,4,DB,25
37,1.349576049,MMR,5,DB,25
38,-0.663869555,MMR,6,DB,25
39,-2.473644578,MMR,7,DB,25
40,-0.365575143,MMR,8,DB,25
41,-2.419754981,MMR,1,LF,25
42,-0.187296211,MMR,2,LF,25
43,-3.017196037,MMR,3,LF,25
44,1.941564024,MMR,4,LF,25
45,1.349576049,MMR,5,LF,25
46,-0.663869555,MMR,6,LF,25
47,-2.473644578,MMR,7,LF,25
48,-0.365575143,MMR,8,LF,25
