"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",18.9,317,(2021-Nov-01 13:33:53),"M3",21.0365,-0.00577429320896526,-0.00536967990625508,2.10249633947416e-05,0.998194195425377,6.19674050013315,7.00714854732291,5.7625256881967,304.895539058027,"mg O2","MMR",21,1
"2","CH2","2",13.74,317,(2021-Nov-01 13:22:53),"M2",21.0479166666667,-0.00558287597548237,-0.00483600510348309,2.80534089492573e-05,0.996044888759058,6.09502668596923,13.377887584808,5.27964086765621,384.253338257366,"mg O2","MMR",21,1
"3","CH3","3",15.56,317,(2021-Nov-01 13:44:53),"M4",21.00825,-0.00740303085027689,-0.0066020783742213,1.72986552694688e-05,0.999190543230768,8.03365063022687,10.8192508211098,7.16446981845096,460.441505041836,"mg O2","MMR",21,1
"4","CH4","4",15.81,317,(2021-Nov-01 14:06:53),"M6",21.0038333333333,-0.0063496260509071,-0.00555257499385136,3.48868725459354e-05,0.995363407913396,6.88479793298175,12.5527243756641,6.02056822463313,380.807604341121,"mg O2","MMR",21,1
"5","CH5","5",15.92,317,(2021-Nov-01 14:28:53),"M8",20.99225,-0.00550788378670789,-0.00479639492227852,2.21496893312098e-05,0.997489871750472,5.96992914180724,12.9176448157166,5.19875489951862,326.554955999913,"mg O2","MMR",21,1
"6","CH6","6",11.32,317,(2021-Nov-01 14:17:53),"M7",20.9848333333333,-0.00639145194479311,-0.00571103482291454,2.63369578867902e-05,0.997496802470209,7.03346050974368,10.6457363327729,6.28469684880666,555.185233993522,"mg O2","MMR",21,1
"7","CH7","7",13.05,317,(2021-Nov-01 14:28:53),"M8",20.99225,-0.00450849972043679,-0.00375317350063968,2.33033836022006e-05,0.995471529562996,4.93329056409634,16.7533828686571,4.10679750786995,314.697127039843,"mg O2","MMR",21,1
"8","CH8","8",18.9,317,(2021-Nov-01 14:39:53),"M9",20.99125,-0.00530739931794224,-0.00453635231112611,2.42533482811296e-05,0.99663837344112,5.6956886520429,14.5277745393967,4.8682318462081,257.578404561275,"mg O2","MMR",21,1
"9","CH1","1",14.66,317,(2021-Nov-03 13:17:36),"M2",22.99,-0.00538833018196153,-0.00517176886551578,1.97608043342362e-05,0.998280249251047,5.8647878899713,4.01908029264309,5.62907735568015,383.975263006831,"mg O2","MMR",23,2
"10","CH2","2",10.81,317,(2021-Nov-03 13:17:36),"M2",22.99,-0.00453996956844021,-0.0042934866173034,2.83217875322768e-05,0.994891670578154,5.00433581577855,5.42917628457788,4.73264160246766,437.802183392013,"mg O2","MMR",23,2
"11","CH3","3",12.72,317,(2021-Nov-03 13:39:36),"M4",22.96275,-0.00541297436352183,-0.00519805990998955,1.50915475984309e-05,0.999006345854807,5.92941542159672,3.9703578679514,5.69399640988183,447.641227191968,"mg O2","MMR",23,2
"12","CH4","4",7.49,317,(2021-Nov-03 13:39:36),"M4",22.96275,-0.0042186003247796,-0.00397619790618624,4.03430210356315e-05,0.987998401385179,4.70051635148112,5.74603896864837,4.43042285019733,591.511728998308,"mg O2","MMR",23,2
"13","CH5","5",11.38,317,(2021-Nov-03 14:01:36),"M6",22.953,-0.0049143213089608,-0.0046793083928875,1.71285582387763e-05,0.998421392487732,5.40689356240056,4.78220493325846,5.1483248317234,452.401127567962,"mg O2","MMR",23,2
"14","CH6","6",15.48,317,(2021-Nov-03 13:50:36),"M5",22.94325,-0.0061875104476512,-0.00594353597976694,1.93423219790207e-05,0.998751849289044,6.71636934063284,3.94301504536252,6.45154188702958,416.766271771936,"mg O2","MMR",23,2
"15","CH7","7",13.69,317,(2021-Nov-03 14:23:36),"M8",22.928,-0.00512610861831792,-0.00486715096468913,2.006867445798e-05,0.997997837375823,5.59728001807923,5.0517394950123,5.31452001275949,388.204529785208,"mg O2","MMR",23,2
"16","CH8","8",8.53,317,(2021-Nov-03 14:34:36),"M9",22.9600833333333,-0.00392498190911975,-0.00362261961574304,1.98151793012009e-05,0.996481950158771,4.35866101022221,7.70353342710109,4.02289010232572,471.616659123766,"mg O2","MMR",23,2
"17","CH1","1",17.25,317,(2021-Nov-05 14:43:03),"M10",25.0074166666667,-0.00773182193220405,-0.0072342686587411,1.79508798355934e-05,0.999273979640837,8.34340904704139,6.43513621790203,7.80649930964752,452.550684617247,"mg O2","MMR",25,3
"18","CH2","2",17.8,317,(2021-Nov-05 13:26:03),"M3",25.00425,-0.00768919326225038,-0.00713575964644136,2.47106223439365e-05,0.998586958758598,8.28218384663513,7.19755112055868,7.68606943037492,431.801653391849,"mg O2","MMR",25,3
"19","CH3","3",13,317,(2021-Nov-05 13:26:03),"M3",25.00425,-0.00637814088022591,-0.00592685072508717,1.55015349185659e-05,0.999193446812391,6.98023737931923,7.07557521248665,6.48634543353539,498.949648733492,"mg O2","MMR",25,3
"20","CH4","4",21,317,(2021-Nov-05 13:04:03),"M1",25.0093333333333,-0.00969529089585332,-0.00918872107106032,4.41357955649391e-05,0.997284979787347,10.3313019786213,5.22490588714218,9.79150117332188,466.261960634375,"mg O2","MMR",25,3
"21","CH5","5",12.24,317,(2021-Nov-05 13:04:03),"M1",25.0093333333333,-0.0054242181107104,-0.0049623325081832,2.09099758339831e-05,0.997909219786733,5.95110496111236,8.51524760066678,5.44435363869808,444.800133880562,"mg O2","MMR",25,3
"22","CH6","6",15.31,317,(2021-Nov-05 14:10:03),"M7",25.024,-0.00654882962884418,-0.00606745943633285,2.12782425363691e-05,0.998550861334146,7.11257907861361,7.35047664686758,6.58977061445013,430.422639742007,"mg O2","MMR",25,3
"23","CH7","7",11.86,317,(2021-Nov-05 14:21:03),"M8",24.9870833333333,-0.00578035650157081,-0.00529443602007749,2.11246009641792e-05,0.998124985831957,6.34974473840154,8.40641025101603,5.81595914579921,490.384413642429,"mg O2","MMR",25,3
"24","CH8","8",12.19,317,(2021-Nov-05 14:54:03),"M11",25.0084166666667,-0.00424623422126807,-0.00374658048837765,2.23698828182277e-05,0.99581094380622,4.65946075074499,11.7669847411575,4.11118271518461,337.258631270271,"mg O2","MMR",25,3
