"","Chamber.No","Ind","Mass","Volume","Date.Time","Phase","Temp","Slope.with.BR","Slope","SE","R2","MR.abs.with.BR","BR","MR.abs","MR.mass","DO.unit","Trial","Temperature","Event"
"1","CH1","1",19.38,317,(2021-Oct-31 22:31:33),"M8",21.0218888888889,-0.00621710656492665,-0.00581935204341362,1.27904368396272e-05,0.999140851548063,6.66120692107249,6.39774334506248,6.23503999857874,321.725490122742,"mg O2","SMR",21,1
"2","CH2","2",13.78,317,(2021-Oct-31 23:07:33),"M11",20.9991666666667,-0.00624871989733017,-0.00550448724179401,1.75810043804066e-05,0.998187467758177,6.82105265016644,11.9101618853829,6.00865423724441,436.041671788419,"mg O2","SMR",21,1
"3","CH3","3",15.84,317,(2021-Oct-31 21:19:33),"M2",21.0357777777778,-0.00729418010777778,-0.00650913224644387,1.2710953788367e-05,0.999321678784662,7.90817501253008,10.7626607752229,7.05704496242053,445.520515304326,"mg O2","SMR",21,1
"4","CH4","4",16.23,317,(2021-Oct-31 22:55:33),"M10",21.0099444444444,-0.00735707768728681,-0.00655696263185869,2.27719906005091e-05,0.997857675871276,7.96603772161891,10.8754466030817,7.0996955428229,437.44273215175,"mg O2","SMR",21,1
"5","CH5","5",15.06,317,(2021-Oct-31 22:31:33),"M8",21.0218888888889,-0.00538965624048233,-0.00468816827479468,1.91878514592206e-05,0.997027147935109,5.85847009890445,13.0154491193463,5.09596390400942,338.377417264902,"mg O2","SMR",21,1
"6","CH6","6",15.98,317,(2021-Oct-31 22:43:33),"M9",21.0235,-0.00701907140433431,-0.00634153594377764,1.52992406689418e-05,0.998965045801087,7.60637114687777,9.6527791430971,6.8721449392654,430.046616975306,"mg O2","SMR",21,1
"7","CH7","7",11.55,317,(2021-Nov-01 06:43:33),"M49",21.0058888888889,-0.00521790072743801,-0.00443724003343999,1.3150643009562e-05,0.998438975712734,5.73770799790539,14.9612024984101,4.87927788557129,422.448301781064,"mg O2","SMR",21,1
"8","CH8","8",13.24,317,(2021-Oct-31 22:55:33),"M10",21.0099444444444,-0.00444443339025652,-0.00367332780013297,1.56315651702588e-05,0.996787020633264,4.86014791184756,17.3499189303645,4.0169161892462,303.392461423429,"mg O2","SMR",21,1
"9","CH1","1",14.55,317,(2021-Nov-02 22:12:21),"M7",22.99175,-0.00606691358279547,-0.005851483622607,2.30670767813849e-05,0.998169627454611,6.60577684721936,3.55089877659339,6.37121239796696,437.884013605976,"mg O2","SMR",23,2
"10","CH2","2",10.82,317,(2021-Nov-02 22:12:21),"M7",22.99175,-0.00570231870852675,-0.00545735857722479,2.42308298602089e-05,0.997679163716679,6.2853693918362,4.29579867108568,6.01536257702887,555.94848216533,"mg O2","SMR",23,2
"11","CH3","3",12.97,317,(2021-Nov-02 22:45:21),"M10",22.9968333333333,-0.00504781808732585,-0.00484320626751865,2.00022989681878e-05,0.997991357327284,5.52487727912284,4.05347055435577,5.30092800544931,408.706862409353,"mg O2","SMR",23,2
