Date & time of file creation	11/1/2021 12:59 PM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.31.2021\MMR_21_DB_11.1.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.31.2021\MMR_21_DB_11.1.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	19.38	298	0																																																											
Chamber 2	13.78	303.4901960784314																																																												
Chamber 3	15.836	301.0040404040404																																																												
Chamber 4	16.226	300.9346534653465																																																												
Chamber 5	15.064	301.936	0																																																											
Chamber 6	15.977	300.52886597938146																																																												
Chamber 7	11.548	305.452																																																												
Chamber 8	13.2444	304.01529411764704																																																												
																																																														
																																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
11/1/2021/1:11:53 PM	660	1	F480/W60/M120	275.9	-201.218	0.998	95.00	88.42	91.82	21.03	430.3	-219.150	0.997	93.81	86.68	90.30	21.03	382.1	-225.447	0.999	93.84	86.38	89.98	21.03	205.0	-123.977	0.983	95.15	90.84	93.09	21.03	353.8	-197.998	0.997	92.57	85.74	89.07	21.03	356.6	-212.615	0.997	92.33	85.19	88.64	21.03	249.6	-105.813	0.985	94.13	90.31	92.16	21.03	208.3	-101.759	0.984	94.14	90.39	92.12	21.03	21.03	0.00	0.00
11/1/2021/1:22:53 PM	1320	2	F480/W60/M120	291.2	-212.602	0.998	94.26	87.31	90.86	21.05	441.8	-225.173	0.997	93.63	86.29	90.01	21.05	284.7	-168.151	0.998	94.10	88.49	91.22	21.05	208.1	-126.032	0.982	94.91	90.40	92.57	21.05	311.2	-174.316	0.996	92.64	86.83	89.61	21.05	297.9	-177.794	0.994	92.73	86.82	89.69	21.05	258.2	-109.640	0.987	93.69	89.89	91.71	21.05	217.8	-106.598	0.986	93.67	90.05	91.72	21.05	21.05	0.00	0.00
11/1/2021/1:33:53 PM	1980	3	F480/W60/M120	320.0	-233.671	0.998	93.73	86.27	90.12	21.04	425.4	-216.887	0.997	93.22	86.21	89.83	21.04	430.4	-254.187	0.999	93.18	84.88	89.07	21.04	249.5	-151.102	0.989	94.84	89.78	92.41	21.04	302.4	-169.451	0.996	92.92	87.17	89.92	21.04	288.5	-172.262	0.994	93.02	87.24	90.12	21.04	313.7	-133.243	0.988	93.87	89.34	91.46	21.04	218.6	-107.037	0.984	93.71	90.24	91.82	21.04	21.05	0.00	0.00
