Date & time of file creation	11/4/2021 8:42 PM																																																													
Data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.31.2021\SMR_25_DB_11.4.2021.txt																																																													
Raw data file path	C:\Users\New User\Desktop\MR Data 2021\Static MR_10.31.2021\SMR_25_DB_11.4.2021_raw.txt																																																													
																																																														
																																																														
Parameter/Chamber	Wet weight [g]	Resp. volume [mL]	Fish length [cm]	Fractional error [%]	Chamber notes																																																									
Chamber 1	17.61	299.56435643564356	0																																																											
Chamber 2	18.05	298.95																																																												
Chamber 3	13.32	303.5045592705167																																																												
Chamber 4	21.4	295.4924623115578																																																												
Chamber 5	12.42	304.4545454545455	0																																																											
Chamber 6	15.72	301.0081383519837																																																												
Chamber 7	12.03	304.970																																																												
Chamber 8	12.36	304.50252780586453																																																												
																																																														
																																																														
Date &Time [DD-MM-YYYY/HH:MM:SS]	Time [sec]	Loop	Phase time [s]	CH 1 MO2 [mgO2/kg/hr]	CH 1 slope [%air sat./hr]	CH 1 R^2	CH 1 max O2 [%air sat.]	CH 1 min O2 [%air sat.]	CH 1 avg O2 [%air sat.]	CH 1 avg temp [°C]	CH 2 MO2 [mgO2/kg/hr]	CH 2 slope [%air sat./hr]	CH 2 R^2	CH 2 max O2 [%air sat.]	CH 2 min O2 [%air sat.]	CH 2 avg O2 [%air sat.]	CH 2 avg temp [°C]	CH 3 MO2 [mgO2/kg/hr]	CH 3 slope [%air sat./hr]	CH 3 R^2	CH 3 max O2 [%air sat.]	CH 3 min O2 [%air sat.]	CH 3 avg O2 [%air sat.]	CH 3 avg temp [°C]	CH 4 MO2 [mgO2/kg/hr]	CH 4 slope [%air sat./hr]	CH 4 R^2	CH 4 max O2 [%air sat.]	CH 4 min O2 [%air sat.]	CH 4 avg O2 [%air sat.]	CH 4 avg temp [°C]	CH 5 MO2 [mgO2/kg/hr]	CH 5 slope [%air sat./hr]	CH 5 R^2	CH 5 max O2 [%air sat.]	CH 5 min O2 [%air sat.]	CH 5 avg O2 [%air sat.]	CH 5 avg temp [°C]	CH 6 MO2 [mgO2/kg/hr]	CH 6 slope [%air sat./hr]	CH 6 R^2	CH 6 max O2 [%air sat.]	CH 6 min O2 [%air sat.]	CH 6 avg O2 [%air sat.]	CH 6 avg temp [°C]	CH 7 MO2 [mgO2/kg/hr]	CH 7 slope [%air sat./hr]	CH 7 R^2	CH 7 max O2 [%air sat.]	CH 7 min O2 [%air sat.]	CH 7 avg O2 [%air sat.]	CH 7 avg temp [°C]	CH 8 MO2 [mgO2/kg/hr]	CH 8 slope [%air sat./hr]	CH 8 R^2	CH 8 max O2 [%air sat.]	CH 8 min O2 [%air sat.]	CH 8 avg O2 [%air sat.]	CH 8 avg temp [°C]	AMB temp N°1 avg temp [°C]	AMB temp N°1 setpoint [°C]	AMB temp N°1 hysteresis [°C]
11/4/2021/8:54:00 PM	660	1	F480/W60/M120	189.6	-134.582	0.994	92.27	87.92	90.22	25.04	228.3	-166.573	0.994	92.32	86.89	89.58	25.04	275.6	-146.083	0.996	91.29	86.47	89.02	25.04	180.6	-158.010	0.986	92.00	86.21	89.12	25.04	260.4	-128.235	0.994	92.27	87.98	90.17	25.04	283.3	-178.850	0.986	93.28	87.45	90.74	25.04	328.7	-156.673	0.993	91.60	86.46	89.19	25.04	303.7	-148.933	0.994	91.81	87.04	89.39	25.04	25.03	0.00	0.00
11/4/2021/9:05:00 PM	1320	2	F480/W60/M120	222.2	-156.710	0.995	92.31	87.24	89.89	25.04	228.1	-165.322	0.991	91.59	85.93	88.69	25.04	263.6	-138.622	0.996	91.22	86.47	88.77	25.04	194.4	-169.038	0.986	91.91	85.97	88.98	25.04	264.7	-129.221	0.993	92.12	87.65	89.91	25.04	282.8	-177.437	0.989	92.96	87.04	90.38	25.04	317.9	-150.373	0.994	91.62	86.38	89.00	25.04	333.7	-162.579	0.995	91.82	86.32	89.02	25.04	25.03	0.00	0.00
11/4/2021/9:16:00 PM	1980	3	F480/W60/M120	212.6	-149.832	0.994	92.12	87.12	89.62	25.05	219.2	-158.808	0.991	91.57	86.05	88.73	25.05	318.2	-167.675	0.997	91.22	85.64	88.39	25.05	201.0	-174.789	0.986	92.16	86.09	88.95	25.05	271.9	-132.784	0.994	92.03	87.56	89.83	25.05	448.8	-282.674	0.998	90.37	81.07	85.61	25.05	327.6	-154.997	0.996	91.36	86.43	88.85	25.05	328.0	-159.753	0.994	91.56	86.13	88.71	25.05	25.03	0.00	0.00
11/4/2021/9:27:00 PM	2640	4	F480/W60/M120	213.6	-151.588	0.996	91.79	86.77	89.40	25.03	218.0	-158.970	0.991	91.50	86.12	88.68	25.03	264.8	-140.298	0.997	90.82	86.11	88.41	25.03	201.5	-176.320	0.987	91.83	85.99	88.80	25.03	226.8	-111.512	0.993	92.05	88.24	90.07	25.03	294.8	-186.040	0.989	92.35	86.02	89.53	25.03	311.1	-148.164	0.995	91.46	86.49	88.93	25.03	316.4	-155.088	0.995	91.07	85.87	88.43	25.03	25.04	0.00	0.00
11/4/2021/9:38:00 PM	3300	5	F480/W60/M120	238.6	-169.031	0.997	91.77	86.27	89.07	25.05	212.5	-154.541	0.993	91.48	86.25	88.76	25.05	252.7	-133.438	0.996	90.88	86.55	88.68	25.05	186.7	-162.930	0.984	91.55	85.89	88.58	25.05	257.6	-126.354	0.994	91.86	87.57	89.78	25.05	420.6	-265.398	0.998	90.63	81.91	86.33	25.05	264.6	-125.488	0.985	91.36	87.26	89.08	25.05	298.7	-145.956	0.994	91.14	86.16	88.72	25.05	25.03	0.00	0.00
